rank,pitcher,pitcher_id,team,opponent,expected_ks,expected_ks_model,actual_ks,actual_ip,err,abs_err,outing_risk,status
1,Tyler Alexander,641302,TEX,CWS,7.1518642907118295,6.216948986731186,1,2.0,-6.1518642907118295,6.1518642907118295,clear,Final
2,Colin Rea,607067,CHC,DET,6.546485268655815,7.2059847861263835,5,5.0,-1.5464852686558146,1.5464852686558146,medium,Final
3,Braydon Fisher,680755,TOR,TB,6.419253928891395,6.740362755559136,1,1.1,-5.419253928891395,5.419253928891395,medium,Final
4,Gerrit Cole,543037,NYY,PIT,6.412447478432881,6.037038717510476,11,7.0,4.587552521567119,4.587552521567119,low,Final
5,Reid Detmers,672282,LAA,STL,5.7111933414802,5.124242484279613,6,5.1,0.2888066585197997,0.2888066585197997,clear,Final
6,Sandy Alcantara,645261,MIA,HOU,5.592528255169633,4.934580371006828,3,7.0,-2.5925282551696327,2.5925282551696327,clear,Final
7,Max Fried,608331,NYY,PIT,5.4579541846934205,5.400067439927478,7,5.0,1.5420458153065795,1.5420458153065795,clear,Final
8,Peter Lambert,663567,HOU,MIA,5.274654718042502,4.487411052729181,3,6.0,-2.274654718042502,2.274654718042502,medium,Final
9,Eric Lauer,641778,LAD,PHI,5.257923943761391,6.142272300611512,5,5.1,-0.2579239437613907,0.2579239437613907,high,Final
10,Gage Jump,695611,ATH,AZ,5.244487266413206,4.3195829223342646,5,4.2,-0.24448726641320562,0.24448726641320562,clear,Final
11,Mitch Keller,656605,PIT,NYY,5.1221150765440076,5.659143986899604,6,5.0,0.8778849234559924,0.8778849234559924,low,Final
12,Jake Bennett,687562,BOS,BAL,4.9012659837676935,5.503339160484461,4,5.2,-0.9012659837676935,0.9012659837676935,clear,Final
13,Cade Cavalli,676917,WSH,COL,4.838316422070058,4.276959968036591,8,6.0,3.161683577929942,3.161683577929942,clear,Final
14,Keider Montero,672456,DET,CHC,4.774212779883671,5.405784064939202,8,5.1,3.225787220116329,3.225787220116329,low,Final
15,Bailey Ober,641927,MIN,CLE,4.742875130718511,4.4183930438835874,2,4.0,-2.7428751307185113,2.7428751307185113,medium,Final
16,Aaron Nola,605400,PHI,LAD,4.616617182833624,4.020167404048035,4,5.1,-0.6166171828336244,0.6166171828336244,medium,Final
17,Brady Singer,663903,CIN,SEA,4.60912938906366,4.791953549002508,6,6.2,1.3908706109363402,1.3908706109363402,medium,Final
18,Christian Scott,681035,NYM,MIL,4.537184523984311,4.168687905644413,6,3.2,1.462815476015689,1.462815476015689,low,Final
19,Seth Lugo,607625,KC,SF,4.522911876327846,4.483711644053787,5,7.0,0.4770881236721536,0.4770881236721536,medium,Final
20,Emerson Hancock,676106,SEA,CIN,4.496284194161072,4.803304146135776,3,6.0,-1.4962841941610723,1.4962841941610723,clear,Final
21,Anthony Kay,641743,CWS,TEX,4.48566616107653,4.666427849156947,4,5.0,-0.48566616107653005,0.48566616107653005,high,Final
22,Griffin Jax,643377,TB,TOR,4.484181091738181,3.691687273911688,5,6.0,0.515818908261819,0.515818908261819,medium,Final
23,Michael King,650633,SD,ATL,4.357744004090269,4.461062862986099,7,6.0,2.642255995909731,2.642255995909731,medium,Final
24,Bubba Chandler,696149,PIT,NYY,4.3189528156563455,4.552789736651922,5,6.1,0.6810471843436545,0.6810471843436545,high,Final
25,Kyle Bradish,680694,BAL,BOS,4.158190679579878,4.5140523037060465,4,6.0,-0.15819067957987798,0.15819067957987798,medium,Final
26,Landen Roupp,694738,SF,KC,4.098386616057977,4.361980880082824,7,6.0,2.9016133839420233,2.9016133839420233,low,Final
27,Slade Cecconi,677944,CLE,MIN,4.045746484641931,4.104825805127572,5,4.2,0.9542535153580687,0.9542535153580687,low,Final
28,Martín Pérez,527048,ATL,SD,3.9639929447481372,4.59845930882387,3,4.0,-0.9639929447481372,0.9639929447481372,medium,Final
29,Logan Henderson,701656,MIL,NYM,3.9043016409329168,3.300788058475595,9,5.0,5.095698359067083,5.095698359067083,clear,Final
30,Merrill Kelly,518876,AZ,ATH,3.7280745455336053,3.6706387065045902,3,5.0,-0.7280745455336053,0.7280745455336053,high,Final
