rank,pitcher,pitcher_id,team,opponent,expected_ks,expected_ks_model,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,status
1,Gavin Williams,668909,CLE,MIN,7.199788184270256,6.03133005916159,11,7.0,23,3.800211815729744,3.800211815729744,starter,medium,Final
2,Chris Sale,519242,ATL,SD,6.0047928674867785,5.135606352048782,11,6.0,25,4.9952071325132215,4.9952071325132215,starter,clear,Final
3,Troy Melton,675512,DET,KC,5.907586225145392,4.661936365592318,5,5.0,22,-0.9075862251453923,0.9075862251453923,starter,clear,Final
4,Brandon Pfaadt,694297,AZ,STL,5.668684955364095,5.991738386082446,1,6.0,26,-4.668684955364095,4.668684955364095,swingman,medium,Final
5,Randy Dobnak,677976,KC,DET,5.618241730805015,5.618241730805015,3,5.0,18,-2.618241730805015,2.618241730805015,starter,high,Final
6,Taj Bradley,671737,MIN,CLE,4.405388282985468,4.204840404264955,5,7.0,25,0.5946117170145317,0.5946117170145317,starter,medium,Final
7,Michael McGreevy,700241,STL,AZ,4.24850422414102,4.2422240795999535,3,6.333333333333333,27,-1.24850422414102,1.24850422414102,starter,clear,Final
8,Shane Bieber,669456,TOR,TB,2.824822520739132,2.676277070443658,3,7.0,24,0.17517747926086802,0.17517747926086802,starter,high,Final
9,Kyle Hart,606996,SD,ATL,1.2455118873087905,1.181889859135988,1,1.0,3,-0.24551188730879048,0.24551188730879048,opener_likely,low,Final
10,Casey Legumina,668984,TB,TOR,0.9701481305191151,1.0352765500922425,2,2.0,9,1.029851869480885,1.029851869480885,opener_likely,low,Final
