rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,status
1,Nathan Eovaldi,543135,TEX,SEA,SEA@TEX,7.069242699142718,6.45681287847456,8,7.0,24,0.930757300857282,0.930757300857282,starter,medium,official,Final
2,Hunter Greene,668881,CIN,STL,CIN@STL,6.718350919903132,5.868198107150247,3,5.333333333333333,26,-3.7183509199031324,3.7183509199031324,starter,medium,official,Final
3,Sean Burke,680732,CWS,HOU,HOU@CWS,6.524986785891069,5.632699040377072,10,6.0,24,3.475013214108931,3.475013214108931,starter,clear,official,Final
4,Yoshinobu Yamamoto,808967,LAD,NYM,LAD@NYM,6.188216745374778,5.861593907533954,5,6.0,26,-1.1882167453747776,1.1882167453747776,starter,clear,official,In Progress
5,Dylan Cease,656302,TOR,BOS,TOR@BOS,5.969143378510132,5.359645820231867,12,9.0,30,6.030856621489868,6.030856621489868,starter,low,official,Final
6,Robbie Ray,592662,SF,LAA,LAA@SF,5.561861857427958,5.714802653468513,5,6.0,25,-0.5618618574279584,0.5618618574279584,starter,high,official,Final
7,Paul Skenes,694973,PIT,CHC,CHC@PIT,5.5123411896723535,4.844872795877449,11,5.333333333333333,25,5.4876588103276465,5.4876588103276465,starter,clear,official,Final
8,Nolan McLean,690997,NYM,LAD,LAD@NYM,5.220473272846787,4.489564992955729,7,6.0,27,1.779526727153213,1.779526727153213,starter,clear,official,In Progress
9,Bryan Woo,693433,SEA,TEX,SEA@TEX,5.101047814920454,4.8463493943629405,5,5.0,25,-0.10104781492045412,0.10104781492045412,starter,clear,official,Final
10,Michael Wacha,608379,KC,DET,KC@DET,5.094905875450212,5.291143934509159,3,7.0,28,-2.0949058754502117,2.0949058754502117,starter,low,official,Final
11,Ryan Weathers,677960,NYY,PHI,NYY@PHI,5.08552592535181,4.9382077679241885,7,5.666666666666667,24,1.91447407464819,1.91447407464819,starter,low,official,Final
12,Robert Gasser,688107,MIL,COL,COL@MIL,4.887444350653766,5.296956975098085,4,6.0,23,-0.8874443506537659,0.8874443506537659,starter,medium,official,Game Over
13,Casey Mize,663554,DET,KC,KC@DET,4.878642674317836,4.957584772835005,3,6.0,21,-1.8786426743178364,1.8786426743178364,starter,clear,official,Final
14,Bryce Elder,693821,ATL,BAL,ATL@BAL,4.877682147399608,5.042231209496755,8,5.0,22,3.122317852600392,3.122317852600392,starter,low,official,Final
15,Eury Pérez,691587,MIA,SD,SD@MIA,4.777875923822296,4.828711637206455,2,7.0,28,-2.777875923822296,2.777875923822296,starter,medium,official,Final
16,Ryan Feltner,663372,COL,MIL,COL@MIL,4.721459648903874,4.483462763740229,4,5.0,23,-0.721459648903874,0.721459648903874,starter,high,official,Game Over
17,Shota Imanaga,684007,CHC,PIT,CHC@PIT,4.633486812521352,5.088654630132544,4,6.0,23,-0.633486812521352,0.633486812521352,starter,medium,official,Final
18,Brandon Young,687064,BAL,ATL,ATL@BAL,4.330382799740692,4.330798957612753,6,6.333333333333333,25,1.6696172002593084,1.6696172002593084,starter,low,official,Final
19,Brady Basso,669620,ATH,MIN,ATH@MIN,4.270633843326237,4.270633843326237,3,2.3333333333333335,10,-1.2706338433262374,1.2706338433262374,starter,low,official,Final
21,Sonny Gray,543243,BOS,TOR,TOR@BOS,4.071298978072568,4.259308137626889,3,5.0,23,-1.0712989780725684,1.0712989780725684,starter,clear,official,Final
22,Tanner Bibee,676440,CLE,TB,CLE@TB,4.031163705487786,3.938412919970117,5,6.0,28,0.9688362945122142,0.9688362945122142,starter,medium,official,Final
23,Andre Pallante,669467,STL,CIN,CIN@STL,3.934288773562707,4.580938849450484,8,7.0,24,4.065711226437293,4.065711226437293,starter,clear,official,Final
24,Ryan Johnson,696270,LAA,SF,LAA@SF,3.9020333206794495,4.098440458113499,4,3.3333333333333335,20,0.09796667932055048,0.09796667932055048,starter,high,official,Final
25,Hunter Brown,686613,HOU,CWS,HOU@CWS,3.8486952871951705,4.051707553135959,7,7.0,23,3.1513047128048295,3.1513047128048295,starter,medium,official,Final
26,Foster Griffin,656492,WSH,AZ,AZ@WSH,3.780676308093456,3.8091294197253456,2,6.666666666666667,26,-1.7806763080934558,1.7806763080934558,starter,low,official,Final
27,Mitch Bratt,683352,AZ,WSH,AZ@WSH,3.3867873889174414,3.935899277400857,3,5.0,26,-0.38678738891744135,0.38678738891744135,starter,high,official,Final
28,Nick Martinez,607259,TB,CLE,CLE@TB,3.1901528909038164,4.07382090004893,5,6.0,21,1.8098471090961836,1.8098471090961836,starter,low,official,Final
29,Randy Vásquez,681190,SD,MIA,SD@MIA,2.789922136071992,3.740971865723761,0,2.6666666666666665,10,-2.789922136071992,2.789922136071992,starter,medium,official,Final
30,Tim Mayza,641835,PHI,NYY,NYY@PHI,2.7273691538314173,2.5907471428360918,1,2.0,6,-1.7273691538314173,1.7273691538314173,swingman,clear,official,Final
