rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,ticket_outlook,matchup_grade,k9,status
1,Sean Manaea,640455,NYM,ATL,ATL@NYM,6.506323106753681,6.774747295362401,4,6.0,24,-2.5063231067536806,2.5063231067536806,swingman,medium,official,,avg,8.824903378683556,Final
2,Joey Cantillo,676282,CLE,CIN,CLE@CIN,6.43443643274029,6.3783048183904665,8,4.0,17,1.5655635672597104,1.5655635672597104,starter,medium,official,,elite,9.5197570596656,Final
3,Chris Sale,519242,ATL,NYM,ATL@NYM,5.831552311212015,5.035580498804251,9,6.0,20,3.1684476887879853,3.1684476887879853,starter,clear,official,,strong,10.864864864864865,Final
4,Tarik Skubal,669373,DET,BAL,BAL@DET,5.801189912281699,4.958332527749366,6,6.666666666666667,25,0.198810087718301,0.198810087718301,starter,clear,official,,soft,11.0,Final
5,Jesús Luzardo,666200,PHI,MIA,PHI@MIA,5.641452234947572,5.188143098331244,5,6.333333333333333,28,-0.6414522349475718,0.6414522349475718,starter,clear,official,,avg,11.182561772840193,Final
6,Cam Schlittler,693645,NYY,CWS,NYY@CWS,5.592168056039351,4.461557577104622,8,6.333333333333333,23,2.407831943960649,2.407831943960649,starter,clear,official,,soft,10.841432648151237,Final
7,Joe Ryan,657746,MIN,KC,KC@MIN,5.393341684249151,5.234185599347527,4,6.0,26,-1.393341684249151,1.393341684249151,starter,low,official,,avg,10.311953811509994,Final
8,Davis Martin,663436,CWS,NYY,NYY@CWS,5.374031701987981,6.0554348989438695,6,6.0,25,0.6259682980120189,0.6259682980120189,starter,clear,official,,elite,8.108108108108109,Final
9,Dustin May,669160,STL,CHC,CHC@STL,5.373923422092453,5.056331986447865,3,5.0,18,-2.373923422092453,2.373923422092453,starter,clear,official,,avg,8.913461538461538,Final
10,Eduardo Rodriguez,593958,AZ,PIT,AZ@PIT,5.2990978295576,6.202846816941757,2,8.0,28,-3.2990978295576,3.2990978295576,starter,low,official,MATCHUP_OK,elite,6.309782739510386,Final
11,Patrick Sandoval,663776,BOS,ATH,BOS@ATH,5.237543320961472,5.492408825863328,7,5.0,22,1.7624566790385279,1.7624566790385279,starter,clear,official,,elite,8.357143426428074,Final
12,Trevor Rogers,669432,BAL,DET,BAL@DET,5.186608558555727,4.978406315178132,6,6.0,28,0.8133914414442733,0.8133914414442733,starter,low,official,,strong,7.205787958121541,Final
13,Zack Littell,641793,WSH,TOR,TOR@WSH,5.1090095936573245,5.632569067795311,2,4.666666666666667,20,-3.1090095936573245,3.1090095936573245,starter,high,official,FILLER,soft,5.881188340940129,Final
14,Trey Yesavage,702056,TOR,WSH,TOR@WSH,4.988948112761072,4.40610829751829,4,6.666666666666667,26,-0.9889481127610722,0.9889481127610722,starter,medium,official,,strong,9.211764705882352,Final
