rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,expected_k_pct,arsenal_abs_grade,arsenal_matchup_rank,matchup_grade,ticket_outlook,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,k9,status
1,David Peterson,656849,CHC,NYY,None@None,6.233007040955291,7.4949551134526144,24.710321295961197,elite,4,elite,,8,6.1,25,1.7669929590447087,1.7669929590447087,starter,medium,official,7.3204230268520725,Final
2,Braxton Ashcraft,677952,PIT,CIN,None@None,6.139412742052598,6.46503299427325,24.964691217992083,elite,2,elite,,5,5.0,19,-1.1394127420525981,1.1394127420525981,starter,clear,official,9.931880521930436,Final
3,Connor Prielipp,687570,MIN,SEA,None@None,5.840046810823786,6.123876396414932,27.75584105836704,elite,1,elite,,5,5.1,24,-0.840046810823786,0.840046810823786,starter,clear,official,9.456221863089837,Final
4,Shane Baz,669358,BAL,PHI,None@None,5.722367650509423,5.353042221816184,20.773816376688465,avg,19,soft,,4,6.1,25,-1.7223676505094234,1.7223676505094234,starter,low,official,7.893443116575342,Final
5,Cristopher Sánchez,650911,PHI,BAL,None@None,5.648007373254855,5.178733899862533,22.273752072831957,avg,12,avg,,11,6.0,25,5.351992626745145,5.351992626745145,starter,clear,official,10.189904593680792,Final
6,Jack Perkins,678022,ATH,DET,None@None,5.584925314454096,5.172958290598134,21.963173248022226,avg,14,avg,,9,5.1,26,3.415074685545904,3.415074685545904,swingman,medium,official,10.53658644422625,Final
7,Jacob deGrom,594798,TEX,HOU,None@None,5.495776662663789,5.126934764488565,24.378180225858106,elite,5,elite,,3,3.1,22,-2.495776662663789,2.495776662663789,starter,low,official,10.767372097574198,Final
8,Yoshinobu Yamamoto,808967,LAD,BOS,None@None,5.409557001563164,5.298293031234166,21.639621662776868,avg,16,avg,,3,8.0,28,-2.409557001563164,2.409557001563164,starter,clear,official,8.450928552985326,Final
9,Framber Valdez,664285,DET,ATH,None@None,5.375030375763238,5.224479484173047,22.86515049769441,strong,9,strong,,6,7.0,30,0.624969624236762,0.624969624236762,starter,low,official,7.305882680820361,Final
10,Logan Gilbert,669302,SEA,MIN,None@None,5.305143671116079,4.8097599754348455,20.661664444633388,avg,20,soft,,6,7.0,26,0.6948563288839207,0.6948563288839207,starter,clear,official,9.525199131754647,Final
11,Drew Rasmussen,656876,TB,CWS,None@None,5.273440797786473,4.340743089808341,19.287287826971745,soft,25,soft,,10,6.0,22,4.726559202213527,4.726559202213527,starter,clear,official,9.053892629195921,Final
12,Kevin Gausman,592332,TOR,STL,None@None,5.239409798021268,5.744912547897878,24.372604860881538,elite,6,elite,,4,5.2,25,-1.239409798021268,1.239409798021268,starter,clear,official,9.098630327169975,Final
13,Miles Mikolas,571945,WSH,ATL,None@None,5.1211653825135155,6.117715252330233,20.392189600159583,avg,22,soft,FILLER,3,6.0,27,-2.1211653825135155,2.1211653825135155,swingman,medium,official,4.588235465713033,Final
14,Payton Tolle,801139,BOS,LAD,None@None,5.059102241603574,3.471559352023441,15.790551505813632,soft,29,soft,,7,6.0,26,1.9408977583964262,1.9408977583964262,starter,clear,official,9.757894736842106,Final
15,Tyler Phillips,663969,MIA,NYM,None@None,4.926192936975196,5.3929002089678875,22.935355950704484,strong,8,strong,MATCHUP_OK,3,5.0,21,-1.9261929369751956,1.9261929369751956,swingman,medium,official,6.723320563595772,Final
16,Andrew Abbott,671096,CIN,PIT,None@None,4.916915592145736,5.357484936831572,24.784066443916885,elite,3,elite,,1,5.0,23,-3.9169155921457364,3.9169155921457364,starter,high,official,7.230769230769231,Final
17,Max Fried,608331,NYY,CHC,None@None,4.776174160004541,4.1079818847657394,19.726022574430132,soft,24,soft,,7,5.1,19,2.2238258399954587,2.2238258399954587,starter,low,official,7.8803830627873275,Final
18,Ronel Blanco,669854,HOU,TEX,None@None,4.522078393392189,4.264527991740235,22.85752049474941,strong,10,strong,,4,4.2,21,-0.5220783933921886,0.5220783933921886,starter,high,official,10.80000102996836,Final
19,Robert Gasser,688107,MIL,LAA,None@None,4.482851823729831,4.546856965254119,21.75182106024486,avg,15,avg,,6,5.0,21,1.5171481762701688,1.5171481762701688,starter,medium,official,8.162790878712652,Final
20,Luinder Avila,679883,KC,COL,None@None,4.471331595298118,4.82088542351237,22.61124673649543,strong,11,strong,,2,2.2,15,-2.4713315952981176,2.4713315952981176,starter,medium,official,7.8861392095689835,Final
21,Reynaldo López,625643,ATL,WSH,WSH@ATL,4.131723240762989,3.805089197906539,19.8954163484991,soft,23,soft,,,,,,,swingman,medium,official,8.288372387140758,missing
22,Ryan Feltner,663372,COL,KC,None@None,4.116539286787387,4.3976443688799405,23.605368516543038,strong,7,strong,MATCHUP_OK,3,6.0,26,-1.1165392867873871,1.1165392867873871,starter,high,official,6.87735873806643,Final
23,Zac Thornton,804267,NYM,MIA,None@None,3.8660689832429087,4.224636362615921,21.311467786962524,avg,18,avg,FILLER,2,4.2,24,-1.8660689832429087,1.8660689832429087,starter,clear,official,6.6741574464038775,Final
24,Tyler Mahle,641816,SF,SD,None@None,3.773859885319875,4.088637371185255,21.407497647935134,avg,17,avg,,9,5.2,25,5.226140114680125,5.226140114680125,starter,medium,official,8.089887640449438,Final
25,Parker Messick,800048,CLE,AZ,None@None,3.730346519459843,3.6244045205846547,16.65870709310702,soft,28,soft,,6,4.1,20,2.269653480540157,2.269653480540157,starter,clear,official,8.760638653395578,Final
26,Kohl Drake,684442,AZ,CLE,None@None,3.623428965565523,3.815899590556904,22.035579138109455,avg,13,avg,FILLER,6,4.0,19,2.376571034434477,2.376571034434477,starter,high,official,6.0,Final
27,Walker Buehler,621111,SD,SF,None@None,3.4671025810734304,3.3125013324596893,17.496357991062837,soft,27,soft,,1,4.1,21,-2.4671025810734304,2.4671025810734304,starter,low,official,8.19000062484746,Final
28,Jordan Hicks,663855,CWS,TB,None@None,1.0783878840983852,1.0783878840983852,18.435788087800784,soft,26,soft,,1,1.0,3,-0.07838788409838515,0.07838788409838515,opener_likely,high,official,10.451615475467676,Final
29,Brent Suter,608718,LAA,MIL,None@None,0.9789288114648949,0.9435639658122217,20.44369023503561,avg,21,soft,,1,2.0,9,0.021071188535105145,0.021071188535105145,opener_likely,low,prior:2026-07-31,7.923913947012667,Final
