pitcher,pitcher_id,opponent,old_exp_ks,new_exp_ks,delta_exp,old_off,new_off,bip,contact,style,old_grade,new_grade,spike,old_ticket,new_ticket,actual_ks,actual_ip,actual_bf,status,old_err,new_err,old_abs,new_abs,game,old_abs_err,new_abs_err,projected_ip,new_k_pct,stuff_whiff_pct,pitcher_style_flags
Ian Seymour,693855,COL,8.06,7.72,-0.34,1.018,1.028,66.3,neutral,whiff,elite,elite,True,,,9,6.0,25,Final,0.94,1.28,0.94,1.28,TB@COL,0.94,1.28,6.639999999999999,25.29418651728193,28.646586035340537,"K% 27.9, Contact% 73.3, FB% 52.3, IFFB% 13.7"
Logan Webb,657277,TEX,5.45,5.92,0.47,1.043,1.07,61.5,whiff_prone,contact_gb,avg,avg,False,FILLER,,8,6.0,24,Final,2.55,2.08,2.55,2.08,SF@TEX,2.55,2.08,6.179561567164179,21.69521420183757,20.17126886528787,GB% 52.1
Justin Wrobleski,680736,CHC,6.35,5.76,-0.59,0.981,0.991,67.4,neutral,balanced,strong,strong,False,,,4,4.33,23,Final,-2.35,-1.76,2.35,1.76,LAD@CHC,2.35,1.76,6.310823645930053,23.742134026600063,20.43926946709205,
Cam Schlittler,693645,STL,5.26,5.39,0.13,0.971,0.971,68.7,neutral,whiff,soft,soft,True,SPIKE,SPIKE,6,3.0,17,Final,0.74,0.61,0.74,0.61,STL@NYY,0.74,0.61,5.770248018193632,17.200986206422748,28.26150757341373,"K% 30.7, Contact% 74.7"
Andrew Alvarez,674841,PHI,4.85,5.21,0.36,1.031,1.055,63.3,whiff_prone,balanced,avg,avg,False,,,5,6.33,24,Final,0.15,-0.21,0.15,0.21,WSH@PHI,0.15,0.21,6.240521834862385,20.57495999105651,25.700270673884635,
Michael McGreevy,700241,NYY,4.33,4.96,0.63,1.055,1.07,65.5,whiff_prone,balanced,elite,elite,False,MATCHUP_OK,MATCHUP_OK,5,4.33,18,Final,0.67,0.04,0.67,0.04,STL@NYY,0.67,0.04,5.250909090909091,24.12009245005922,18.669712753103145,
Michael King,650633,AZ,4.46,4.76,0.3,0.954,0.956,68.8,neutral,fly_popup,avg,avg,False,,,5,5.0,23,Final,0.54,0.24,0.54,0.24,SD@AZ,0.54,0.24,5.383333333333334,21.75664876498433,25.36769020251778,"FB% 40.1, IFFB% 11.0"
Brandon Pfaadt,694297,SD,4.44,4.68,0.24,0.949,0.965,67.1,neutral,contact_gb,avg,avg,False,FILLER,FILLER,3,6.67,25,Final,-1.44,-1.68,1.44,1.68,SD@AZ,1.44,1.68,6.763620374531835,20.282091916554982,20.596763724552773,GB% 48.7
Cal Quantrill,615698,SF,4.51,4.64,0.12,0.937,0.93,69.7,contact_heavy,fly_popup,soft,soft,False,FILLER,FILLER,4,6.0,24,Final,-0.51,-0.64,0.51,0.64,SF@TEX,0.51,0.64,6.823193073593075,15.605321611750178,20.082441471571904,"FB% 45.4, IFFB% 14.3"
Bubba Chandler,696149,MIL,4.11,3.99,-0.12,0.943,0.969,68.0,neutral,fly_popup,avg,avg,False,,,5,5.67,24,Final,0.89,1.01,0.89,1.01,PIT@MIL,0.89,1.01,4.440368525335439,22.18166864607995,23.400000663022983,"FB% 42.7, IFFB% 12.4"
Matthew Boyd,571510,LAD,3.95,3.89,-0.06,0.93,0.93,76.9,contact_heavy,balanced,soft,soft,False,,,3,6.67,28,Final,-0.95,-0.89,0.95,0.89,LAD@CHC,0.95,0.89,5.58974358974359,18.3553663309995,26.08220599622251,
Brandon Sproat,687075,PIT,3.41,3.72,0.31,0.973,1.005,66.9,neutral,balanced,soft,soft,False,,,4,3.0,16,Final,0.59,0.28,0.59,0.28,PIT@MIL,0.59,0.28,4.303736842105264,19.73862469471904,25.086528154051603,
Michael Lorenzen,547179,TB,4.28,3.63,-0.65,1.047,1.008,68.5,neutral,balanced,soft,soft,False,FILLER,FILLER,0,3.0,18,Final,-4.28,-3.63,4.28,3.63,TB@COL,4.28,3.63,4.3130434782608695,19.333320668132803,19.087974622377107,
Aaron Nola,605400,WSH,2.99,3.16,0.17,0.96,0.987,66.1,neutral,balanced,soft,soft,False,,,5,6.0,24,Final,2.01,1.84,2.01,1.84,WSH@PHI,2.01,1.84,4.803228415622697,14.514884080347953,25.579536456085005,
Shane Bieber,669456,HOU,2.97,3.02,0.05,0.946,0.993,66.0,neutral,balanced,avg,avg,False,FILLER,FILLER,6,5.67,28,Final,3.03,2.98,3.03,2.98,TOR@HOU,3.03,2.98,3.833048243754408,20.0264694130072,23.624641963979474,
Cristian Javier,664299,TOR,3.09,2.85,-0.25,0.934,0.93,75.2,contact_heavy,balanced,soft,soft,True,SPIKE,SPIKE,2,6.0,24,Final,-1.09,-0.85,1.09,0.85,TOR@HOU,1.09,0.85,3.8266666666666658,17.15835858256572,28.66923158005692,
