pitcher,pitcher_id,opponent,game,expected_ks,expected_k_pct,projected_ip,arsenal_abs_grade,matchup_grade,pitcher_style,contact_grade,lineup_bip_pct,offense_factor,spike_risk,stuff_whiff_pct,ticket_outlook,actual_ks,actual_ip,actual_bf,status,err,abs_err
Hunter Dobbins,690928,NYY,@,7.705312422124093,28.27172391253531,7.0,elite,elite,contact_gb,neutral,65.7439446366782,1.0518697781050723,False,23.02742300362144,,4,6.1,26,Final,-3.705312422124093,3.705312422124093
Sean Manaea,640455,CLE,@,6.818209148782993,23.73421465515517,6.9174945945945945,strong,strong,balanced,whiff_prone,62.46246246246246,1.07,False,21.246337975749743,,7,6.0,28,Final,0.18179085121700744,0.18179085121700744
Blade Tidwell,694918,TEX,@,6.773387914924622,28.93903476031822,5.149114050511947,elite,elite,balanced,whiff_prone,60.06825938566553,1.07,True,31.919191919191924,MATCHUP_OK,3,5.0,22,Final,-3.773387914924622,3.773387914924622
Cade Povich,700249,LAA,@,5.722106017665164,24.146510722722457,5.728,elite,strong,balanced,neutral,66.77316293929712,1.014287259990724,False,27.440040462070666,MATCHUP_OK,7,6.0,23,Final,1.2778939823348363,1.2778939823348363
Patrick Sandoval,663776,CWS,@,5.623427896335356,27.222864686303424,4.523707076923077,elite,elite,balanced,whiff_prone,62.17948717948718,1.07,False,26.910878897705974,,5,5.0,23,Final,-0.6234278963353557,0.6234278963353557
Tarik Skubal,669373,CHC,@,5.422814022973896,20.259625778671513,5.745208234144099,avg,avg,whiff,neutral,65.6891495601173,1.017241588466805,True,31.109945612416908,,6,6.0,24,Final,0.5771859770261036,0.5771859770261036
MacKenzie Gore,669022,SF,@,5.2879361926771065,25.741681196986598,5.096831232492997,elite,elite,whiff,neutral,68.4873949579832,0.9395496810445948,True,25.679052446697348,,4,6.0,24,Final,-1.2879361926771065,1.2879361926771065
Jesús Luzardo,666200,WSH,@,5.134415340989376,19.77348839961803,5.728805984104722,soft,avg,whiff,whiff_prone,63.225806451612904,1.053555723688207,True,31.84655091506335,SPIKE,7,8.0,29,Final,1.865584659010624,1.865584659010624
Joey Cantillo,676282,NYM,@,5.125299281534489,23.988688417892075,4.407893793103448,strong,strong,whiff,neutral,66.37931034482759,1.0167298315449824,True,29.765712840523157,,5,5.0,24,Final,-0.1252992815344891,0.1252992815344891
Troy Melton,675512,SEA,@,5.060803853211746,19.9933109405372,6.090909090909091,soft,avg,balanced,contact_heavy,71.46596858638743,0.9299999999999999,False,25.699655927431962,,4,7.0,25,In Progress,-1.0608038532117456,1.0608038532117456
Grayson Rodriguez,680570,BAL,@,5.047677879451154,27.94180590396276,4.1415915606382985,elite,elite,balanced,whiff_prone,58.156028368794324,1.07,False,22.126951959224048,,6,7.0,26,Final,0.9523221205488461,0.9523221205488461
Logan Henderson,701656,PIT,@,4.846016121456108,22.247593326732293,4.840988670520231,avg,avg,whiff,neutral,66.76300578034682,1.0066239729604722,True,28.386234137322468,,8,6.0,23,Final,3.153983878543892,3.153983878543892
Freddy Peralta,642547,COL,@,4.832165074442689,25.200034584769863,4.4046956521739125,elite,elite,balanced,whiff_prone,63.03724928366762,1.07,False,26.84194019537017,,3,3.2,19,In Progress,-1.8321650744426892,1.8321650744426892
Joe Ryan,657746,KC,@,4.7407425193260435,22.285699567254657,5.391304347826087,avg,strong,whiff,neutral,68.01242236024845,1.013346563560267,False,25.76309020262035,,3,5.1,25,Final,-1.7407425193260435,1.7407425193260435
Ryan Weathers,677960,STL,@,4.5696349555513205,19.579926446003842,5.463848648648648,soft,soft,whiff,neutral,68.91891891891892,0.9767176617812393,True,27.88165711307973,SPIKE,6,6.0,21,Final,1.4303650444486795,1.4303650444486795
J.T. Ginn,669372,CIN,@,4.509449299527097,18.289411222223105,5.101326031886387,soft,soft,contact_gb,whiff_prone,54.662379421221864,1.07,True,26.884780092592592,SPIKE,5,6.0,24,Final,0.4905507004729026,0.4905507004729026
Trey Yesavage,702056,HOU,@,4.4843674134355,25.60623143581717,4.559011662174305,elite,elite,balanced,neutral,65.76819407008087,0.9996866220991634,True,30.208409986859397,,0,2.0,7,Final,-4.4843674134355,4.4843674134355
Grant Holmes,656550,MIA,@,4.4444351244953735,21.29445008556892,4.695261904761904,avg,avg,balanced,neutral,65.57377049180327,1.0340570985432935,False,25.845557455461396,,5,6.0,23,Final,0.5555648755046265,0.5555648755046265
Javier Assad,665871,LAD,@,4.290221256007132,17.681515232253147,5.92864,soft,soft,contact_gb,contact_heavy,72.60726072607261,0.9299999999999999,False,13.897006347651805,FILLER,3,5.2,21,Final,-1.2902212560071318,1.2902212560071318
