pitcher,pitcher_id,opponent,game,game_status,expected_ks,expected_k_pct,projected_ip,arsenal_abs_grade,matchup_grade,pitcher_style,contact_grade,lineup_bip_pct,offense_factor,spike_risk,stuff_whiff_pct,ticket_outlook,total_trust,strike_pct,f_strike_pct,zone_pct,actual_ks,actual_ip,actual_bf,status,err,abs_err
Jameson Taillon,592791,HOU,TOR@HOU,Final,4.199997702000029,21.227444211261687,4.639076260162602,avg,avg,balanced,neutral,65.58265582655827,0.9914478849538668,False,24.919554613712343,,,62.765121759622936,56.134969,39.120189,4.0,4.0,20.0,Final,-0.19999770200002942,0.19999770200002942
Hunter Brown,686613,TOR,TOR@HOU,Final,3.661815625117807,15.59481398695602,4.8,soft,soft,whiff,contact_heavy,73.50157728706624,0.931084746236562,True,27.63016927195247,SPIKE,,59.61123110151188,56.053812,37.580994,8.0,6.0,23.0,Final,4.338184374882193,4.338184374882193
Eric Lauer,641778,CHC,LAD@CHC,Final,4.555820563952107,22.14728551938184,5.701948727927928,avg,strong,fly_popup,neutral,68.91891891891892,0.9653355339587558,False,17.96843787007126,FILLER,,65.52949538024166,62.84153,39.900427,1.0,4.0,23.0,Final,-3.555820563952107,3.555820563952107
Shota Imanaga,684007,LAD,LAD@CHC,Final,4.9170004969081305,23.87431251781952,5.595072463768116,strong,elite,fly_popup,contact_heavy,73.23529411764706,0.93,True,28.511158117398203,,,65.60926485397785,59.019608,40.403023,6.0,5.0,23.0,Final,1.0829995030918695,1.0829995030918695
Carson Whisenhunt,687931,TEX,SF@TEX,Final,4.654630824618758,26.20722416660759,3.6626666666666665,elite,elite,balanced,whiff_prone,62.876254180602,1.07,True,28.865861923214062,,,62.34567901234568,68.965517,33.950617,4.0,3.3333333333333335,18.0,Final,-0.6546308246187582,0.6546308246187582
Cody Bradford,674003,SF,SF@TEX,Final,,,4.61875148201439,,,whiff,neutral,64.74820143884892,,True,,,,71.0,,,5.0,4.333333333333333,20.0,Final,,
Nick Martinez,607259,COL,TB@COL,Final,3.708663186937401,15.759602759460105,5.863636363636363,soft,soft,balanced,neutral,68.12865497076024,0.9912256003929224,False,17.96114445778311,FILLER,,67.84472769409038,63.983903,44.811594,4.0,5.666666666666667,22.0,Final,0.29133681306259884,0.29133681306259884
Tomoyuki Sugano,608372,TB,TB@COL,Final,3.679153959838424,19.181215393986257,5.2218333333333335,soft,soft,balanced,contact_heavy,71.72619047619048,0.93,False,17.82442708818281,UNDER_OK,,61.24694376528117,58.974359,43.355787,3.0,5.0,22.0,Final,-0.6791539598384242,0.6791539598384242
Reid Detmers,672282,BAL,LAA@BAL,Final,6.541863148427265,25.03252369137524,5.580789785033134,elite,elite,whiff,whiff_prone,60.22304832713755,1.07,True,29.520046549648264,,trust,65.43149683081424,65.107212,43.087445,5.0,4.0,17.0,Final,-1.5418631484272654,1.5418631484272654
Trevor Rogers,669432,LAA,LAA@BAL,Final,5.392168867116322,21.775419361021108,5.507936507936508,avg,strong,fly_popup,whiff_prone,65.31986531986531,1.0606096128152658,False,23.36900963883708,,,68.55381165919283,69.97840199999999,44.444444,9.0,6.0,21.0,Final,3.6078311328836783,3.6078311328836783
Christian Scott,681035,CLE,NYM@CLE,Final,4.3161061358203,20.722962048180094,4.30244998853211,avg,avg,whiff,neutral,66.05504587155963,0.9889862175833268,True,26.411729036637503,,,63.98104265402844,58.305085,42.213439,7.0,5.0,24.0,Final,2.6838938641796997,2.6838938641796997
Tanner Bibee,676440,NYM,NYM@CLE,Final,4.869322794963106,19.43515908321645,5.75,soft,soft,balanced,whiff_prone,63.81766381766382,1.07,False,23.895045965270683,FILLER,,63.66293229420361,65.17690900000001,42.620555,10.0,5.666666666666667,22.0,Final,5.130677205036894,5.130677205036894
Jacob Lopez,682052,CIN,ATH@CIN,Final,4.782012144342121,23.406386480904885,4.015334130442105,strong,elite,fly_popup,whiff_prone,56.432748538011694,1.07,True,24.01963578780681,,,60.33182503770739,59.202454,40.226415,9.0,5.0,19.0,Final,4.217987855657879,4.217987855657879
Rhett Lowder,695076,ATH,ATH@CIN,Final,3.6081349702303527,19.107665083434885,4.552941176470588,soft,soft,balanced,contact_heavy,71.91358024691358,0.9462840493949576,False,20.91881258941345,UNDER_OK,,62.26148409893993,57.978723,44.342291,3.0,6.0,24.0,Final,-0.6081349702303527,0.6081349702303527
Jake Irvin,663623,PHI,WSH@PHI,Final,3.087810663979893,17.43175258833408,4.407399699812383,soft,soft,fly_popup,contact_heavy,70.18970189701896,0.93,False,24.89293260360519,UNDER_OK,,62.57425742574257,60.887097,44.653465,3.0,5.333333333333333,20.0,Final,-0.08781066397989301,0.08781066397989301
Andrew Painter,691725,WSH,WSH@PHI,Final,4.542166683891121,21.8516629190966,4.6399567542857145,avg,strong,balanced,neutral,65.66666666666667,1.007589234321587,False,22.82206166720356,,,64.26819296811121,61.490683,42.354865,4.0,4.0,17.0,Final,-0.5421666838911214,0.5421666838911214
Andre Pallante,669467,NYY,STL@NYY,In Progress,5.435398463904678,22.88909871513475,5.5897696969696975,strong,strong,contact_gb,whiff_prone,64.33333333333333,1.0679732604876526,False,21.683296230905043,MATCHUP_OK,,62.9242819843342,63.91129,43.185379000000005,4.0,5.333333333333333,21.0,In Progress,-1.4353984639046784,1.4353984639046784
Will Warren,701542,STL,STL@NYY,In Progress,4.147166726981498,16.67199756758008,5.136363636363637,soft,soft,balanced,contact_heavy,73.95498392282958,0.93,True,21.608457142857148,SPIKE,,62.724795640326974,61.099366,40.20731,5.0,5.333333333333333,23.0,In Progress,0.8528332730185024,0.8528332730185024
Sean Burke,680732,BOS,CWS@BOS,Final,6.33574780937494,19.190779404183854,6.518528195131703,soft,soft,whiff,neutral,67.80626780626781,0.9616376323528484,True,25.98151561699949,SPIKE,,66.65,64.554455,42.671336,4.0,4.333333333333333,20.0,Final,-2.33574780937494,2.33574780937494
Sonny Gray,543243,CWS,CWS@BOS,Final,5.138956930583179,21.035412964754624,5.66597150239941,avg,avg,balanced,whiff_prone,61.04651162790697,1.07,False,21.902546989532528,,,64.53172205438067,64.208243,41.450151000000005,8.0,6.0,23.0,Final,2.861043069416821,2.861043069416821
Eury Pérez,691587,ATL,MIA@ATL,Final,5.496917613541464,25.1753725208466,5.483333333333333,elite,elite,whiff,neutral,67.7710843373494,1.029168037773081,True,28.678370990926545,,,64.2018779342723,61.938534,41.950646000000006,9.0,5.0,24.0,Final,3.5030823864585363,3.5030823864585363
Bryce Elder,693821,MIA,MIA@ATL,Final,4.528728083241516,18.876892418064447,5.757575757575758,soft,soft,balanced,neutral,68.58006042296073,0.9861180220275648,False,21.508103917381,,,62.94444444444444,63.095238,40.800445,3.0,7.0,25.0,Final,-1.528728083241516,1.528728083241516
Dean Kremer,665152,KC,MIN@KC,Final,3.9516666865595744,18.988642871580662,4.97125,soft,soft,whiff,neutral,69.00584795321637,0.9851398043567984,False,27.08143834450158,,,62.876254180602,63.398693,41.038526,2.0,5.0,19.0,Final,-1.9516666865595744,1.9516666865595744
Noah Cameron,702070,MIN,MIN@KC,Final,4.69228856362811,19.15887004890636,5.841269841269842,soft,soft,balanced,contact_heavy,71.51702786377709,0.951980888343992,False,26.165574650912998,,,62.78350515463917,60.12024,40.206186,9.0,8.0,28.0,Final,4.30771143637189,4.30771143637189
