rank,pitcher,opponent,expected_ks,projected_ip,expected_k_pct,arsenal_abs_grade,pitcher_style,ticket_outlook,outing_risk,spike_risk,lineup_source,ks,ip,bf,pitches,bb,outs,k_err
1,Nathan Eovaldi,BAL,6.399474235813238,5.747178636252636,25.451347959102385,elite,whiff,,medium,True,official,2,5.1,22,1921.0,2,16,-4.399474235813238
2,Parker Messick,CWS,5.743842884025416,5.797253476482617,22.926177632107688,strong,whiff,,clear,False,official,8,7.0,26,2009.0,1,21,2.2561571159745837
3,Shane Drohan,MIN,5.662014553877829,6.5,18.54291661968344,soft,balanced,SPIKE,clear,True,official,4,5.0,26,1361.0,4,15,-1.662014553877829
4,Tyler Phillips,LAA,5.608532958209932,5.8055555555555545,23.92261150551221,strong,balanced,MATCHUP_OK,medium,False,official,4,4.0,18,1422.0,1,12,-1.6085329582099321
5,Jack Perkins,BOS,5.596377762383163,5.871187138499844,21.272242238148287,avg,whiff,,medium,True,official,3,3.0,17,1282.0,3,9,-2.596377762383163
6,Tyler Mahle,NYY,5.557166894560367,4.939145592225889,27.030627345437967,elite,balanced,,medium,False,official,9,6.0,23,1580.0,2,18,3.4428331054396333
7,Carmen Mlodzinski,NYM,5.549396445194683,6.510000000000001,24.85831187660593,elite,balanced,,medium,False,official,1,3.0,16,1574.0,1,9,-4.549396445194683
8,Payton Tolle,ATH,5.446663356229411,5.611111111111111,19.54594578230173,soft,whiff,SPIKE,clear,True,official,14,6.0,20,1538.0,0,18,8.553336643770589
9,Max Fried,ATL,5.422270075700837,5.538461538461538,22.325183573842068,avg,balanced,,clear,True,official,7,6.1,22,1118.0,2,19,1.5777299242991631
10,Zebby Matthews,MIL,5.199792947663494,5.420742210107441,22.379219076198268,avg,balanced,,medium,False,official,4,5.0,24,1303.0,2,15,-1.1997929476634939
11,Kyle Leahy,COL,5.141517280220801,5.111111111111111,23.54482294658503,strong,balanced,,clear,False,official,8,5.0,22,1770.0,0,15,2.8584827197791993
12,Logan Gilbert,TB,4.943005490771215,6.03030303030303,19.85164002126062,soft,whiff,SPIKE,clear,True,official,6,6.2,27,2067.0,4,20,1.056994509228785
13,Roki Sasaki,AZ,4.92003521758852,4.8015,24.785374845717936,elite,fly_popup,,medium,True,official,5,6.0,23,1700.0,1,18,0.07996478241147997
14,Zack Wheeler,TOR,4.880851018728435,5.6,17.162151149009613,soft,whiff,SPIKE,clear,True,official,6,5.1,28,1646.0,5,16,1.1191489812715654
15,Ronel Blanco,SD,4.770678747343323,4.394682950204081,24.50964701758022,elite,whiff,,high,False,official,1,4.2,19,253.0,3,14,-3.7706787473433234
16,Shane Baz,TEX,4.7533070446677055,5.720575870646766,18.93884293105875,soft,balanced,,clear,False,official,9,8.0,28,2119.0,1,24,4.2466929553322945
17,Cade Cavalli,CIN,4.583745554711529,4.912469470732563,22.30059743975808,avg,whiff,,clear,False,official,8,6.0,26,2058.0,2,18,3.4162544452884713
18,Kevin Gausman,KC,4.537690295964356,5.536231884057971,20.11992306197263,avg,balanced,,clear,False,official,4,7.0,26,2140.0,1,21,-0.5376902959643557
19,Drew Rasmussen,SEA,4.478062906108868,5.504378115133428,16.161672506699244,soft,whiff,SPIKE,clear,True,official,8,7.0,24,1820.0,2,21,3.5219370938911316
20,Merrill Kelly,LAD,4.287866232031264,5.109871083333333,20.112804061555465,avg,balanced,FILLER,high,False,official,4,5.2,21,1843.0,4,17,-0.2878662320312637
21,Robbie Ray,HOU,4.2369690251170855,5.090220565552699,19.290966661356883,soft,balanced,,medium,False,official,2,5.0,25,2062.0,5,15,-2.2369690251170855
22,Keider Montero,SF,4.026615962355516,6.0139553196508615,16.6568724669752,soft,fly_popup,UNDER_OK,low,False,official,5,6.0,27,1681.0,3,18,0.9733840376444842
23,Ryan Feltner,STL,3.9811222198048646,4.393511160256411,23.647642559047043,strong,fly_popup,MATCHUP_OK,high,False,official,2,5.1,24,1244.0,3,16,-1.9811222198048646
24,George Klassen,MIA,3.937785280828961,3.4713333333333334,23.702604186981816,strong,contact_gb,,high,True,official,3,4.0,20,145.0,4,12,-0.9377852808289608
25,Zac Thornton,PIT,3.6911613696821024,5.534146897546898,18.12078158379278,soft,balanced,FILLER,low,False,official,3,5.0,19,497.0,2,15,-0.6911613696821024
26,José Soriano,PHI,3.261611035367653,4.914521210487626,16.868215698447745,soft,whiff,SPIKE,medium,True,official,3,4.2,20,2043.0,3,14,-0.26161103536765307
27,Noah Schultz,CLE,3.1392781314700846,4.1475099053918045,16.155426745828358,soft,balanced,,high,False,official,1,0.1,5,1124.0,0,1,-2.1392781314700846
28,Chase Petty,WSH,1.192330755035871,1.4264742913907285,22.77742964257237,strong,balanced,MATCHUP_OK,high,False,official,1,1.2,9,439.0,1,5,-0.19233075503587105
29,Daniel Lynch IV,CHC,1.169129700416866,1.5,19.616387752128944,soft,contact_gb,UNDER_OK,clear,False,official,2,1.2,10,675.0,2,5,0.8308702995831341
30,JT Brubaker,DET,0.7492433327330498,1.3483324448275862,20.68751401471271,avg,balanced,FILLER,medium,False,prior:2026-08-06,1,1.0,5,878.0,0,3,0.25075666726695023
