rank,pitcher,opponent,expected_ks,projected_ip,expected_k_pct,arsenal_abs_grade,pitcher_style,ticket_outlook,outing_risk,spike_risk,lineup_source,ks,ip,bf,pitches,bb,outs,k_err,game_status
1,Chris Sale,NYY,7.854625419690791,5.757124436090225,27.476966839464023,elite,whiff,,clear,True,official,8.0,6.0,23.0,103,2.0,18,0.14537458030920902,final
2,Gavin Williams,CWS,7.125660584676842,5.947675682805711,22.736008763651192,strong,whiff,,low,True,official,7.0,5.666666666666667,22.0,102,2.0,22,-0.12566058467684194,final
3,Jacob deGrom,BAL,6.541204001137173,5.2779324973876705,26.798373867946005,elite,whiff,,low,True,official,9.0,5.0,18.0,88,1.0,15,2.4587959988628274,final
4,Andrew Alvarez,CIN,6.390873113395055,5.992549051808406,28.261753845427837,elite,balanced,,medium,False,official,2.0,5.333333333333333,20.0,73,1.0,18,-4.390873113395055,final
5,Matthew Liberatore,COL,5.692455853502869,4.793768115942029,28.045168145405267,elite,balanced,,medium,False,official,3.0,5.0,24.0,94,2.0,15,-2.692455853502869,final
6,Gerrit Cole,ATL,5.573667008226756,5.761904761904762,22.367266839661,avg,whiff,,low,True,official,9.0,7.0,27.0,82,0.0,21,3.4263329917732444,final
7,Chase Burns,WSH,5.36604607053965,5.439004195804197,22.503371561042034,strong,whiff,,clear,True,official,6.0,5.333333333333333,25.0,96,3.0,18,0.6339539294603496,final
8,Sandy Alcantara,LAA,5.289411765212278,6.546666666666666,18.39805610875864,soft,balanced,,clear,False,official,8.0,7.0,25.0,108,1.0,21,2.710588234787722,final
9,Gage Jump,BOS,5.244753532074602,4.5926188235294125,24.206709612354672,elite,whiff,,medium,True,official,11.0,6.0,27.0,100,2.0,18,5.755246467925398,final
10,Yoshinobu Yamamoto,AZ,5.138958409214857,6.634920634920635,22.77750926707715,strong,balanced,,clear,False,official,6.0,5.666666666666667,24.0,107,3.0,22,0.8610415907851428,final
11,Taj Bradley,MIL,5.130334586695533,5.238881083142639,21.0289360484541,avg,whiff,,medium,True,official,7.0,5.0,23.0,97,2.0,15,1.8696654133044666,final
12,Clay Holmes,KC,5.086681931591069,5.666666666666666,21.3043499373608,avg,contact_gb,,clear,False,official,1.0,4.0,18.0,70,2.0,12,-4.086681931591069,final
13,Jake Bennett,ATH,5.065247264344248,5.897435897435898,22.246563908275938,avg,balanced,FILLER,clear,False,official,5.0,5.333333333333333,25.0,88,3.0,18,-0.0652472643442481,final
14,Brandon Pfaadt,LAD,4.870855406119277,6.878787878787879,20.638966328115252,avg,contact_gb,UNDER_OK,low,False,official,2.0,7.0,23.0,93,2.0,21,-2.8708554061192766,final
15,Peter Lambert,SD,4.843502038114554,5.532518333333334,19.98278760784444,soft,fly_popup,,low,False,official,3.0,5.0,23.0,97,3.0,15,-1.8435020381145542,final
16,Walbert Ureña,MIA,4.606779923939191,4.686071879699249,23.65374283584887,strong,balanced,,medium,True,official,2.0,2.3333333333333335,13.0,50,3.0,9,-2.6067799239391913,final
17,Bubba Chandler,NYM,4.567018508488909,4.576636363636363,22.59854785007031,strong,fly_popup,,high,False,official,5.0,6.0,21.0,85,1.0,18,0.4329814915110912,final
18,Michael King,HOU,4.439877018632491,5.1662685080183275,20.60552793078541,avg,balanced,,medium,False,official,6.0,6.0,21.0,93,1.0,18,1.5601229813675088,final
19,Seth Lugo,CHC,4.42763286631738,5.504043711843711,21.272389953043664,avg,balanced,FILLER,low,False,official,5.0,6.0,24.0,90,1.0,18,0.5723671336826204,final
20,Anthony Kay,CLE,4.379627595702521,5.070573617480442,19.018551950733713,soft,balanced,,low,False,official,4.0,6.0,25.0,83,1.0,18,-0.37962759570252125,final
21,Robert Stock,PIT,4.216215026525418,4.609793394594595,19.762497475226738,soft,balanced,SPIKE,medium,True,official,4.0,3.0,23.0,80,5.0,9,-0.21621502652541835,final
22,Kyle Bradish,TEX,4.20604654722387,4.8892981168563985,20.97784919306163,avg,balanced,,medium,False,official,4.0,6.0,22.0,98,0.0,18,-0.2060465472238704,final
23,George Kirby,TB,4.0139063338697785,5.954545454545454,20.473251120709378,avg,balanced,,clear,False,official,1.0,4.0,16.0,70,2.0,12,-3.0139063338697785,final
24,Landen Roupp,DET,4.00307557816741,4.952817359909466,22.099432804341863,avg,balanced,,low,False,official,3.0,5.333333333333333,23.0,85,5.0,18,-1.0030755781674099,final
25,Aaron Nola,TOR,3.5135712035777757,5.052083333333333,12.76845572694171,soft,balanced,UNDER_OK,medium,False,official,8.0,5.0,22.0,97,2.0,15,4.486428796422224,final
26,Robert Gasser,MIN,3.4352298930897773,4.99923076923077,16.576337269582677,soft,fly_popup,UNDER_OK,medium,False,official,3.0,4.666666666666667,23.0,94,2.0,19,-0.43522989308977733,final
27,Kyle Freeland,STL,3.4050831925848106,5.050762572166852,16.04031376522159,soft,balanced,,medium,False,official,3.0,4.333333333333333,23.0,101,3.0,15,-0.4050831925848106,final
28,Max Scherzer,PHI,2.858442775618889,3.2577961964369746,19.94376339571144,soft,fly_popup,UNDER_OK,high,False,official,4.0,5.333333333333333,21.0,84,0.0,18,1.1415572243811112,final
29,Casey Legumina,SEA,2.176185129053061,2.846374750877193,21.017983718204967,avg,balanced,FILLER,medium,False,official,1.0,1.3333333333333333,5.0,13,0.0,6,-1.176185129053061,final
,Jackson Jobe,SF,,5.4,,,whiff,,clear,False,official,4.0,5.0,16.0,71,1.0,15,,final
