pitcher,pitcher_id,opponent,game,expected_ks,expected_k_pct,projected_ip,arsenal_abs_grade,matchup_grade,pitcher_style,contact_grade,lineup_bip_pct,offense_factor,spike_risk,stuff_whiff_pct,ticket_outlook,total_trust,under_confirm_n,actual_ks,actual_ip,actual_bf,status,err,abs_err
Reid Detmers,672282,TEX,TEX@LAA,7.682221269263176,31.210202303006767,5.517084982014389,elite,elite,whiff,whiff_prone,62.589928057553955,1.07,True,29.354037428549052,,trust,0,6,6.0,24,Final,-1.6822212692631764,1.6822212692631764
MacKenzie Gore,669022,LAA,TEX@LAA,6.17232903177206,24.284926729531726,5.36,elite,elite,whiff,whiff_prone,62.22222222222222,1.07,True,25.839330487270907,,trust,0,9,5.1,23,Final,2.82767096822794,2.82767096822794
Hunter Dobbins,690928,PHI,PHI@STL,6.0621635034000665,23.573724218882873,6.5212,strong,strong,balanced,neutral,64.85714285714286,0.9989811496161553,False,23.38815866924608,,caution,0,6,5.0,22,Final,-0.06216350340006649,0.06216350340006649
Christian Scott,681035,ATL,NYM@ATL,5.047762585618045,25.00879841911429,4.377450980392156,elite,elite,whiff,neutral,70.58823529411765,0.9649921418253737,True,26.60420560747664,,,0,6,4.0,21,Final,0.9522374143819547,0.9522374143819547
Dean Kremer,665152,BAL,BAL@MIN,4.994107887073696,24.785970413269936,5.0560173989071036,elite,elite,balanced,whiff_prone,58.36065573770492,1.07,False,25.066193278286043,,,0,7,7.0,22,Final,2.005892112926304,2.005892112926304
Noah Cameron,702070,LAD,KC@LAD,4.888518399502961,20.39679707640948,5.833333333333334,avg,avg,balanced,contact_heavy,73.37461300309597,0.9299999999999999,False,26.32662932790224,,,1,2,5.2,24,Final,-2.888518399502961,2.888518399502961
Casey Mize,663554,MIL,MIL@SD,4.809385645831335,24.10591002316106,5.116691550603528,elite,elite,fly_popup,whiff_prone,59.33147632311978,1.07,False,26.56704557995806,,,1,6,6.0,24,Final,1.1906143541686651,1.1906143541686651
Andrew Painter,691725,STL,PHI@STL,4.706863012467375,22.170530515491908,4.972463166042446,avg,strong,balanced,contact_heavy,69.66292134831461,0.9559735978923346,False,22.812577604558086,,,2,6,5.1,21,Final,1.293136987532625,1.293136987532625
Sonny Gray,543243,TOR,BOS@TOR,4.68700845993739,20.604155737824687,5.712121212121212,avg,avg,contact_gb,neutral,69.20529801324503,0.9483199110275065,False,22.76209491601011,,,1,4,6.0,26,Final,-0.68700845993739,0.68700845993739
Tarik Skubal,669373,KC,KC@LAD,4.686343097624729,18.879642226722257,5.981481481481482,soft,soft,whiff,contact_heavy,74.09638554216868,0.9413916686276761,True,31.113090697758896,SPIKE,,1,6,5.0,21,Final,1.3136569023752713,1.3136569023752713
Hayden Wesneski,669713,SF,HOU@SF,4.63142166072258,21.096734673034526,5.933333333333334,avg,avg,balanced,neutral,68.86792452830188,0.9814942980849418,False,26.4758064516129,FILLER,,0,4,7.0,27,Final,-0.6314216607225802,0.6314216607225802
Trevor Rogers,669432,MIN,BAL@MIN,4.582156280435261,17.982715171268666,5.4393939393939394,soft,soft,fly_popup,contact_heavy,70.06369426751593,0.9440174349614374,True,23.497245340119683,SPIKE,,2,4,4.0,19,Final,-0.5821562804352611,0.5821562804352611
Logan Henderson,701656,SD,MIL@SD,4.579090347516882,19.95028843134313,5.121212121212121,soft,soft,whiff,contact_heavy,69.57831325301204,0.9605053639306178,True,28.955353218210362,SPIKE,,1,7,6.1,24,Final,2.420909652483118,2.420909652483118
Gabriel Hughes,687312,AZ,COL@AZ,4.534265836290205,20.873189086533355,5.331653943125183,avg,avg,balanced,neutral,67.54617414248021,0.9705078842520568,False,20.015311683463977,,,0,3,4.0,22,Final,-1.5342658362902046,1.5342658362902046
Freddy Peralta,642547,ATH,TB@ATH,4.3448372387729375,21.959325951039844,4.881944444444444,avg,avg,balanced,neutral,67.7710843373494,0.9610196125528477,False,26.49304527788808,,,0,5,6.0,24,Final,0.6551627612270625,0.6551627612270625
Bryce Elder,693821,NYM,NYM@ATL,4.309534477497869,19.643976942249317,5.676171122994653,soft,soft,balanced,neutral,64.97326203208556,1.0224542404669696,False,20.98003186404674,,,0,4,5.0,27,Final,-0.309534477497869,0.309534477497869
Michael Soroka,647336,COL,COL@AZ,3.9560620578601013,18.871264393029563,5.18,soft,soft,balanced,neutral,69.88636363636364,0.9647551044468451,False,22.424063464970498,,,1,4,4.1,18,Final,0.043937942139898656,0.043937942139898656
Jacob Lopez,682052,TB,TB@ATH,3.8251007490230498,17.70692223631713,4.181124375,soft,soft,fly_popup,contact_heavy,72.45508982035928,0.9299999999999999,True,24.327003831417624,SPIKE,,4,5,7.0,27,Final,1.1748992509769502,1.1748992509769502
Jameson Taillon,592791,BOS,BOS@TOR,3.681128420691916,19.89109552231242,4.638112471849866,soft,soft,balanced,neutral,67.5603217158177,0.9820714513671779,False,25.96317377974074,,,1,3,4.0,16,Final,-0.6811284206919161,0.6811284206919161
Blade Tidwell,694918,HOU,HOU@SF,1.2975209798230372,24.01783600636585,1.4409789473684211,elite,strong,fly_popup,neutral,66.3157894736842,0.9928022237917461,True,27.871448325081406,MATCHUP_OK,,3,6,5.2,22,Final,4.702479020176963,4.702479020176963
