rank,pitcher,game,ip,k,h,er,bb,hr,exp_k,delta_k,matchup,style,spike,trust,outlook,soft_contact,ip_proj
1,Sean Burke,CIN@CWS,7.0,8,3,1,0,1,6.264,1.736,avg,whiff,True,,,False,6.33
2,Shota Imanaga,CHC@WSH,4.2,5,6,4,0,3,6.22,-1.22,elite,fly_popup,False,thin,THIN_TOTAL,False,5.55
3,Bryan Woo,SEA@NYY,5.0,5,3,0,1,0,6.178,-1.178,elite,fly_popup,False,thin,THIN_TOTAL,False,5.66
4,Cody Bradford,TEX@LAA,7.0,1,5,3,1,0,5.913,-4.913,elite,whiff,True,trust,,False,4.74
5,Paul Skenes,PIT@MIA,5.0,4,5,1,1,1,5.445,-1.445,strong,whiff,True,,,False,5.39
6,Drew Anderson,CLE@DET,4.0,4,4,1,2,1,5.286,-1.286,avg,whiff,True,,,False,6.3
7,Ryan Weathers,SEA@NYY,5.2,4,2,1,3,1,5.271,-1.271,elite,whiff,True,,,False,5.46
8,Brandon Young,BAL@MIN,6.0,4,6,1,3,0,5.243,-1.243,elite,fly_popup,False,,,False,5.55
9,Eury Pérez,PIT@MIA,7.0,7,3,0,2,0,5.205,1.795,soft,whiff,True,,SPIKE,False,5.44
10,Dylan Cease,BOS@TOR,5.0,7,5,3,4,2,5.187,1.813,avg,whiff,True,,,False,5.4
11,Cristopher Sánchez,PHI@STL,6.0,7,4,0,0,0,5.166,1.834,soft,whiff,True,,SPIKE,False,6.04
12,Mitch Bratt,COL@AZ,6.0,4,4,2,1,1,4.952,-0.952,elite,fly_popup,False,,MATCHUP_OK,True,4.03
13,Nick Lodolo,CIN@CWS,4.0,5,5,4,0,3,4.851,0.149,strong,balanced,False,,MATCHUP_OK,True,4.7
14,Nolan McLean,NYM@ATL,6.0,3,1,1,2,1,4.837,-1.837,soft,whiff,True,,SPIKE,False,5.69
15,Bailey Ober,BAL@MIN,6.0,4,8,5,1,3,4.625,-0.625,elite,fly_popup,False,,MATCHUP_OK,True,5.27
16,Patrick Sandoval,BOS@TOR,6.0,4,8,2,3,0,4.529,-0.529,soft,fly_popup,False,,,False,4.75
17,Kyle Harrison,MIL@SD,4.2,3,10,8,3,3,4.379,-1.379,avg,whiff,True,,,False,4.58
18,Martín Pérez,NYM@ATL,6.0,2,4,0,3,0,4.288,-2.288,avg,balanced,False,,FILLER,True,5.12
19,Tomoyuki Sugano,COL@AZ,6.0,5,6,2,0,2,4.133,0.867,avg,balanced,False,,FILLER,True,5.19
20,Michael Wacha,KC@LAD,6.2,5,7,3,0,1,4.103,0.897,soft,fly_popup,False,,UNDER_OK,True,6.26
21,Tanner Bibee,CLE@DET,6.1,4,5,5,2,0,4.081,-0.081,soft,balanced,False,,FILLER,True,5.42
22,Carson Whisenhunt,HOU@SF,5.2,2,4,1,3,0,3.897,-1.897,strong,balanced,True,,,False,3.57
23,Hunter Brown,HOU@SF,5.0,4,5,3,3,1,3.802,0.198,soft,whiff,True,,SPIKE,False,4.8
24,Blake Snell,KC@LAD,6.0,10,3,1,1,0,3.655,6.345,avg,whiff,True,,,False,4.19
25,Walker Buehler,MIL@SD,6.0,5,3,1,2,0,3.623,1.377,soft,balanced,False,,,False,4.24
26,Jake Irvin,CHC@WSH,3.1,4,4,5,2,1,3.608,0.392,strong,fly_popup,False,,,False,4.29
27,Andre Pallante,PHI@STL,6.0,2,4,0,3,0,3.459,-1.459,soft,contact_gb,False,,UNDER_OK,True,5.19
28,Nick Martinez,TB@ATH,9.0,5,8,4,0,1,3.442,1.558,soft,balanced,False,,FILLER,True,5.86
29,Ryan Johnson,TEX@LAA,4.1,5,3,1,2,1,3.38,1.62,soft,balanced,False,,FILLER,True,3.97
30,Mason Barnett,TB@ATH,4.0,0,5,5,3,3,0.979,-0.979,avg,balanced,True,,,False,1.31
