date,pitcher,team,opp,game,tip_ct,board_snap,process,matchup,contact,style,spike,stuff_plus,loc_plus,arv_opp,proj_bf,proj_ip,k_rate,book_k,book_h,book_er,exp_k,k_edge,p_over,act_ip,act_k,act_h,act_er,act_bb,act_hr,act_bf,act_pitches,act_strikes,act_k_pct,signed_err,abs_err,k_over,h_over,er_over,k_under,lean,process_grade,notes,alt_aft_k_line,alt_aft_k_over,alt_o45,alt_o55,alt_o65,morn_k_line,morn_k_over,morn_exp
2026-08-13,Parker Messick,CLE,DET,CLE@DET,12:10 CT,morning,CLEAR_AVG,avg,neutral,whiff,False,96.6,105.2,-0.99,23.7,5.84,0.238,5.5,4.5,2.5,5.63,0.13,0.51,5.2,6,3,2,2,1,23,102,59,0.261,0.37,0.37,HIT,MISS,MISS,MISS,USER O5.5 K,CONFIRM,HIT O5.5. Exp≈book. Act K%26.1. DET leash didn't kill Ks. H/ER overs MISS.,,,HIT,HIT,MISS,,,
2026-08-13,Keider Montero,DET,CLE,CLE@DET,12:10 CT,morning,UNDER_OK,soft,neutral,fly_popup,False,94.8,100.7,-1.66,24.0,5.79,0.135,2.5,4.5,2.5,3.25,0.75,0.65,6.1,0,3,0,1,0,23,88,51,0.0,-3.25,3.25,MISS,MISS,MISS,HIT,UNDER_OK quiet; fade K-over juice,CONFIRM_QUIET__MISS_K_OVER,0K gem. K over MISS. H under HIT. ER under HIT. +0.75 K edge was trap.,,,MISS,MISS,MISS,,,
2026-08-13,Andrew Abbott,CIN,CWS,CIN@CWS,12:10 CT,morning,MATCHUP_OK,strong,neutral,balanced,False,94.8,98.4,2.16,20.0,4.61,0.174,4.5,,,4.05,-0.45,0.38,4.1,3,7,5,3,0,23,93,55,0.13,-1.05,1.05,MISS,,,HIT,DAMAGE H/ER; fade K over,CONFIRM_DAMAGE,"7H/5ER/3BB. Flags high_bb,high_xfip,exit_xfip_bb printed. K over MISS.",,,MISS,MISS,MISS,,,
2026-08-13,Davis Martin,CWS,CIN,CIN@CWS,12:10 CT,morning,ELITE_LABEL_SOFT_STUFF,elite,whiff_prone,balanced,False,90.1,94.7,-1.86,22.5,4.72,0.216,4.5,,,4.87,0.37,0.56,2.0,3,2,3,1,2,11,35,21,0.273,-1.87,1.87,MISS,,,HIT,O3.5 max + length veto,CONFIRM_LENGTH_VETO,2IP/2HR/3ER. Rate OK volume dead. Stuff+90 short_recent_ip. O4.5 MISS.,,,MISS,MISS,MISS,,,
2026-08-13,Braxton Ashcraft,PIT,MIA,PIT@MIA,12:10 CT,morning,SPIKE,soft,neutral,whiff,True,106.1,107.2,2.43,23.3,5.78,0.202,5.5,4.5,1.5,4.71,-0.79,0.32,9.0,10,3,1,1,1,28,85,64,0.357,5.29,5.29,HIT,MISS,MISS,MISS,SPIKE ceiling; never soft-under,CONFIRM_SPIKE,10K gem. Exp undershoot +5.3. O5.5 HIT. Soft-under would die. Arv+2.4 ceiling.,8.5,HIT,HIT,HIT,HIT,,,
2026-08-13,Tyler Phillips,MIA,PIT,PIT@MIA,12:10 CT,morning,MATCHUP_OK,avg,whiff_prone,balanced,False,96.0,98.5,1.07,23.7,5.25,0.223,3.5,4.5,1.5,5.29,1.79,0.81,5.1,6,6,4,1,1,23,92,64,0.261,0.71,0.71,HIT,HIT,HIT,MISS,O3.5 K floor,CONFIRM_K__PLUS_DAMAGE,6K O3.5 HIT. Also 6H/4ER — not clean. Fat edge real on K.,,,HIT,HIT,MISS,,,
2026-08-13,Logan Gilbert,SEA,NYY,SEA@NYY,12:35 CT,morning,ELITE_SPIKE,strong,whiff_prone,whiff,True,109.1,104.4,1.49,22.9,5.97,0.265,6.5,4.5,2.5,6.08,-0.42,0.41,6.0,7,4,0,1,0,22,95,59,0.318,0.92,0.92,HIT,MISS,MISS,MISS,USER O4.5 K (floor),CONFIRM,7K. O4.5/5.5/6.5 all HIT at morning book. Line later 5.5. Clean 0ER. Stuff+109 stack.,5.5,HIT,HIT,HIT,HIT,6.5,HIT,6.08
2026-08-13,Max Fried,NYY,SEA,SEA@NYY,12:35 CT,morning,STRONG_SPIKE,strong,neutral,balanced,True,106.1,102.0,0.2,23.5,5.63,0.226,5.5,4.5,1.5,5.32,-0.18,0.45,5.0,4,5,1,2,1,20,88,55,0.2,-1.32,1.32,MISS,HIT,MISS,HIT,O4.5 lean; not O5.5 juice,PARTIAL,"4K: O5.5 MISS, O4.5 would HIT. H O4.5 HIT. ER over MISS (1 vs 1.5).",,,MISS,MISS,MISS,,,
2026-08-13,Payton Tolle,BOS,TOR,BOS@TOR,2:07 CT,morning_line_5.5__aft_6.5,SPIKE,soft,contact_heavy,whiff,True,114.5,99.2,-1.63,22.7,5.57,0.237,5.5,4.5,1.5,5.39,-0.11,0.46,8.0,4,2,0,2,0,26,91,61,0.154,-1.39,1.39,MISS,MISS,MISS,HIT,no soft-under; fade aft O6.5 juice,PROCESS_OK_MIXED,4K/8IP gem. Soft under would HIT but SPIKE forbids. Morn O5.5 MISS; aft O6.5 MISS. Rate collapse 15%.,6.5,MISS,MISS,MISS,MISS,5.5,MISS,5.39
2026-08-13,Max Scherzer,TOR,BOS,BOS@TOR,2:07 CT,aft_MATCHUP_OK_exp,UNDER_OK_to_MATCHUP_OK,strong,neutral,balanced,False,93.2,103.3,1.97,21.5,3.56,0.134,4.5,4.5,2.5,2.88,-1.62,0.14,5.0,4,3,1,2,0,20,92,61,0.2,1.12,1.12,MISS,MISS,MISS,HIT,fade K over; soft damage,SOFT_MIXED,4K O4.5 MISS by 0.5. Damage soft 3H/1ER. Exp too low on IP/BF. Fade-over nearly right.,,,MISS,MISS,MISS,4.5,MISS,3.05
2026-08-13,Kevin Gausman,CHC,WSH,CHC@WSH,3:05 CT,afternoon,SOFT_OFF,soft,whiff_prone,balanced,False,98.2,107.8,2.46,22.7,5.41,0.217,5.5,4.5,2.5,4.93,-0.57,0.37,4.2,7,7,6,1,1,22,93,64,0.318,2.07,2.07,HIT,HIT,HIT,MISS,not clean K; damage watch,MIXED_K_HIT_BLOWUP,7K O5.5 HIT + 7H/6ER blowup. Morn Exp6.16/line4.5 wrong world. Aft cut correct direction.,,,HIT,HIT,HIT,4.5,HIT,6.16
2026-08-13,Cade Cavalli,WSH,CHC,CHC@WSH,3:05 CT,afternoon,FADE_K_OVER,avg,whiff_prone,whiff,False,102.1,97.3,-1.83,19.8,4.92,0.227,5.5,5.5,2.5,4.49,-1.01,0.28,8.0,10,1,0,2,0,26,103,63,0.385,5.51,5.51,HIT,MISS,MISS,MISS,fade O5.5 (not chalk under),MISS_FADE,10K gem. Fade WRONG. Exp collapsed BF19.8. Whiff_prone CHC+Stuff+102+length = Castillo-style.,,,HIT,HIT,HIT,5.5,HIT,3.92
