date,pitcher,game,board_snap,process,matchup,contact,style,spike,stuff_plus,arv_opp,risk_flags,exp_k,book_k,book_h,book_er,k_edge,p_over,act_ip,act_k,act_h,act_er,act_bb,act_hr,act_bf,act_pitches,act_strikes,act_k_pct,signed_err,abs_err,k_over,h_over,er_over,alt_o45,alt_o55,alt_o65,book_model_note,lineup
2026-08-13,Cade Cavalli,CHC@WSH,afternoon,,avg,whiff_prone,whiff,False,102.1,-1.83,,4.49,5.5,5.5,2.5,-1.005735223610639,0.283,8.0,10,1,0,2,0,26,103,63,0.385,5.51,5.51,HIT,MISS,MISS,HIT,HIT,HIT,Book 5.5 vs model 4.5 (edge -1.01). Book high vs model — name/SPIKE premium possible; do not soft-under on Exp alone. Re,Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Pedro 
2026-08-13,Braxton Ashcraft,PIT@MIA,morning,SPIKE,soft,neutral,whiff,True,106.1,2.43,elev_hr,4.71,5.5,4.5,1.5,-0.7873310269826224,0.324,9.0,10,3,1,1,1,28,85,64,0.357,5.29,5.29,HIT,MISS,MISS,HIT,HIT,HIT,Book 5.5 vs model 4.7 (edge -0.79). Mild disagree — confirm with PA matchups + volume. Model P(over 5.5) ≈ 32%. Why ~5 K,Jakob Marsee; Xavier Edwards; Otto Lopez; Griffin Conine; Agustín Ramírez; Leo J
2026-08-13,Aaron Nola,PHI@MIN,late_OFF,,soft,contact_heavy,balanced,False,104.4,-1.83,"high_hr,exit_hr",4.26,5.5,5.5,2.5,-1.237022162649164,0.241,5.0,9,5,1,3,1,23,97,58,0.391,4.74,4.74,HIT,MISS,MISS,HIT,HIT,HIT,Book 5.5 vs model 4.3 (edge -1.24). Book high vs model — name/SPIKE premium possible; do not soft-under on Exp alone. Re,Trevor Larnach; Byron Buxton; Ryan Jeffers; Josh Bell; Royce Lewis; Kody Clemens
2026-08-13,Jacob deGrom,TEX@LAA,late_OFF,SPIKE,elite,whiff_prone,whiff,True,108.7,4.53,elev_hr,6.37,6.5,4.5,1.5,-0.12745979823814046,0.463,2.0,3,6,2,1,0,12,53,35,0.25,-3.37,3.37,MISS,HIT,HIT,MISS,MISS,MISS,"Book 6.5 vs model 6.4 (edge -0.13). Aligned — size with lineup K environment + BF/IP, not 'edge'. Model P(over 6.5) ≈ 46",Wade Meckler; Mike Trout; Nolan Schanuel; Vaughn Grissom; Moisés Ballesteros; De
2026-08-13,Roki Sasaki,MIL@LAD,late_OFF,SPIKE,elite,whiff_prone,balanced,True,110.6,2.28,"high_hr,exit_hr",5.37,5.5,4.5,2.5,-0.13472781447884508,0.457,6.0,2,4,2,5,0,25,101,54,0.08,-3.37,3.37,MISS,MISS,MISS,MISS,MISS,MISS,"Book 5.5 vs model 5.4 (edge -0.13). Aligned — size with lineup K environment + BF/IP, not 'edge'. Model P(over 5.5) ≈ 46",Jackson Chourio; Garrett Mitchell; Gary Sánchez; Jake Bauers; Andrew Vaughn; Chr
2026-08-13,Keider Montero,CLE@DET,morning,UNDER_OK,soft,neutral,fly_popup,False,94.8,-1.66,elev_xfip,3.25,2.5,4.5,2.5,0.7507267028099527,0.652,6.1,0,3,0,1,0,23,88,51,0.0,-3.25,3.25,MISS,MISS,MISS,MISS,MISS,MISS,Book 2.5 vs model 3.3 (edge +0.75). Mild disagree — confirm with PA matchups + volume. Model P(over 2.5) ≈ 65%. Why ~3 K,Steven Kwan; Chase DeLauter; José Ramírez; Nathaniel Lowe; Jo Adell; Travis Bazz
2026-08-13,Kevin Gausman,CHC@WSH,afternoon,,soft,whiff_prone,balanced,False,98.2,2.46,,4.93,5.5,4.5,2.5,-0.5731960173079083,0.366,4.2,7,7,6,1,1,22,93,64,0.318,2.07,2.07,HIT,HIT,HIT,HIT,HIT,HIT,Book 5.5 vs model 4.9 (edge -0.57). Mild disagree — confirm with PA matchups + volume. Model P(over 5.5) ≈ 37%. Why ~5 K,CJ Abrams; Abimelec Ortiz; Dylan Crews; Daylen Lile; Brady House; Jorbit Vivas; 
2026-08-13,Davis Martin,CIN@CWS,morning,,elite,whiff_prone,balanced,False,90.1,-1.86,short_recent_ip,4.87,4.5,,,0.36843388273547806,0.557,2.0,3,2,3,1,2,11,35,21,0.273,-1.87,1.87,MISS,,,MISS,MISS,MISS,"Book 4.5 vs model 4.9 (edge +0.37). Aligned — size with lineup K environment + BF/IP, not 'edge'. Model P(over 4.5) ≈ 56",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Dane 
2026-08-13,Payton Tolle,BOS@TOR,morning,SPIKE,soft,contact_heavy,whiff,True,114.5,-1.63,,5.39,5.5,4.5,1.5,-0.11428472087121122,0.461,8.0,4,2,0,2,0,26,91,61,0.154,-1.39,1.39,MISS,MISS,MISS,MISS,MISS,MISS,"Book 5.5 vs model 5.4 (edge -0.11). Aligned — size with lineup K environment + BF/IP, not 'edge'. Model P(over 5.5) ≈ 46",Charles McAdoo; Ernie Clement; Vladimir Guerrero Jr.; George Springer; Kazuma Ok
2026-08-13,Max Fried,SEA@NYY,morning,SPIKE,strong,neutral,balanced,True,106.1,0.2,,5.32,5.5,4.5,1.5,-0.18397663579043844,0.447,5.0,4,5,1,2,1,20,88,55,0.2,-1.32,1.32,MISS,HIT,MISS,MISS,MISS,MISS,"Book 5.5 vs model 5.3 (edge -0.18). Aligned — size with lineup K environment + BF/IP, not 'edge'. Model P(over 5.5) ≈ 45",Randy Arozarena; Julio Rodríguez; Dominic Canzone; Cal Raleigh; Josh Naylor; Bre
