rank,pitcher,pitcher_id,pitcher_team,opponent,game,status,expected_k_pct,expected_whiff_pct,vs_league_k,vs_league_whiff,usage_covered
1,Matthew Liberatore,669461,STL,LAA,STL@LAA,ok,30.789050175321965,32.534564303461245,7.796867910884547,5.746473887923308,0.9999999999999998
2,Kumar Rocker,677958,TEX,CWS,CWS@TEX,ok,24.48985045631159,27.23988995903497,4.655377198831918,3.0815756785982806,1.0
3,Framber Valdez,664285,DET,CHC,DET@CHC,ok,20.62129060031603,22.478418369324988,3.056310040958479,1.678366831529388,0.9999999999999998
4,Justin Wrobleski,680736,LAD,PHI,LAD@PHI,ok,26.24799886676741,28.45660703386165,2.520947371475245,2.5559432737549983,1.0
5,Kyle Bradish,680694,BAL,BOS,BAL@BOS,ok,22.45301104379683,24.681146071354753,1.8187542739939566,1.3027275283431798,1.0
6,Brandon Sproat,687075,MIL,NYM,NYM@MIL,ok,18.20470089928421,17.60154396805707,1.7198669533796398,0.8412682680157921,0.6657381615598886
7,Noah Schultz,702273,CWS,TEX,CWS@TEX,ok,18.184623432152843,18.92898692522222,1.6661095470712226,2.1408850992244766,1.0
8,Luis Castillo,622491,SEA,CIN,CIN@SEA,ok,22.619752140466453,24.627069120438527,1.0544539217900564,1.001786553116812,1.0
9,Will Warren,701542,NYY,PIT,PIT@NYY,ok,21.105160204530645,22.840120255981986,0.94884586130825,1.5231419036579084,1.0
10,David Peterson,656849,CHC,DET,DET@CHC,ok,19.8418536181605,20.833903554001925,0.4193347428470524,-1.0139813325919675,1.0000000000000002
11,Bubba Chandler,696149,PIT,NYY,PIT@NYY,ok,22.768681100259467,25.946269240180197,0.24939236495326256,0.5020977836808598,1.0
12,Luinder Avila,679883,KC,SF,SF@KC,ok,19.684527789880352,21.938023503379576,0.06495784197436194,0.1434434921514729,1.0
13,Tyler Mahle,641816,SF,KC,SF@KC,ok,21.84119815668203,18.31216589861751,-0.04365270394303877,-2.90956532977777,0.5440180586907449
14,Tyler Phillips,663969,MIA,HOU,MIA@HOU,ok,21.045500050828544,23.956654151125115,-0.5703472913133822,-0.559017617747525,0.7389380530973451
15,Zack Wheeler,554430,PHI,LAD,LAD@PHI,ok,17.762493661181615,19.132404959580313,-0.9310081897594564,0.5473435614866098,0.7732732732732733
16,Reynaldo López,625643,ATL,SD,SD@ATL,ok,22.536084459311574,27.105081627584585,-1.0824746546692197,1.4799733758237146,0.9999999999999999
17,Michael Lorenzen,547179,COL,WSH,WSH@COL,ok,16.665932832872972,18.80372301293734,-1.1022120093244752,-2.0839156670606798,0.7969613259668507
18,Walbert Ureña,700712,LAA,STL,STL@LAA,ok,15.687522757969523,19.456526703389915,-1.4148774711015815,-1.3063656271169393,1.0
19,Drew Rasmussen,656876,TB,TOR,TB@TOR,ok,14.942267269914016,17.34671063713105,-2.1929534572884393,0.049090008950784636,0.6092384519350812
20,Kevin Gausman,592332,TOR,TB,TB@TOR,ok,19.673788150807898,19.044254937163373,-2.2110627098171705,-2.1774762912319083,0.5706340378197997
21,Parker Messick,800048,CLE,MIN,MIN@CLE,ok,16.423484038213413,19.73176875913805,-2.293450020201849,-1.6783444983365357,0.9999999999999999
22,Chase Burns,695505,CIN,SEA,CIN@SEA,ok,20.943146236063257,26.967303625646032,-2.883680210345574,0.8132254133648829,1.0
23,Walker Buehler,621111,SD,ATL,SD@ATL,ok,16.179641120277896,17.913905775075982,-2.921915348287172,-1.9301277028133583,0.6730769230769231
24,Jack Perkins,678022,ATH,AZ,ATH@AZ,ok,19.701096997516718,24.541782881832027,-4.263605689348292,-2.6842188885031604,1.0
25,Tatsuya Imai,837227,HOU,MIA,MIA@HOU,ok,16.428854787707095,22.188046686882053,-7.959306014798997,-5.391742455297539,1.0
,Kendry Rojas,696070,MIN,CLE,MIN@CLE,missing_arsenal,,,,,
,Eduardo Rivera,700842,BOS,BAL,BAL@BOS,missing_arsenal,,,,,
,Zac Thornton,804267,NYM,MIL,NYM@MIL,missing_arsenal,,,,,
,Carson Palmquist,687223,WSH,COL,WSH@COL,missing_arsenal,,,,,
,Kohl Drake,684442,AZ,ATH,ATH@AZ,missing_arsenal,,,,,
