rank,pitcher,pitcher_id,pitcher_team,opponent,game,status,expected_k_pct,expected_whiff_pct,vs_league_k,vs_league_whiff,usage_covered
1,Matthew Liberatore,669461,STL,LAA,STL@LAA,ok,30.79,32.53,7.8,5.75,1.0
2,Kumar Rocker,677958,TEX,CWS,CWS@TEX,ok,24.49,27.24,4.66,3.08,1.0
3,Framber Valdez,664285,DET,CHC,DET@CHC,ok,20.62,22.48,3.06,1.68,1.0
4,Justin Wrobleski,680736,LAD,PHI,LAD@PHI,ok,26.25,28.46,2.52,2.56,1.0
5,Kyle Bradish,680694,BAL,BOS,BAL@BOS,ok,22.45,24.68,1.82,1.3,1.0
6,Brandon Sproat,687075,MIL,NYM,NYM@MIL,ok,18.2,17.6,1.72,0.84,0.67
7,Noah Schultz,702273,CWS,TEX,CWS@TEX,ok,18.18,18.93,1.67,2.14,1.0
8,Luis Castillo,622491,SEA,CIN,CIN@SEA,ok,22.62,24.63,1.05,1.0,1.0
9,Will Warren,701542,NYY,PIT,PIT@NYY,ok,21.11,22.84,0.95,1.52,1.0
10,David Peterson,656849,CHC,DET,DET@CHC,ok,19.84,20.83,0.42,-1.01,1.0
11,Bubba Chandler,696149,PIT,NYY,PIT@NYY,ok,22.77,25.95,0.25,0.5,1.0
12,Luinder Avila,679883,KC,SF,SF@KC,ok,19.68,21.94,0.06,0.14,1.0
13,Tyler Mahle,641816,SF,KC,SF@KC,ok,21.84,18.31,-0.04,-2.91,0.54
14,Tyler Phillips,663969,MIA,HOU,MIA@HOU,ok,21.05,23.96,-0.57,-0.56,0.74
15,Zack Wheeler,554430,PHI,LAD,LAD@PHI,ok,17.76,19.13,-0.93,0.55,0.77
16,Reynaldo López,625643,ATL,SD,SD@ATL,ok,22.54,27.11,-1.08,1.48,1.0
17,Michael Lorenzen,547179,COL,WSH,WSH@COL,ok,16.67,18.8,-1.1,-2.08,0.8
18,Walbert Ureña,700712,LAA,STL,STL@LAA,ok,15.69,19.46,-1.41,-1.31,1.0
19,Drew Rasmussen,656876,TB,TOR,TB@TOR,ok,14.94,17.35,-2.19,0.05,0.61
20,Kevin Gausman,592332,TOR,TB,TB@TOR,ok,19.67,19.04,-2.21,-2.18,0.57
21,Parker Messick,800048,CLE,MIN,MIN@CLE,ok,16.42,19.73,-2.29,-1.68,1.0
22,Chase Burns,695505,CIN,SEA,CIN@SEA,ok,20.94,26.97,-2.88,0.81,1.0
23,Walker Buehler,621111,SD,ATL,SD@ATL,ok,16.18,17.91,-2.92,-1.93,0.67
24,Jack Perkins,678022,ATH,AZ,ATH@AZ,ok,19.7,24.54,-4.26,-2.68,1.0
25,Tatsuya Imai,837227,HOU,MIA,MIA@HOU,ok,16.43,22.19,-7.96,-5.39,1.0
,Kendry Rojas,696070,MIN,CLE,MIN@CLE,missing_arsenal,,,,,
,Eduardo Rivera,700842,BOS,BAL,BAL@BOS,missing_arsenal,,,,,
,Zac Thornton,804267,NYM,MIL,NYM@MIL,missing_arsenal,,,,,
,Carson Palmquist,687223,WSH,COL,WSH@COL,missing_arsenal,,,,,
,Kohl Drake,684442,AZ,ATH,ATH@AZ,missing_arsenal,,,,,
