rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
1,Jack Perkins,678022,ATH,R,AZ,ATH@AZ,ok,official,6.6499999999999995,28,3.111111111111111,season_avg,20.2570207820204,21.82653243327126,7.033958885299224,5.669244400601681,1.823131870381836,9,9,1.0,28,,28,3.5895957714803806,1.560693813687122,11.236995458547279,4.123450954594451,medium,"elev_bb,high_hr",7.0,13.829268292682928,4.555555555555555,10.218292682926828,0.3,550,450,"606466,672695,682998,672515,596146,571448,694374,545121,678489",Ketel Marte; Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Max Kepler; Nolan Arenado; Tim Tawa; Ildemaro Vargas; Jorge Barrosa
2,Justin Wrobleski,680736,LAD,L,PHI,LAD@PHI,ok,official,6.688888888888888,27,3.0,season_avg,22.790761334736022,26.72768402016918,6.505231670042885,6.153505560378726,2.051168520126242,9,9,1.0,27,,27,1.794020024500243,0.7176080098000972,6.5481730894258865,4.246040489717799,low,elev_xfip,7.666666666666667,9.857142857142858,7.0,7.325925925925926,0.3,343,1092,"607208,656941,547180,664761,624641,592663,669016,656537,681082",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Edmundo Sosa; J.T. Realmuto; Brandon Marsh; Derek Hill; Bryson Stott
3,Matthew Liberatore,669461,STL,L,LAA,STL@LAA,ok,official,4.929824561403509,22,2.4444444444444446,season_avg,28.846897067947022,30.328746534525507,6.159320410558233,6.422149458692212,2.596220736115232,9,9,1.0,22,,22,3.459074827012977,1.633452001645017,8.4555162438095,4.403065567822806,medium,"high_hr,elev_xfip",6.0,10.125,5.333333333333333,5.546052631578948,0.3,395,1178,"687263,545361,694384,624585,687093,666176,672724,642350,681351",Zach Neto; Mike Trout; Nolan Schanuel; Jorge Soler; Vaughn Grissom; Jo Adell; Oswald Peraza; Jose Siri; Logan O'Hoppe
4,Zack Wheeler,554430,PHI,R,LAD,LAD@PHI,ok,official,5.854166666666667,22,2.4444444444444446,season_avg,16.00274325553179,18.393810873536946,5.783699927646822,3.6729249837463325,1.4402468929978611,9,9,1.0,22,,22,2.129032258064516,0.967741935483871,10.451612903225806,2.8347080800802478,clear,,8.333333333333334,16.463414634146343,4.555555555555555,10.708841463414634,0.3,931,522,"660271,681624,518692,571970,605141,663656,669242,669743,672613",Shohei Ohtani; Andy Pages; Freddie Freeman; Max Muncy; Mookie Betts; Kyle Tucker; Tommy Edman; Alex Call; Eliezer Alfonzo
5,Reynaldo López,625643,ATL,R,SD,SD@ATL,ok,official,6.1433333333333335,26,2.888888888888889,season_avg,22.161867065056278,25.84400152406567,5.66843312026247,5.869959402572759,1.9945680358550648,9,9,1.0,26,,26,3.6486487991188175,1.1675676157180215,7.881081406096645,4.496607689939371,medium,"elev_bb,elev_xfip",3.6666666666666665,7.615384615384615,4.333333333333333,5.198205128205128,0.3,661,391,"665487,630105,592518,664034,701538,669134,657757,593428,650859",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Campusano; Gavin Sheets; Xander Bogaerts; Luis Rengifo
6,Tyler Phillips,663969,MIA,R,HOU,MIA@HOU,ok,official,6.3,27,3.0,season_avg,22.712868345205777,22.1897515400445,5.507732117243892,6.13247445320556,2.04415815106852,9,9,1.0,27,,27,4.200000213623058,0.9600000488281275,6.720000341796893,4.65623447129583,medium,"high_bb,elev_xfip",2.0,5.785714285714286,3.111111111111111,4.05,0.3,702,511,"665161,670541,670623,514888,664774,572233,666211,828599,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; LaMonte Wade Jr.; Christian Walker; Taylor Trammell; Lucas Spence; Christian Vázquez
7,Chase Burns,695505,CIN,R,SEA,CIN@SEA,ok,official,5.703703703703704,23,2.5555555555555554,season_avg,23.85109131140696,29.48768022809045,5.401870443908267,5.4163041822405695,2.1465982180266265,9,9,1.0,23,,23,3.2435065738506212,1.051948078005607,10.344156100388467,3.6020218245969913,clear,,5.333333333333333,8.470588235294118,5.666666666666667,5.368191721132898,0.3,1045,632,"702284,668227,686527,663728,647304,670042,645302,806068,642215",Cole Young; Randy Arozarena; Dominic Canzone; Cal Raleigh; Josh Naylor; Luke Raley; Victor Robles; Colt Emerson; Weston Wilson
8,Luis Castillo,622491,SEA,R,CIN,CIN@SEA,ok,official,5.844444444444445,26,2.888888888888889,season_avg,22.742355868630302,25.961891794713747,5.389181414613045,5.930763365413593,2.0468120281767272,9,9,1.0,26,,26,2.8745248920271087,1.2319392394401893,8.315589866221279,4.429781712352478,medium,"elev_hr,elev_xfip",4.0,6.352941176470588,5.666666666666667,4.125490196078432,0.3,904,671,"682829,701398,668709,553993,663993,682622,624431,670770,695490",Elly De La Cruz; Sal Stewart; JJ Bleday; Eugenio Suárez; Nathaniel Lowe; Noelvi Marte; Jose Trevino; TJ Friedl; Edwin Arroyo
9,Kevin Gausman,592332,TOR,R,TB,TB@TOR,ok,official,5.492063492063492,23,2.5555555555555554,season_avg,20.638967424663505,22.17258303911388,5.312453519186086,4.797572421808315,1.8575070682197157,9,9,1.0,23,,23,2.563798335669015,1.2017804698448507,9.29376896680018,3.790566312853189,low,elev_hr,5.666666666666667,10.674418604651164,4.777777777777778,6.513842746400886,0.3,1108,750,"650490,666018,691406,656775,676356,802415,810938,670764,663743",Yandy Díaz; Jonathan Aranda; Junior Caminero; Cedric Mullins; Jonny DeLuca; Chandler Simpson; Ben Williamson; Taylor Walls; Nick Fortes
10,David Peterson,656849,CHC,L,DET,DET@CHC,ok,official,6.3,27,3.0,season_avg,22.851602850640315,24.097254392393722,5.241976194584973,6.169932769672886,2.0566442565576284,9,9,1.0,27,,27,4.044534662812556,0.9838057287922433,7.651822335050781,4.381022053611521,medium,"high_bb,elev_xfip",2.3333333333333335,4.395348837209302,4.777777777777778,3.0767441860465112,0.3,409,965,"650402,805808,701678,693307,682985,679529,663837,701162,668670",Gleyber Torres; Kevin McGonigle; Hao-Yu Lee; Dillon Dingler; Riley Greene; Spencer Torkelson; Matt Vierling; Ben Malgeri; Jake Rogers
