rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
1,Tyler Alexander,641302,TEX,L,CWS,CWS@TEX,7:05 PM CT,2026-07-23T00:05:00Z,ok,official,7.0,30,3.3333333333333335,season_shrunk,20.607265910460182,24.18258226025348,7.1518642907118295,6.216948986731186,1.8546539319414164,9,9,1.0,30,,30,2.3571432853232404,0.4285715064224073,8.14285862202574,3.7664826864340544,clear,,1.3333333333333333,12.0,1.0,9.333333333333332,0.3,249,421,"803011,808959,678246,695657,695731,805367,643217,700337,671976",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Braden Montgomery; Chase Meidroth; Andrew Benintendi; Edgar Quero; Tristan Peters
2,Colin Rea,607067,CHC,R,DET,DET@CHC,7:10 PM CT,2026-07-23T00:10:00Z,ok,official,6.291666666666667,28,3.111111111111111,season_avg,26.2541973418519,27.086851605980474,6.546485268655815,7.2059847861263835,2.3628777607666707,9,9,1.0,28,,28,3.3079471034358727,1.3410596365280565,6.794702158408819,4.729999342182582,medium,"elev_hr,elev_xfip",4.333333333333333,7.163265306122449,5.444444444444444,5.00765306122449,0.3,1002,668,"805808,693307,690993,682985,679529,681481,656716,701678,681546",Kevin McGonigle; Dillon Dingler; Colt Keith; Riley Greene; Spencer Torkelson; Kerry Carpenter; Zach McKinstry; Hao-Yu Lee; James Outman
3,Braydon Fisher,680755,TOR,R,TB,TB@TOR,6:07 PM CT,2026-07-22T23:07:00Z,ok,official,6.3,27,3.0,season_avg,24.964306502070873,24.720775091780087,6.419253928891395,6.740362755559136,2.2467875851863788,9,9,1.0,27,,27,4.013514392823717,1.0945948344064684,9.121623620053905,4.069433385252923,medium,high_bb,1.0,8.100000000000001,1.111111111111111,5.670000000000001,0.3,387,397,"650490,666018,691406,656775,802415,683748,670764,680700,676439",Yandy Díaz; Jonathan Aranda; Junior Caminero; Cedric Mullins; Chandler Simpson; Victor Mesa Jr.; Taylor Walls; Richie Palacios; Hunter Feduccia
4,Gerrit Cole,543037,NYY,R,PIT,PIT@NYY,12:05 PM CT,2026-07-22T17:05:00Z,ok,official,5.636363636363637,23,2.5555555555555554,season_avg,26.240624988125635,28.740907740217754,6.412447478432881,6.037038717510476,2.361656248931307,9,9,1.0,23,,23,1.9636363636363636,1.4727272727272727,9.0,3.9742308375510307,low,elev_hr,8.333333333333334,11.63793103448276,6.444444444444444,7.2884012539184955,0.3,560,285,"663968,664040,668804,699013,656811,693304,694378,680779,682997",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Nick Gonzales; Jacob Gonzalez; Henry Davis; Tyler Callihan
5,Reid Detmers,672282,LAA,L,STL,STL@LAA,3:07 PM CT,2026-07-22T20:07:00Z,ok,official,5.714285714285714,23,2.5555555555555554,season_avg,22.581630806926896,27.097957737647352,5.7111933414802,5.124242484279613,2.0323467726234203,9,9,1.0,23,,23,2.747093084182142,0.9418604860053059,10.203488598390814,3.7145813900302214,clear,,6.333333333333333,11.152173913043478,5.111111111111111,7.080745341614906,0.3,469,1410,"802139,671056,691023,676475,676369,691026,665877,691458,699625",JJ Wetherholt; Iván Herrera; Jordan Walker; Alec Burleson; Nelson Velázquez; Masyn Winn; José Fermín; Blaze Jordan; Jimmy Crooks
6,Sandy Alcantara,645261,MIA,R,HOU,MIA@HOU,7:10 PM CT,2026-07-23T00:10:00Z,ok,official,6.507936507936508,27,3.0,season_avg,18.276223596321586,21.05730130805962,5.592528255169633,4.934580371006828,1.6448601236689426,9,9,1.0,27,,27,2.4365855472163167,0.9219512881359035,7.046341987895834,4.164196333360993,clear,,7.666666666666667,9.857142857142858,7.0,7.127739984882843,0.3,1305,747,"665161,670541,670623,664774,673237,572233,828599,669397,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; LaMonte Wade Jr.; Yainer Diaz; Christian Walker; Lucas Spence; Nick Allen; Christian Vázquez
7,Max Fried,608331,NYY,L,PIT,PIT@NYY,6:05 PM CT,2026-07-22T23:05:00Z,ok,official,6.166666666666666,24,2.6666666666666665,season_avg,22.817196390595903,28.67746865203762,5.4579541846934205,5.400067439927478,2.0535476751536312,9,9,1.0,24,,24,2.772973087330301,0.14594595196475268,7.297297598237635,3.9305718763960766,clear,,4.333333333333333,8.162790697674419,4.777777777777778,5.593023255813954,0.3,208,709,"693304,669707,668804,699013,656811,542303,664040,804668,695257",Nick Gonzales; Jared Triolo; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Marcell Ozuna; Brandon Lowe; Rafael Flores Jr.; Billy Cook
8,Peter Lambert,663567,HOU,R,MIA,MIA@HOU,7:10 PM CT,2026-07-23T00:10:00Z,ok,official,5.4624999999999995,23,2.5555555555555554,season_avg,19.91942145946806,25.51128590384404,5.274654718042502,4.487411052729181,1.7927479313521255,9,9,1.0,23,,23,3.5217391304347827,1.076086956521739,8.902173913043478,4.407057219484578,medium,"elev_bb,elev_xfip",7.666666666666667,11.716981132075471,5.888888888888889,7.111556603773584,0.3,870,659,"672640,669065,681715,669364,689414,665052,691594,691788,665923",Otto Lopez; Kyle Stowers; Heriberto Hernández; Xavier Edwards; Liam Hicks; Griffin Conine; Javier Sanoja; Joe Mack; Esteury Ruiz
9,Eric Lauer,641778,LAD,L,PHI,LAD@PHI,5:40 PM CT,2026-07-22T22:40:00Z,ok,official,6.388888888888889,27,3.0,season_avg,22.749156668931523,26.283218420835254,5.257923943761391,6.142272300611512,2.047424100203837,9,9,1.0,27,,27,3.169565322529845,2.11304354835323,5.517391487366767,5.590115107227579,high,"high_hr,high_xfip",3.0,4.5,6.0,3.1944444444444446,0.3,220,1008,"607208,656941,547180,664761,624641,656537,650559,681082,665561",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Edmundo Sosa; Derek Hill; Bryan De La Cruz; Bryson Stott; Rafael Marchán
10,Gage Jump,695611,ATH,L,AZ,ATH@AZ,2:40 PM CT,2026-07-22T19:40:00Z,ok,official,5.181818181818182,22,2.4444444444444446,season_avg,20.41313194074311,23.927422865734556,5.244487266413206,4.3195829223342646,1.83718187466688,9,9,1.0,22,,22,2.923566950016069,0.6878981058861339,9.630573482405875,3.7915093225671823,clear,,6.666666666666667,12.857142857142858,4.666666666666667,7.402597402597403,0.3,246,651,"606466,672695,682998,672515,571448,545121,543510,694374,814439",Ketel Marte; Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Nolan Arenado; Ildemaro Vargas; James McCann; Tim Tawa; Ryan Waldschmidt
