rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source
1,Gavin Williams,668909,CLE,R,MIN,MIN@CLE,12:10 PM CT,2026-07-23T17:10:00Z,ok,official,5.873015873015873,24,2.6666666666666665,season_avg,starter,24.899036473977926,24.630267260291657,7.2190828106694065,6.01925795681864,2.2409132826580134,9,9,1.0,24,,24,2.790502912233786,1.508379952558803,10.935754656051323,3.0911267463006715,medium,high_hr,9.666666666666666,15.352941176470589,5.666666666666667,10.018674136321195,0.3,1148,702,"686797,621439,680777,605137,665019,668904,668885,807712,668952",Brooks Lee; Byron Buxton; Ryan Jeffers; Josh Bell; Kody Clemens; Royce Lewis; Austin Martin; Luke Keaschall; Ryan Kreidler,
2,Troy Melton,675512,DET,R,KC,KC@DET,5:40 PM CT,2026-07-23T22:40:00Z,ok,prior:2026-07-22,6.111111111111111,24,2.6666666666666665,season_avg,starter,21.104256812764575,22.3317999934887,6.208423496533253,5.091703896146406,1.899383113148812,9,9,1.0,24,,24,2.4545454545454546,1.1454545454545455,8.181818181818182,3.758506712046537,clear,,8.333333333333334,12.980769230769232,5.777777777777778,8.814102564102566,0.3,458,333,"695600,657041,686469,521692,686681,686555,516782,668942,623205",Carter Jensen; Lane Thomas; Vinnie Pasquantino; Salvador Perez; Michael Massey; Isaac Collins; Starling Marte; Josh Rojas; Andrew Velazquez,
3,Chris Sale,519242,ATL,L,SD,SD@ATL,11:15 AM CT,2026-07-23T16:15:00Z,ok,official,5.842105263157895,24,2.6666666666666665,season_avg,starter,21.786944915306478,27.495064007941423,5.973517466940475,5.090927208411206,1.9608250423775828,9,9,1.0,24,,24,2.142857142857143,0.6857142857142857,10.542857142857143,3.1309289148875648,clear,,7.333333333333333,12.375,5.333333333333333,8.032894736842104,0.3,422,1252,"665487,650859,592518,664034,593428,657757,666023,687749,630105",Fernando Tatis Jr.; Luis Rengifo; Manny Machado; Ty France; Xander Bogaerts; Gavin Sheets; Freddy Fermin; Jase Bowen; Jake Cronenworth,
4,Randy Dobnak,677976,KC,R,DET,KC@DET,5:40 PM CT,2026-07-23T22:40:00Z,ok,prior:2026-07-22,6.120000000000001,26,2.888888888888889,season_shrunk,starter,22.90677938647992,23.880921052631578,5.751794362383963,5.751794362383963,2.0616101447831925,9,9,1.0,26,,26,5.142857493186508,1.285714373296627,4.500000306538194,5.363701671082509,high,"high_bb,elev_hr,high_xfip",3.0,6.230769230769231,4.333333333333333,,,152,103,"805808,693307,690993,682985,679529,681481,656716,701678,681546",Kevin McGonigle; Dillon Dingler; Colt Keith; Riley Greene; Spencer Torkelson; Kerry Carpenter; Zach McKinstry; Hao-Yu Lee; James Outman,statcast_fallback
5,Brandon Pfaadt,694297,AZ,R,STL,AZ@STL,4:15 PM CT,2026-07-23T21:15:00Z,ok,official,7.0,30,3.3333333333333335,season_start_est,swingman,20.30387579703087,22.924410092831145,5.668684955364095,5.991738386082446,1.8273488217327785,9,9,1.0,30,,30,2.7457629781590134,1.220339101404006,6.711865057722033,4.355048754230946,medium,"elev_hr,elev_xfip",3.6666666666666665,6.319148936170213,5.222222222222222,4.914893617021277,0.3,498,431,"802139,691023,676475,663457,691026,665877,701675,691458,699625",JJ Wetherholt; Jordan Walker; Alec Burleson; Lars Nootbaar; Masyn Winn; José Fermín; Nathan Church; Blaze Jordan; Jimmy Crooks,
6,Kyle Hart,606996,SD,L,ATL,SD@ATL,11:15 AM CT,2026-07-23T16:15:00Z,ok,official,5.7,24,2.6666666666666665,season_shrunk,swingman,24.35805036089755,22.55672987544153,5.596444717364015,5.570555896705019,2.1922245324807794,9,9,1.0,24,,24,3.0857146220304896,1.0285715406768299,7.714286555076224,4.309079495569068,low,elev_xfip,1.5,9.0,1.5,5.7,0.19999999999999998,242,336,"686948,645277,621566,671739,643289,663586,642086,573262,805347",Drake Baldwin; Ozzie Albies; Matt Olson; Michael Harris II; Mauricio Dubón; Austin Riley; Dominic Smith; Mike Yastrzemski; Jim Jarvis,statcast_fallback
7,Taj Bradley,671737,MIN,R,CLE,MIN@CLE,12:10 PM CT,2026-07-23T17:10:00Z,ok,official,5.2725,22,2.4444444444444446,season_avg,starter,19.60440340970444,23.14591092958158,4.248553365021517,4.006209776117696,1.7643963068733997,9,9,1.0,22,,22,3.594427329483914,1.3374613319009911,10.365325322232682,3.8914927621065334,medium,"elev_bb,elev_hr",4.666666666666667,8.217391304347826,5.111111111111112,4.814021739130435,0.3,1042,797,"680757,608070,800050,677587,683953,656555,700932,672275,690984",Steven Kwan; José Ramírez; Chase DeLauter; Brayan Rocchio; Travis Bazzana; Rhys Hoskins; Kyle Manzardo; Patrick Bailey; Petey Halpin,
8,Michael McGreevy,700241,STL,R,AZ,AZ@STL,4:15 PM CT,2026-07-23T21:15:00Z,ok,official,5.684210526315789,22,2.4444444444444446,season_avg,starter,20.30219727607254,22.424751307518388,4.24850422414102,4.2422240795999535,1.8271977548465288,9,9,1.0,22,,22,2.0,1.1666666666666667,5.916666666666667,4.058457000167282,clear,,4.666666666666667,6.750000000000001,6.222222222222221,4.2631578947368425,0.3,1080,602,"606466,682998,672695,672515,596146,694374,680728,545121,814439",Ketel Marte; Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Max Kepler; Tim Tawa; Adrian Del Castillo; Ildemaro Vargas; Ryan Waldschmidt,
9,Shane Bieber,669456,TOR,R,TB,TB@TOR,2:07 PM CT,2026-07-23T19:07:00Z,ok,official,4.26,20,2.2222222222222223,season_avg,starter,17.150638488602212,21.318173866640986,3.555439648701429,3.4609527448981456,1.5435574639741991,9,9,1.0,20,,20,4.563380772053976,2.6619721170314863,7.225352889085462,4.978122119266203,high,"high_bb,high_hr,high_xfip",4.333333333333333,7.977272727272727,4.888888888888889,3.77590909090909,0.3,245,188,"650490,666018,691406,683748,676356,802415,810938,680700,676439",Yandy Díaz; Jonathan Aranda; Junior Caminero; Victor Mesa Jr.; Jonny DeLuca; Chandler Simpson; Ben Williamson; Richie Palacios; Hunter Feduccia,statcast_fallback
10,Casey Legumina,668984,TB,R,TOR,TB@TOR,2:07 PM CT,2026-07-23T19:07:00Z,ok,official,5.366666666666667,23,2.5555555555555554,season_shrunk,swingman,17.373311740438556,19.758420227920226,3.449126741406867,3.8641862045363617,1.56359805663947,9,9,1.0,23,,23,2.3951616955846147,0.8709678893034963,6.314517197450348,4.729111613948723,low,elev_xfip,0.5,3.0,1.5,1.788888888888889,0.19999999999999998,325,312,"682818,665489,676391,543807,672386,672960,676914,649966,664702",Yohendrick Piñango; Vladimir Guerrero Jr.; Ernie Clement; George Springer; Alejandro Kirk; Kazuma Okamoto; Davis Schneider; Luis Urías; Myles Straw,
