rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,expected_ks_p25,expected_ks_p75,expected_ks_sigma,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,hook_risk,hook_flags,hook_score,hook_bf_factor,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_chase_pct,lineup_whiff_pct,offense_source,offense_factor,whiff_chase_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,soft_contact_profile,profile_flags,spike_arm,spike_flags,under_ban,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note
1,Sean Burke,680732,CWS,R,NYY,NYY@CWS,1:10 PM CT,2026-07-30T18:10:00Z,ok,prior:2026-07-29,6.7254901960784315,27,3.0,season_start_est,starter,22.671658909008386,24.436244136822484,7.1448240842653306,6.6894438919215595,2.040449301810755,5.68,8.61,2.18,9,9,1.0,27,,27,2.661971945404136,0.9887324368643935,9.887324368643934,3.7278203444732587,clear,,1.0,,clear,,0,1.0,8.0,10.983050847457626,6.555555555555556,8.207377866400797,0.3,25.986842105263158,0.2003373356085279,6.578947368421052,30.366666666666667,28.466666666666665,recent,1.064663149625836,1.012492863898069,free_swing,1.0137684210526317,1.0,low,1156,752,"663757,700250,691176,502671,682987,665862,641857,676609,669224",Trent Grisham; Ben Rice; Jasson Domínguez; Paul Goldschmidt; Spencer Jones; Jazz Chisholm Jr.; Ryan McMahon; José Caballero; Austin Wells,False,,False,,False,10,0.4375,avg,,"arsenal K% 22.7 (#10/16, avg, opp K% 26.0); band 5.7–8.6"
2,Ryan Weathers,677960,NYY,L,CWS,NYY@CWS,1:10 PM CT,2026-07-30T18:10:00Z,ok,prior:2026-07-29,5.182112987234043,22,2.4444444444444446,season_avg,starter,24.96734546356123,27.438662153173116,5.742597860964813,5.652032494594369,2.2470610917205107,4.37,8.08,2.03,9,9,1.0,22,,22,2.5000001766063673,1.4166667667436081,10.166667384865894,3.2314972789147385,low,elev_hr,1.0,,low,patient_lineup,2,0.98,6.0,10.340425531914892,5.222222222222222,5.953917049162517,0.3,24.012158054711247,0.2305838028974092,10.030395136778116,28.38888888888889,27.066666666666666,recent,1.0253187260356043,1.0256701816007803,patient,0.9616396656534955,0.9792352583586627,elevated,380,1433,"803011,808959,678246,695657,643217,695731,671976,805367,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Braden Montgomery; Tristan Peters; Chase Meidroth; Drew Romo,False,,True,K9 10.2,True,2,0.9375,elite,SPIKE,"SPIKE arm (K9 10.2) · arsenal K% 25.0 (#2/16, elite, opp K% 24.0) — SOFT UNDERS BLOCKED (K9 10.2) — no U6.5/U7.5; overs only with edge / clear-low risk; band 4.4–8.1; hook low"
3,Bailey Ober,641927,MIN,R,KC,KC@MIN,12:40 PM CT,2026-07-30T17:40:00Z,ok,prior:2026-07-29,5.292,23,2.5555555555555554,season_avg,starter,23.69089670912649,27.305952848149317,5.701074666835086,5.929136567239492,2.1321807038213842,4.33,7.08,2.04,9,9,1.0,23,,23,2.4444444444444446,1.4444444444444444,6.666666666666667,4.771033556704168,medium,"elev_hr,elev_xfip",1.0,,low,outing_medium,1,0.98,4.666666666666667,8.790697674418606,4.777777777777778,5.16893023255814,0.3,23.225806451612904,0.23323248651232514,6.451612903225806,31.244444444444444,23.77777777777778,recent,1.0148189066117697,1.044464686744455,aggressive,1.0147870967741937,1.0,low,776,507,"695600,657041,695506,521692,686681,679845,686555,668942,686475",Carter Jensen; Lane Thomas; Jac Caglianone; Salvador Perez; Michael Massey; Nick Loftin; Isaac Collins; Josh Rojas; Tyler Tolbert,True,"K9 6.7, elev_xFIP 4.77",False,,False,7,0.625,avg,FILLER,"soft-contact (K9 6.7, elev_xFIP 4.77) + arsenal K% 23.7 (#7/16, avg, opp K% 23.2) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
4,Roki Sasaki,808963,LAD,R,SEA,SEA@LAD,9:10 PM CT,2026-07-31T02:10:00Z,ok,prior:2026-07-29,4.946640740740741,21,2.3333333333333335,season_avg,starter,25.337384183819495,29.40724110295432,5.360780722516421,5.500412341690126,2.2803645765437546,4.02,6.71,1.99,9,9,1.0,21,,21,3.459074827012977,1.9217082372294316,9.03202871497833,4.152751566837934,medium,"high_hr,exit_hr",0.97,exit_hr,low,"exit_hr,outing_medium",2,0.98,6.333333333333333,9.160714285714285,6.222222222222222,5.034973611111111,0.3,19.533527696793,0.24374288198663324,5.539358600583091,33.611111111111114,27.555555555555557,recent,0.9665769834204713,1.05,aggressive,1.0220851311953352,1.0,low,927,683,"702284,668227,677594,686527,663728,647304,608701,642215,806068",Cole Young; Randy Arozarena; Julio Rodríguez; Dominic Canzone; Cal Raleigh; Josh Naylor; Rob Refsnyder; Weston Wilson; Colt Emerson,False,,False,,False,1,1.0,elite,,"arsenal K% 25.3 (#1/16, elite, opp K% 19.5); band 4.0–6.7; hook low"
5,Bryan Woo,693433,SEA,R,LAD,SEA@LAD,9:10 PM CT,2026-07-31T02:10:00Z,ok,prior:2026-07-29,5.766666666666667,24,2.6666666666666665,season_avg,starter,21.343135980824968,24.105503787409557,5.2743970781096525,4.908960111585219,1.9208822382742472,3.92,6.63,2.01,9,9,1.0,24,,24,1.872832452535131,0.9364162262675655,8.895954149541872,3.6847677127936724,clear,,1.0,,clear,,0,1.0,5.666666666666667,9.5625,5.333333333333333,6.127083333333333,0.3,23.013698630136986,0.24876916958809797,8.493150684931507,27.62222222222222,24.688888888888886,recent,1.0038344909731214,0.9903050896422415,neutral,0.9982616438356164,1.0,neutral,1084,685,"660271,681624,518692,571970,669242,605141,663656,606192,687221",Shohei Ohtani; Andy Pages; Freddie Freeman; Max Muncy; Tommy Edman; Mookie Betts; Kyle Tucker; Teoscar Hernández; Dalton Rushing,False,,False,,False,12,0.3125,soft,,"arsenal K% 21.3 (#12/16, soft, opp K% 23.0); band 3.9–6.6"
6,JP Sears,676664,SD,L,SF,SF@SD,8:40 PM CT,2026-07-31T01:40:00Z,ok,prior:2026-07-29,5.133240000000001,21,2.3333333333333335,season_start_est,starter,24.197195901812155,25.699220882787415,4.958174363541379,5.394764838281704,2.177747631163094,3.63,6.28,1.96,9,9,1.0,21,,21,2.8928574384475545,1.6071430213597524,7.392857898254861,4.294676763267049,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,low,"exit_hr,outing_medium",2,0.98,3.6666666666666665,6.906976744186047,4.777777777777778,3.939463255813954,0.3,23.70820668693009,0.21919678376818125,8.206686930091186,33.17777777777778,24.433333333333334,recent,1.0280861458271964,1.0435374323895312,neutral,1.0008398176291793,1.0,neutral,105,329,"650333,805811,671218,646240,808982,642715,691740,687529,683766",Luis Arraez; Bryce Eldridge; Heliot Ramos; Rafael Devers; Jung Hoo Lee; Willy Adames; Daniel Susac; Grant McCray; Christian Koss,False,,False,,False,5,0.75,strong,,"arsenal K% 24.2 (#5/16, strong, opp K% 23.7); band 3.6–6.3; hook low"
7,Andre Pallante,669467,STL,R,CHC,CHC@STL,1:15 PM CT,2026-07-30T18:15:00Z,ok,prior:2026-07-29,5.396916950688705,22,2.4444444444444446,season_avg,starter,24.262292605258782,24.979469134295282,4.864219457733237,5.214161634040398,2.1836063344732906,3.51,6.22,2.01,9,9,1.0,22,,22,2.563798335669015,0.8011869798965672,6.649851933141507,4.0002828999585,clear,,1.0,,low,patient_lineup,2,0.98,4.333333333333333,6.750000000000001,5.777777777777778,4.047687713016529,0.3,25.34435261707989,0.29303825450809073,10.46831955922865,27.188888888888886,26.133333333333333,recent,1.0062890151169688,0.9951374444308797,three_true,0.9880742424242425,0.9804851239669421,elevated,936,889,"691718,673548,683737,608324,664023,624424,699393,621020,665804",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Michael Conforto; Pedro Ramírez; Dansby Swanson; Miguel Amaya,True,"K9 6.6, soft L3 4.3",False,,False,4,0.8125,elite,MATCHUP_OK,"soft-contact profile (K9 6.6, soft L3 4.3) but arsenal K% 24.3 (#4/16, elite, opp K% 25.3) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds"
8,Shane McClanahan,663556,TB,L,TEX,TEX@TB,11:10 AM CT,2026-07-30T16:10:00Z,ok,prior:2026-07-29,5.052631578947368,21,2.3333333333333335,season_avg,starter,23.77467198547675,26.188014517748446,4.862181893322935,5.487634406450288,2.1397204786929076,3.55,6.18,1.95,9,9,1.0,21,,21,3.09375,0.65625,8.25,4.048366344502817,clear,,1.0,,clear,,0,1.0,3.6666666666666665,6.061224489795919,5.444444444444444,3.402792696025779,0.3,24.503311258278146,0.2713413168586782,4.635761589403973,32.0,24.422222222222224,recent,1.0085503551979256,1.039692130659736,free_swing,1.0293139072847681,1.0,low,317,1181,"694671,677649,607043,669394,670032,695508,696030,679822,553869",Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Jake Burger; Nicky Lopez; Cam Cauley; Alejandro Osuna; Justin Foscue; Elias Díaz,False,,False,,False,6,0.6875,strong,,"arsenal K% 23.8 (#6/16, strong, opp K% 24.5); band 3.5–6.2"
9,Nolan McLean,690997,NYM,R,MIA,MIA@NYM,6:10 PM CT,2026-07-30T23:10:00Z,ok,prior:2026-07-29,5.682539682539682,24,2.6666666666666665,season_avg,starter,15.996323226542005,18.44489738209685,4.838328326323685,3.664732076154019,1.4396690903887803,3.63,6.9,1.8,9,9,1.0,24,,24,3.243016898001427,0.8296089739073417,10.709497663167502,3.347753746739788,clear,,1.0,,clear,,0,1.0,8.0,12.0,6.0,7.576719576719576,0.3,23.765432098765434,0.23404222581854164,7.716049382716049,29.61111111111111,23.51111111111111,recent,1.0205792449356046,0.9532818542166495,neutral,1.0052555555555556,1.0,neutral,1137,841,"672640,681715,689414,669364,691594,669065,665923,640459,805300",Otto Lopez; Heriberto Hernández; Liam Hicks; Xavier Edwards; Javier Sanoja; Kyle Stowers; Esteury Ruiz; Brian Navarreto; Jakob Marsee,False,,True,"K9 10.7, L3 K9 12.0",True,15,0.125,soft,SPIKE,"SPIKE arm (K9 10.7, L3 K9 12.0) · arsenal K% 16.0 (#15/16, soft, opp K% 23.8) — SOFT UNDERS BLOCKED (K9 10.7, L3 K9 12.0) — no U6.5/U7.5; overs only with edge / clear-low risk; band 3.6–6.9"
10,Jake Irvin,663623,WSH,R,ATL,WSH@ATL,6:15 PM CT,2026-07-30T23:15:00Z,ok,prior:2026-07-29,4.372878787878787,20,2.2222222222222223,season_avg,starter,19.780272542338892,22.609204056380918,4.73777329752464,4.113285446680223,1.7802245288105,3.54,6.79,1.78,9,9,1.0,20,,20,3.8322582531471623,1.2193548987286424,10.10322630375161,4.243067570413927,medium,"elev_bb,elev_hr,elev_xfip",0.95,,low,outing_medium,1,0.98,5.666666666666667,12.75,4.0,6.194911616161615,0.3,24.33234421364985,0.232358688790117,8.308605341246292,33.28888888888889,25.711111111111112,recent,1.0280246796224088,1.0165050587296505,neutral,0.9999225519287834,1.0,neutral,582,367,"660670,686948,621566,645277,671739,643289,663586,642201,663698",Ronald Acuña Jr.; Drake Baldwin; Matt Olson; Ozzie Albies; Michael Harris II; Mauricio Dubón; Austin Riley; Eli White; Joey Bart,False,,True,"K9 10.1, L3 K9 12.8",True,14,0.1875,soft,SPIKE,"SPIKE arm (K9 10.1, L3 K9 12.8) · arsenal K% 19.8 (#14/16, soft, opp K% 24.3) — SOFT UNDERS BLOCKED (K9 10.1, L3 K9 12.8) — no U6.5/U7.5; overs only with edge / clear-low risk; band 3.5–6.8; hook low"
