rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Paul Skenes,694973,PIT,R,CIN,PIT@CIN,5:10 PM CT,2026-07-31T22:10:00Z,ok,official,5.4584300692383785,22,2.4444444444444446,season_avg,starter,27.976606648207785,27.773484621198907,6.927233653134756,6.453264689918169,2.517894598338701,9,9,1.0,22,,22,2.0883978340696436,0.8204420062416458,11.113259902727746,3.0814011303492728,clear,,1.0,,8.666666666666666,13.245283018867926,5.888888888888888,8.033161233973463,0.3,29.080118694362017,0.22927326227024936,8.90207715133531,recent,1.07,neutral,0.9945813056379822,0.9951833827893175,mild,1235,780,"682829,701398,668709,663886,663993,553993,667472,682622,680574",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Nathaniel Lowe; Eugenio Suárez; Dane Myers; Noelvi Marte; Matt McLain,,False,,1,1.0,elite,,"arsenal K% 28.0 (#1/29, elite, opp K% 29.1)",7.0,52.0,150.0,6.0,0.0,30.0,.213,.509,34.666666666666664,4,31,7.75,3,21,7.0,2026-06-26 H: 5.0IP 7K; 2026-04-01 A: 5.0IP 5K; 2025-09-24 A: 6.0IP 7K; 2025-08-07 H: 6.0IP 8K; 2024-09-22 A: 5.0IP 9K; 2024-08-22 H: 6.0IP 9K; 2024-06-17 H: 6.0IP 7K
2,Hunter Greene,668881,CIN,R,PIT,PIT@CIN,5:10 PM CT,2026-07-31T22:10:00Z,ok,official,5.433333333333334,23,2.5555555555555554,season_shrunk,starter,25.58711338661452,27.811352870586752,6.285476704994483,6.1849667214206905,2.3028402047953067,9,9,1.0,23,,23,2.907692393015125,1.2461538827207677,12.046154199634088,3.0828571010895414,low,elev_hr,1.0,,7.333333333333333,10.8,6.111111111111111,6.520000000000001,0.3,24.099722991689752,0.24334428908528632,7.202216066481994,recent,1.0193074554075248,neutral,1.009880055401662,1.0,neutral,223,142,"663968,664040,668804,699013,656811,693304,682848,694378,680779",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Nick Gonzales; Endy Rodríguez; Jacob Gonzalez; Henry Davis,statcast_fallback,False,,2,0.9655172413793104,elite,,"arsenal K% 25.6 (#2/29, elite, opp K% 24.1)",9.0,66.0,198.0,19.0,3.0,31.0,.178,.566,33.333333333333336,5,32,6.4,2,15,7.5,2025-09-24 H: 6.0IP 7K; 2025-04-13 H: 7.0IP 8K; 2024-09-22 H: 3.0IP 4K; 2024-06-25 H: 4.0IP 5K; 2024-06-19 A: 6.1IP 9K; 2023-04-23 A: 6.0IP 6K; 2023-03-30 H: 3.1IP 8K
3,Nathan Eovaldi,543135,TEX,R,HOU,TEX@HOU,7:15 PM CT,2026-08-01T00:15:00Z,ok,official,5.933166666666666,24,2.6666666666666665,season_avg,starter,23.11766575941121,25.999331745343397,6.088902371326551,5.706919353995914,2.080589918347009,9,9,1.0,24,,24,2.1335150750813527,1.6185286776479229,9.564033095192272,3.25576236959578,medium,"high_hr,exit_hr",0.97,exit_hr,6.666666666666667,10.588235294117647,5.666666666666667,6.980196078431372,0.3,22.316384180790962,0.24252938363414903,8.192090395480227,recent,0.9992472570803141,neutral,1.000971186440678,1.0,neutral,1071,756,"665161,670541,670623,572233,514888,666211,673237,664774,701358",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Christian Walker; Jose Altuve; Taylor Trammell; Yainer Diaz; LaMonte Wade Jr.; Cam Smith,,False,,11,0.6551724137931034,strong,,"arsenal K% 23.1 (#11/29, strong, opp K% 22.3)",16.0,82.0,388.0,29.0,19.0,87.0,.246,.766,21.1340206185567,4,17,4.25,4,26,6.5,2026-05-28 H: 7.0IP 6K; 2026-05-17 A: 7.0IP 8K; 2025-07-13 A: 7.2IP 8K; 2025-05-16 H: 5.2IP 5K; 2024-07-13 A: 7.0IP 7K; 2024-04-14 A: 6.0IP 3K; 2023-09-05 H: 1.1IP 1K; 2023-07-01 H: 7.0IP 5K
4,Shane Drohan,675660,MIL,L,LAA,MIL@LAA,8:38 PM CT,2026-08-01T01:38:00Z,ok,prior:2026-07-29,6.497180403458214,27,3.0,season_start_est,starter,20.82214559644013,22.013518086246588,6.0764394456753905,5.491102854202239,1.8739931036796116,9,9,1.0,27,,27,2.5243903613388414,0.658536616001437,9.000000418686305,3.7263392144641894,clear,,1.0,,7.0,10.30909090909091,6.111111111111111,7.442224825779409,0.3,21.613832853025936,0.2539395212028354,9.221902017291066,recent,0.9848923411482388,neutral,0.9917028818443804,0.9926247838616715,mild,388,887,"687263,545361,694384,687093,666176,685133,694203,666139,623168",Zach Neto; Mike Trout; Nolan Schanuel; Vaughn Grissom; Jo Adell; Wade Meckler; Denzer Guzman; Josh Lowe; Tyler Heineman,,False,,18,0.41379310344827586,avg,,"arsenal K% 20.8 (#18/29, avg, opp K% 21.6)",,,,,,,,,,0,0,,0,0,,
5,Dylan Cease,656302,TOR,R,STL,STL@TOR,6:07 PM CT,2026-07-31T23:07:00Z,ok,official,5.666666666666666,23,2.5555555555555554,season_avg,starter,21.97546383378211,23.961677575680334,5.824907052934575,5.153593926552499,1.97779174504039,9,9,1.0,23,,23,3.8117648769497534,0.5558823778885057,13.261765301054352,2.6487351606327962,low,elev_bb,0.95,,10.0,11.73913043478261,7.666666666666667,7.391304347826086,0.3,22.45508982035928,0.21490044892933596,7.7844311377245505,recent,1.0160382860229968,neutral,1.004640119760479,1.0,neutral,1148,791,"802139,691023,676475,671056,663457,691026,701675,665877,699625",JJ Wetherholt; Jordan Walker; Alec Burleson; Iván Herrera; Lars Nootbaar; Masyn Winn; Nathan Church; José Fermín; Jimmy Crooks,,False,,15,0.5172413793103449,avg,,"arsenal K% 22.0 (#15/29, avg, opp K% 22.5)",3.0,21.0,71.0,5.0,1.0,19.0,.297,.749,29.577464788732396,2,17,8.5,1,4,4.0,2025-08-03 H: 5.0IP 9K; 2024-08-27 A: 4.1IP 4K; 2023-07-07 H: 6.0IP 8K
6,Brandon Young,687064,BAL,R,PHI,PHI@BAL,6:05 PM CT,2026-07-31T23:05:00Z,ok,official,5.745098039215686,24,2.6666666666666665,season_avg,starter,24.474452146731526,26.125409338965678,5.7861133950511885,6.086237209902304,2.2027006932058373,9,9,1.0,24,,24,3.1331058836303787,0.8293515574315707,7.372013843836185,4.396059979028337,low,elev_xfip,1.0,,6.0,7.967213114754099,6.777777777777778,5.08582449373192,0.3,26.923076923076923,0.23565858785035984,7.396449704142012,recent,1.0560031612976868,neutral,1.008131952662722,1.0,neutral,926,595,"607208,656941,547180,664761,669016,592663,681082,687282,702222",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Brandon Marsh; J.T. Realmuto; Bryson Stott; Gabriel Rincones Jr.; Justin Crawford,,False,,5,0.8620689655172413,elite,,"arsenal K% 24.5 (#5/29, elite, opp K% 26.9)",,,,,,,,,,0,0,,0,0,,
7,Michael Wacha,608379,KC,R,COL,KC@COL,7:40 PM CT,2026-08-01T00:40:00Z,ok,official,6.301587301587302,26,2.888888888888889,season_avg,starter,21.003243015424484,24.829699961520802,5.4567865051883295,5.80811626270647,1.8902918713882035,9,9,1.0,26,,26,2.5843829708678956,1.0881612508917455,7.073048130796346,4.38249031072298,low,elev_xfip,1.0,,4.333333333333333,6.6226415094339615,5.888888888888889,4.6370170709793355,0.3,24.705882352941178,0.21086024268334677,6.470588235294118,recent,1.0441445135829828,free_swing,1.014635294117647,1.0,low,1153,817,"664983,666160,696100,681198,691720,671289,687859,686668,678662",Jake McCarthy; Mickey Moniak; Hunter Goodman; TJ Rumfield; Kyle Karros; Tyler Freeman; Troy Johnston; Brenton Doyle; Ezequiel Tovar,,True,"K9 7.1, soft L3 4.3, elev_xFIP 4.38",17,0.4482758620689655,avg,FILLER,"soft-contact (K9 7.1, soft L3 4.3, elev_xFIP 4.38) + arsenal K% 21.0 (#17/29, avg, opp K% 24.7) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",9.0,47.0,196.0,9.0,6.0,57.0,.306,.800,23.979591836734695,2,8,4.0,0,0,,2023-09-18 H: 5.0IP 6K; 2023-04-01 H: 6.0IP 2K
8,Janson Junk,676083,MIA,R,NYM,MIA@NYM,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,5.173370984665052,23,2.5555555555555554,season_avg,starter,22.61554871776084,27.704738001547103,5.451400471353799,5.516478917028785,2.0353993845984757,9,9,1.0,23,,23,2.4434389983799103,1.3438914491089506,6.963801145382744,4.313249584652082,medium,"elev_hr,elev_xfip",1.0,,4.666666666666667,9.21951219512195,4.555555555555556,5.299550764778834,0.3,27.966101694915253,0.22812656692875793,10.169491525423728,recent,1.07,three_true,0.9897177966101695,0.9831745762711864,elevated,760,429,"805999,596019,666182,701807,673357,676724,683146,593871,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Jared Young; Brett Baty; Jorge Polanco; Francisco Alvarez,,True,"K9 7.0, elev_xFIP 4.31",14,0.5517241379310345,avg,FILLER,"soft-contact (K9 7.0, elev_xFIP 4.31) + arsenal K% 22.6 (#14/29, avg, opp K% 28.0) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",,,,,,,,,,0,0,,0,0,,
9,Shota Imanaga,684007,CHC,L,NYY,NYY@CHC,1:20 PM CT,2026-07-31T18:20:00Z,ok,official,5.628939393939395,22,2.4444444444444446,season_avg,starter,25.357632035265947,26.880701820224203,5.212468616757063,5.7290801943106615,2.282186883173935,9,9,1.0,22,,22,2.15702479338843,1.6363636363636365,8.40495867768595,3.91716670618077,medium,"high_hr,exit_hr",0.97,exit_hr,4.666666666666667,6.406779661016949,6.555555555555556,4.007041602465332,0.3,25.632911392405063,0.19713346936448203,6.962025316455696,recent,1.062355072862193,free_swing,1.0107037974683544,1.0,low,487,1397,"502671,700250,642708,691176,663757,683011,682987,645305,676609",Paul Goldschmidt; Ben Rice; Amed Rosario; Jasson Domínguez; Trent Grisham; Anthony Volpe; Spencer Jones; Ali Sánchez; José Caballero,,False,,3,0.9310344827586207,elite,,"arsenal K% 25.4 (#3/29, elite, opp K% 25.6)",2.0,12.0,45.0,1.0,3.0,6.0,.136,.497,26.666666666666668,1,6,6.0,1,6,6.0,2026-07-31 H: 6.2IP 6K; 2025-07-13 A: 7.0IP 6K
10,Erick Fedde,607200,CWS,R,TB,CWS@TB,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,6.5184,28,3.111111111111111,season_start_est,starter,18.447522543974326,18.10866343694549,5.155917160534379,5.060875943620543,1.6602770289576894,9,9,1.0,28,,28,3.3287672972361575,1.7568494068746388,6.287671561446076,4.848584271176414,high,"high_hr,high_xfip,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",3.6666666666666665,7.425000000000001,4.444444444444444,5.37768,0.3,22.832369942196532,0.2591034374368414,7.803468208092486,recent,0.9960653637449973,neutral,1.0044687861271677,1.0,neutral,950,712,"650490,666018,691406,656775,802415,683748,680700,670764,676439",Yandy Díaz; Jonathan Aranda; Junior Caminero; Cedric Mullins; Chandler Simpson; Victor Mesa Jr.; Richie Palacios; Taylor Walls; Hunter Feduccia,,True,"K9 6.3, soft L3 3.7, elev_xFIP 4.85",25,0.1724137931034483,soft,FILLER,"soft-contact (K9 6.3, soft L3 3.7, elev_xFIP 4.85) + arsenal K% 18.4 (#25/29, soft, opp K% 22.8) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",2.0,15.0,53.0,2.0,1.0,11.0,.216,.578,28.30188679245283,2,15,7.5,0,0,,2024-08-07 H: 5.0IP 6K; 2024-04-28 H: 8.1IP 9K
