rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Jacob Misiorowski,694819,MIL,R,LAA,MIL@LAA,2:15 PM CT,2026-08-02T19:15:00Z,ok,official,5.965967567567567,23,2.5555555555555554,season_avg,starter,23.107843640170625,21.687561808887025,6.990691128866656,5.352423234288274,2.079705927615356,9,9,1.0,23,,23,2.1,0.75,13.875,1.9701318409914774,clear,,1.0,,9.666666666666666,16.3125,5.333333333333333,10.813316216216215,0.3,22.22222222222222,0.22409102066048037,9.00900900900901,recent,1.0083054941922913,neutral,0.993618918918919,0.9943279279279279,mild,1041,767,"687263,545361,694384,687093,666176,685133,694203,666139,623168",Zach Neto; Mike Trout; Nolan Schanuel; Vaughn Grissom; Jo Adell; Wade Meckler; Denzer Guzman; Josh Lowe; Tyler Heineman,,False,,8,0.7586206896551724,strong,strong,0.6078436401706249,0.8856214179484034,,"arsenal K% 23.1 (strong solo, +0.6 vs lg, +0.9 vs opp K%, opp K% 22.2; slate #8/29 strong)",0,0,,0,0,,,,,,,,,,,
2,Colin Rea,607067,CHC,R,NYY,NYY@CHC,1:20 PM CT,2026-08-02T18:20:00Z,ok,official,5.981481481481482,26,2.888888888888889,season_start_est,starter,26.849451997822243,30.01142757599512,6.62630371224574,7.505830700033598,2.416450679804002,9,9,1.0,26,,26,3.2238806704365897,1.3701492849355505,6.689552391155924,4.719060119632912,medium,"elev_hr,elev_xfip",1.0,,4.333333333333333,6.882352941176471,5.666666666666667,4.574074074074074,0.3,28.571428571428573,0.19322339034891126,7.792207792207792,recent,1.07,neutral,1.00457012987013,1.0,neutral,1105,745,"663757,700250,642708,682987,691176,665862,641857,676609,669224",Trent Grisham; Ben Rice; Amed Rosario; Spencer Jones; Jasson Domínguez; Jazz Chisholm Jr.; Ryan McMahon; José Caballero; Austin Wells,,True,"K9 6.7, soft L3 4.3, elev_xFIP 4.72",1,1.0,elite,elite,4.349451997822243,-1.7219765736063302,MATCHUP_OK,"soft-contact profile (K9 6.7, soft L3 4.3, elev_xFIP 4.72) but arsenal K% 26.8 (elite solo, +4.3 vs lg, -1.7 vs opp K%, opp K% 28.6; slate #1/29 elite) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",1,4,4.0,1,6,6.0,2024-04-26 H: 6.0IP 4K; 2023-09-08 A: 4.2IP 6K,3.0,15.0,68.0,6.0,5.0,11.0,.183,.719,22.058823529411764
3,Taj Bradley,671737,MIN,R,SEA,MIN@SEA,3:10 PM CT,2026-08-02T20:10:00Z,ok,prior:2026-08-01,5.458730158730159,23,2.5555555555555554,season_avg,starter,26.30425574830977,28.229446013078316,6.122906896203121,6.017644772353665,2.3673830173478794,9,9,1.0,23,,23,3.6546962096218762,1.2679558278279979,10.36740353341716,3.807409446928749,medium,"elev_bb,elev_hr",0.95,,7.0,10.5,6.0,6.368518518518519,0.3,23.631123919308358,0.2266593287889903,7.492795389048991,recent,1.0230952942381015,neutral,1.007264841498559,1.0,neutral,1205,845,"702284,668227,686527,677594,663728,647304,641598,642215,806068",Cole Young; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Cal Raleigh; Josh Naylor; Mitch Garver; Weston Wilson; Colt Emerson,,False,,2,0.9655172413793104,elite,elite,3.804255748309771,2.673131829001413,,"arsenal K% 26.3 (elite solo, +3.8 vs lg, +2.7 vs opp K%, opp K% 23.6; slate #2/29 elite)",3,20,6.666666666666667,1,3,3.0,2026-04-29 H: 7.0IP 7K; 2024-06-24 H: 5.1IP 8K; 2023-09-08 H: 6.1IP 5K; 2023-07-02 A: 3.1IP 3K,4.0,23.0,96.0,9.0,6.0,21.0,.241,.865,23.958333333333332
4,Peter Lambert,663567,HOU,R,TEX,TEX@HOU,1:10 PM CT,2026-08-02T18:10:00Z,ok,official,5.722222222222222,24,2.6666666666666665,season_avg,starter,23.306780109195156,28.84699824281645,5.979365605867412,5.8010545069814565,2.097610209827564,9,9,1.0,24,,24,3.407766990291262,0.9611650485436893,8.737864077669903,4.466054360684261,low,elev_xfip,1.0,,6.333333333333333,10.058823529411764,5.666666666666667,6.395424836601308,0.3,26.060606060606062,0.2486826973850201,8.181818181818182,recent,1.0389214861352087,neutral,1.0010636363636363,1.0,neutral,952,756,"592626,694671,608369,607043,669394,694497,677649,553869,695508",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Jake Burger; Evan Carter; Ezequiel Duran; Elias Díaz; Cam Cauley,,False,,7,0.7931034482758621,strong,strong,0.8067801091951559,-2.7538259514109065,,"arsenal K% 23.3 (strong solo, +0.8 vs lg, -2.8 vs opp K%, opp K% 26.1; slate #7/29 strong)",1,6,6.0,2,9,4.5,2026-07-11 A: 6.0IP 7K; 2026-05-17 H: 6.0IP 6K; 2023-05-19 A: 2.2IP 2K,3.0,15.0,59.0,3.0,2.0,9.0,.170,.575,25.423728813559322
5,Gerrit Cole,543037,NYY,R,CHC,NYY@CHC,1:20 PM CT,2026-08-02T18:20:00Z,ok,official,5.666666666666667,23,2.5555555555555554,season_avg,starter,21.488983494500566,23.03294066563963,5.919710370593185,5.133420830170716,1.934008514505051,9,9,1.0,23,,23,1.8529411764705883,1.4558823529411764,9.661764705882353,3.6997092046062736,low,elev_hr,1.0,,8.666666666666666,12.31578947368421,6.333333333333333,7.754385964912282,0.3,23.88451443569554,0.279095552514394,8.398950131233596,recent,0.997169362127582,neutral,0.9991094488188976,1.0,neutral,703,334,"691718,673548,683737,608324,664023,663538,699393,621020,665804",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Nico Hoerner; Pedro Ramírez; Dansby Swanson; Miguel Amaya,,False,,15,0.5172413793103449,avg,avg,-1.011016505499434,-2.3955309411949735,,"arsenal K% 21.5 (avg solo, -1.0 vs lg, -2.4 vs opp K%, opp K% 23.9; slate #15/29 avg)",1,5,5.0,1,7,7.0,2024-09-08 A: 6.0IP 7K; 2023-07-08 H: 7.1IP 5K,17.0,127.0,429.0,23.0,4.0,81.0,.206,.536,29.603729603729604
6,Zack Wheeler,554430,PHI,R,BAL,PHI@BAL,12:35 PM CT,2026-08-02T17:35:00Z,ok,official,5.650722250639386,21,2.3333333333333335,season_avg,starter,23.04711490194681,23.80185573348055,5.836742351999769,4.554237567160796,2.0742403411752126,9,9,1.0,21,,21,2.0097087378640777,1.1359223300970873,10.74757281553398,2.741873719507051,clear,,1.0,,8.333333333333334,14.0625,5.333333333333333,8.829253516624041,0.3,20.869565217391305,0.2347990078181002,13.91304347826087,recent,0.9868605457000449,patient,0.95,0.9326434782608696,elevated,1042,572,"687637,624413,683002,621493,702616,687952,665750,681297,668670",Dylan Beavers; Pete Alonso; Gunnar Henderson; Taylor Ward; Jackson Holliday; Christian Encarnacion-Strand; Leody Taveras; Colton Cowser; Jake Rogers,,False,,9,0.7241379310344828,strong,strong,0.5471149019468093,2.1775496845555047,,"arsenal K% 23.0 (strong solo, +0.5 vs lg, +2.2 vs opp K%, opp K% 20.9; slate #9/29 strong)",0,0,,1,4,4.0,2024-06-16 A: 4.1IP 4K,5.0,23.0,122.0,8.0,4.0,29.0,.264,.772,18.852459016393443
7,Mitch Keller,656605,PIT,R,CIN,PIT@CIN,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,5.3749568516953135,23,2.5555555555555554,season_avg,starter,24.492688561658873,23.969616528782055,5.704762447388737,5.903696526096939,2.2043419705492986,9,9,1.0,23,,23,3.008797721276554,1.0293255362261895,6.888563203975268,4.513260049618951,low,elev_xfip,1.0,,4.333333333333333,8.775,4.444444444444444,5.240582930402931,0.3,27.514792899408285,0.24583595087224833,9.171597633136095,recent,1.0572103453634587,neutral,0.9921556213017751,0.9930272189349112,mild,1173,645,"682829,701398,668709,663886,663993,667472,682622,680574,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Nathaniel Lowe; Dane Myers; Noelvi Marte; Matt McLain; Ke'Bryan Hayes,,True,"K9 6.9, soft L3 4.3, elev_xFIP 4.51",4,0.896551724137931,elite,elite,1.9926885616588734,-3.0221043377494112,MATCHUP_OK,"soft-contact profile (K9 6.9, soft L3 4.3, elev_xFIP 4.51) but arsenal K% 24.5 (elite solo, +2.0 vs lg, -3.0 vs opp K%, opp K% 27.5; slate #4/29 elite) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",7,37,5.285714285714286,3,15,5.0,2026-06-28 H: 6.0IP 4K; 2026-05-01 H: 7.0IP 6K; 2025-08-08 H: 5.2IP 3K; 2025-05-19 H: 6.0IP 5K; 2024-09-20 A: 3.1IP 1K; 2024-06-25 A: 5.2IP 6K; 2024-06-19 H: 7.0IP 7K; 2023-08-13 H: 6.0IP 7K,21.0,96.0,473.0,52.0,11.0,108.0,.266,.789,20.29598308668076
8,Chase Burns,695505,CIN,R,PIT,PIT@CIN,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,5.633333333333334,23,2.5555555555555554,season_avg,starter,26.077382997849682,27.497584647894247,5.459379823676681,5.867685462395259,2.3469644698064713,9,9,1.0,23,,23,3.275148002921291,1.0384615619018727,10.224852301803054,3.6242510892586517,clear,,1.0,,4.0,7.2,5.0,4.506666666666667,0.3,20.54054054054054,0.2520162544564833,8.378378378378379,recent,0.9736072762651504,neutral,0.9992945945945946,1.0,neutral,1191,666,"663968,664040,668804,699013,687462,693304,682848,694378,691373",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Spencer Horwitz; Nick Gonzales; Endy Rodríguez; Jacob Gonzalez; Jhostynxon Garcia,,False,,3,0.9310344827586207,elite,elite,3.577382997849682,5.536842457309142,,"arsenal K% 26.1 (elite solo, +3.6 vs lg, +5.5 vs opp K%, opp K% 20.5; slate #3/29 elite)",2,10,5.0,3,27,9.0,2026-06-27 A: 6.0IP 10K; 2026-05-03 A: 7.0IP 7K; 2026-03-30 H: 5.0IP 7K; 2025-09-24 H: 2.0IP 3K; 2025-08-08 A: 6.0IP 10K,5.0,37.0,98.0,5.0,1.0,16.0,.172,.461,37.755102040816325
9,Gavin Williams,668909,CLE,R,AZ,AZ@CLE,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,5.851863313990974,23,2.5555555555555554,season_avg,starter,17.19826292411328,18.595644816288026,5.444308665315057,3.5140833931137996,1.547843663170195,9,9,1.0,23,,23,2.5650000978469887,1.4175000540733358,11.340000432586686,2.8741718252723842,low,elev_hr,1.0,,11.333333333333334,15.3,6.666666666666667,9.948167633784658,0.3,13.829787234042554,0.26283559616854096,11.170212765957446,recent,0.9299999999999999,patient,0.95,0.9655574468085106,elevated,1230,818,"682998,672695,672515,606466,596146,571448,694374,545121,682988",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Nolan Arenado; Tim Tawa; Ildemaro Vargas; Tyler Locklear,,False,,29,0.034482758620689655,soft,soft,-5.30173707588672,3.368475690070726,,"arsenal K% 17.2 (soft solo, -5.3 vs lg, +3.4 vs opp K%, opp K% 13.8; slate #29/29 soft)",0,0,,1,5,5.0,2025-08-18 A: 5.1IP 5K,1.0,5.0,22.0,1.0,0.0,4.0,.200,.473,22.727272727272727
10,Sandy Alcantara,645261,MIA,R,NYM,MIA@NYM,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,6.550724637681159,27,3.0,season_avg,starter,19.581847237990633,22.097774971902847,5.402262535102432,5.611927845177388,1.7623662514191571,9,9,1.0,27,,27,2.32964617498929,1.0154867942261008,6.869469490353035,4.158700689761909,clear,,1.0,,5.0,6.75,6.666666666666667,4.913043478260869,0.3,26.80115273775216,0.22223102659063024,8.357348703170029,recent,1.0619861918593032,neutral,0.9994838616714697,1.0,neutral,1390,867,"805999,596019,666182,701807,673357,676724,543760,593871,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Jared Young; Marcus Semien; Jorge Polanco; Francisco Alvarez,,True,"K9 6.9, low-K volume",19,0.3793103448275862,soft,soft,-2.918152762009367,-7.2193054997615285,FILLER,"soft-contact (K9 6.9, low-K volume) + arsenal K% 19.6 (soft solo, -2.9 vs lg, -7.2 vs opp K%, opp K% 26.8; slate #19/29 soft) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",3,9,3.0,1,6,6.0,2025-09-26 H: 7.0IP 3K; 2025-08-31 A: 7.0IP 6K; 2025-04-01 H: 5.0IP 4K; 2023-03-30 H: 5.2IP 2K,18.0,99.0,471.0,31.0,12.0,91.0,.211,.624,21.019108280254777
