rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Brandon Young,687064,BAL,R,LAA,LAA@BAL,11:35 AM CT,2026-08-06T16:35:00Z,ok,official,5.7407407407407405,24,2.6666666666666665,season_avg,starter,24.677843800800733,28.418477578566492,6.096338079973536,6.378227332293021,2.221005942072066,9,9,1.0,24,,24,3.135484025302224,0.9580645632867906,7.403226170852473,4.411415943290485,19.362187,78.25537299999999,41.2698412,40.6349206,12.5,15.189873,64.39628482972137,66.05922600000001,40.123839,1615.0,1040.0,fly_popup,"FB% 40.6, IFFB% 12.5",low,elev_xfip,1.0,,6.0,8.526315789473685,6.333333333333333,5.43859649122807,0.3,26.537216828478964,0.22615770989131576,7.44336569579288,63.43042071197411,whiff_prone,recent,1.07,neutral,1.0077097087378641,1.0,neutral,985,630,"685133,545361,694384,687263,687093,694208,642350,666139,672724",Wade Meckler; Mike Trout; Nolan Schanuel; Zach Neto; Vaughn Grissom; Moisés Ballesteros; Jose Siri; Josh Lowe; Oswald Peraza,,22.978260822334473,94.38461538461539,FF,avg,False,,savant+statcast,False,,4,0.8636363636363636,elite,elite,2.1778438008007335,-1.859373027678231,THIN_TOTAL,"arsenal K% 24.7 (elite solo, +2.2 vs lg, -1.9 vs opp K%, opp K% 26.5; slate #4/22 elite); stuff whiff 23.0% (avg), FF 94.4 mph; pitcher style FLY/popup (FB% 40.6, IFFB% 12.5); THIN total — Exp K 6.1 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,0,0,,0,0,,,,,,,,,,,
2,Janson Junk,676083,MIA,R,ATL,MIA@ATL,6:15 PM CT,2026-08-06T23:15:00Z,ok,prior:2026-08-05,5.2444444444444445,22,2.4444444444444446,season_avg,starter,28.089919359016008,28.469880929909916,5.903286586029524,6.295287457394094,2.5280927423114408,9,9,1.0,22,,22,2.516949233910164,1.258474616955082,6.978813784932727,4.300025697358943,18.10089,86.504065,43.265306100000004,39.5918367,15.463917499999999,17.529880000000002,66.1150512214342,62.908012,47.239748,1269.0,839.0,balanced,,medium,"elev_hr,elev_xfip",1.0,,4.333333333333333,8.560975609756097,4.555555555555556,4.9886178861788615,0.3,24.397590361445783,0.2162676079438204,6.626506024096385,67.7710843373494,neutral,recent,1.029168037773081,free_swing,1.0133879518072288,1.0,low,813,455,"686948,660670,621566,671739,645277,643289,657041,663586,669221",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Lane Thomas; Austin Riley; Sean Murphy,,17.023690556094166,94.21951754385967,FF,soft,False,,savant+statcast,True,"K9 7.0, soft L3 4.3, elev_xFIP 4.30",2,0.9545454545454546,elite,elite,5.589919359016008,3.6923289975702254,MATCHUP_OK,"soft-contact profile (K9 7.0, soft L3 4.3, elev_xFIP 4.30) but arsenal K% 28.1 (elite solo, +5.6 vs lg, +3.7 vs opp K%, opp K% 24.4; slate #2/22 elite); stuff whiff 17.0% (soft), FF 94.2 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,2,8,4.0,0,0,,2026-05-20 H: 5.0IP 3K; 2025-06-20 H: 5.0IP 5K,2.0,8.0,43.0,0.0,2.0,13.0,.302,.744,18.6046511627907
3,Cristopher Sánchez,650911,PHI,L,WSH,WSH@PHI,5:05 PM CT,2026-08-06T22:05:00Z,ok,prior:2026-08-05,6.010585507246376,25,2.7777777777777777,season_avg,starter,18.14366644604962,21.553488532279673,5.662259064608975,4.52222045063585,1.6329299801444659,9,9,1.0,25,,25,2.052995536065557,0.7465438312965661,10.451613638151926,2.5922541321250487,27.860697000000002,69.584838,57.682619599999995,25.1889168,8.0,15.075377000000001,66.93914623069936,65.339967,41.689373,2202.0,1474.0,whiff,"K% 27.9, Contact% 69.6",clear,,1.0,,8.0,12.461538461538462,5.777777777777778,8.322349163879597,0.3,20.333333333333332,0.20764306271365093,12.0,65.66666666666667,neutral,recent,1.0075892343215873,patient,0.95,0.9556,elevated,494,1708,"682928,694673,686611,695734,660688,677588,683083,678391,696285",CJ Abrams; Abimelec Ortiz; Dylan Crews; Daylen Lile; Keibert Ruiz; José Tena; Nasim Nuñez; Jorbit Vivas; Jacob Young,,31.720345140781106,95.15577942735949,SI,elite,True,"K9 10.5, L3 K9 12.5, stuff whiff 31.7%",savant,False,,21,0.09090909090909091,soft,soft,-4.356333553950378,-2.1896668872837104,SPIKE,"arsenal K% 18.1 (soft solo, -4.4 vs lg, -2.2 vs opp K%, opp K% 20.3; slate #21/22 soft); stuff whiff 31.7% (elite), SI 95.2 mph; pitcher style WHIFF (K% 27.9, Contact% 69.6); SPIKE (K9 10.5, L3 K9 12.5, stuff whiff 31.7%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,5,31,6.2,3,12,4.0,2026-06-25 A: 5.0IP 6K; 2026-04-01 H: 5.1IP 7K; 2025-04-30 H: 5.0IP 6K; 2024-08-17 H: 9.0IP 4K; 2024-05-18 H: 7.0IP 8K; 2024-04-07 A: 4.1IP 1K; 2023-08-19 A: 6.0IP 5K; 2023-06-30 H: 6.0IP 6K,13.0,51.0,258.0,17.0,3.0,63.0,.264,.674,19.767441860465116
4,Andrew Abbott,671096,CIN,L,ATH,ATH@CIN,11:40 AM CT,2026-08-06T16:40:00Z,ok,official,4.630695652173912,20,2.2222222222222223,season_avg,starter,30.38406723081884,29.89302449766539,5.522754263626802,6.605506456258969,2.7345660507736955,9,9,1.0,20,,20,4.352459016393443,1.2540983606557377,7.008196721311475,4.911791621002018,17.992424,78.877551,40.8219178,42.191780800000004,10.389610300000001,14.247312,62.10772833723654,58.522726999999996,39.859485,2135.0,1326.0,balanced,,high,"high_bb,elev_hr,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,3.6666666666666665,5.823529411764706,5.666666666666667,2.9963324808184137,0.3,26.296296296296298,0.23127714674863797,7.777777777777778,64.81481481481481,whiff_prone,recent,1.07,neutral,1.0047,1.0,neutral,624,1500,"703607,695720,641680,691016,691777,671732,661531,675961,680716",Henry Bolte; Tommy White; Jonah Heim; Tyler Soderstrom; Max Muncy; Lawrence Butler; Brian Serven; Alika Williams; Jonathan Ornelas,,22.190695443645083,92.49079627714582,FF,avg,False,,savant,True,"K9 7.0, soft L3 3.7, elev_xFIP 4.91",1,1.0,elite,elite,7.8840672308188395,4.087770934522542,MATCHUP_OK,"soft-contact profile (K9 7.0, soft L3 3.7, elev_xFIP 4.91) but arsenal K% 30.4 (elite solo, +7.9 vs lg, +4.1 vs opp K%, opp K% 26.3; slate #1/22 elite); stuff whiff 22.2% (avg), FF 92.5 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,0,0,,0,0,,,,,,,,,,,
5,Dylan Cease,656302,TOR,R,CHC,TOR@CHC,1:20 PM CT,2026-08-06T18:20:00Z,ok,prior:2026-08-05,5.615755711711712,23,2.5555555555555554,season_avg,starter,20.911564157405387,23.810023842434607,5.36413594614084,4.683262606639884,1.8820407741664849,9,9,1.0,23,,23,3.846368879024948,0.5279329833955811,13.122905587261588,2.6721018706958626,36.174636,67.76246,44.2231075,35.4581673,16.8539325,21.73913,62.67190569744597,63.409563000000006,36.314496,2036.0,1276.0,whiff,"K% 36.2, Contact% 67.8",low,elev_bb,0.95,,8.666666666666666,11.142857142857142,7.0,6.952840404976405,0.3,20.81081081081081,0.2796308371379495,9.45945945945946,68.91891891891892,neutral,recent,0.9653355339587558,neutral,0.9895648648648648,0.9907243243243243,mild,1200,835,"691718,673548,608324,608348,683737,663538,664023,621020,621438",Pete Crow-Armstrong; Seiya Suzuki; Alex Bregman; Carson Kelly; Michael Busch; Nico Hoerner; Ian Happ; Dansby Swanson; Tyrone Taylor,,35.40282296792359,97.42075471698115,FF,elite,True,"K9 13.1, L3 K9 11.1, stuff whiff 35.4%",savant+statcast,False,,12,0.5,avg,avg,-1.5884358425946132,0.10075334659457624,,"arsenal K% 20.9 (avg solo, -1.6 vs lg, +0.1 vs opp K%, opp K% 20.8; slate #12/22 avg); stuff whiff 35.4% (elite), FF 97.4 mph; pitcher style WHIFF (K% 36.2, Contact% 67.8); stuff ceiling (K9 13.1, L3 K9 11.1, stuff whiff 35.4%)",0,,2,13,6.5,1,12,12.0,2025-04-14 H: 5.2IP 6K; 2024-05-08 A: 7.0IP 12K; 2024-04-10 H: 6.0IP 7K,8.0,61.0,190.0,19.0,7.0,30.0,.178,.617,32.10526315789474
6,Braxton Ashcraft,677952,PIT,R,MIL,PIT@MIL,1:10 PM CT,2026-08-06T18:10:00Z,ok,prior:2026-08-05,5.568922363297783,23,2.5555555555555554,season_avg,starter,23.67798625534277,25.78261682413431,5.342337855447136,5.5861846396314165,2.1310187629808492,9,9,1.0,23,,23,2.1910995639621103,1.2015707286243829,9.895288353377271,3.2628158818327524,26.61597,75.862069,43.9306358,35.549132900000004,13.8211382,16.091954,68.97263810015488,66.920152,44.398554000000004,1937.0,1336.0,whiff,K% 26.6,low,elev_hr,1.0,,4.0,7.714285714285714,4.666666666666667,4.773362025683814,0.3,22.625698324022345,0.22941483983973388,11.452513966480447,63.40782122905028,whiff_prone,recent,1.0465457313808486,patient,0.95,0.9621698324022346,elevated,1159,778,"668930,694192,669003,661388,592885,683734,800325,806198,666152",Brice Turang; Jackson Chourio; Garrett Mitchell; William Contreras; Christian Yelich; Andrew Vaughn; Luis Lara; Cooper Pratt; David Hamilton,,27.048397609994563,97.19092382495948,FF,strong,True,stuff whiff 27.0% + FB 97.2,savant,False,,6,0.7727272727272727,strong,strong,1.1779862553427698,1.052287931320425,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, +1.1 vs opp K%, opp K% 22.6; slate #6/22 strong); stuff whiff 27.0% (strong), FF 97.2 mph; pitcher style WHIFF (K% 26.6); stuff ceiling (stuff whiff 27.0% + FB 97.2); K-first arm — confirms overs / SPIKE caution on soft unders",0,,1,6,6.0,1,2,2.0,2026-07-11 H: 5.0IP 6K; 2025-06-23 A: 3.0IP 2K,2.0,8.0,32.0,2.0,2.0,6.0,.200,.750,25.0
7,David Peterson,656849,CHC,L,TOR,TOR@CHC,1:20 PM CT,2026-08-06T18:20:00Z,ok,prior:2026-08-05,6.310714285714286,28,3.111111111111111,season_start_est,starter,19.18778226729771,22.410148887731626,5.150277816797869,5.18420701233515,1.726900404056794,9,9,1.0,28,,28,3.5643567048899363,0.9801980938447324,7.574257997891114,4.152042707193959,18.763797,80.130719,48.4375,30.312499999999996,6.185567,13.230769,63.36154776299879,63.134658,41.818182,1654.0,1048.0,contact_gb,GB% 48.4,low,elev_bb,0.95,,5.0,7.232142857142857,6.222222222222222,5.071109693877551,0.3,19.873817034700316,0.2123045481767806,4.73186119873817,73.50157728706624,contact_heavy,recent,0.931084746236562,aggressive,1.0285451104100947,1.0,low,486,1165,"664770,672960,660821,543807,678218,669701,676391,665926,664702",Nathan Lukes; Kazuma Okamoto; Jesús Sánchez; George Springer; Brandon Valenzuela; Josh Smith; Ernie Clement; Andrés Giménez; Myles Straw,,21.11595763059356,92.03983903420523,SI,soft,False,,savant+statcast,False,,16,0.3181818181818182,soft,soft,-3.3122177327022904,-0.6860347674026066,UNDER_OK,"arsenal K% 19.2 (soft solo, -3.3 vs lg, -0.7 vs opp K%, opp K% 19.9; slate #16/22 soft); stuff whiff 21.1% (soft), SI 92.0 mph; pitcher style GB/contact (GB% 48.4); UNDER_OK — 2/2+ confirms (GB/FLY style, opp contact-heavy BIP); GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",2,,1,3,3.0,1,2,2.0,2025-04-06 H: 4.2IP 3K; 2024-09-10 A: 4.1IP 2K,3.0,7.0,66.0,9.0,1.0,14.0,.255,.761,10.606060606060606
8,Ranger Suarez,624133,BOS,L,CWS,CWS@BOS,6:10 PM CT,2026-08-06T23:10:00Z,ok,prior:2026-08-05,4.866870991432069,20,2.2222222222222223,season_avg,starter,22.60818669331244,25.553530890026757,5.122945936695489,4.925956775121488,2.0347368023981196,9,9,1.0,20,,20,2.52,0.45,9.45,3.220138322338462,25.672372,77.40585800000001,40.8088235,31.9852941,14.942528699999999,17.518248,63.22130627774255,65.525672,38.15873,1577.0,997.0,whiff,K% 25.7,low,short_recent_ip,0.93,short_recent_ip,4.333333333333333,10.323529411764705,3.777777777777778,5.582587313701491,0.3,27.61627906976744,0.19434213827168564,9.011627906976743,61.04651162790697,whiff_prone,recent,1.07,neutral,0.9935953488372093,0.9943069767441861,mild,430,1145,"803011,808959,678246,695657,643217,695731,671976,805367,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Braden Montgomery; Tristan Peters; Chase Meidroth; Drew Romo,,22.66971090670171,90.40352303523034,SI,avg,True,L3 K9 10.3,savant,False,,8,0.6818181818181818,strong,strong,0.10818669331244024,-5.008092376455,,"arsenal K% 22.6 (strong solo, +0.1 vs lg, -5.0 vs opp K%, opp K% 27.6; slate #8/22 strong); stuff whiff 22.7% (avg), SI 90.4 mph; pitcher style WHIFF (K% 25.7); stuff ceiling (L3 K9 10.3); K-first arm — confirms overs / SPIKE caution on soft unders",0,,0,0,,0,0,,,1.0,1.0,3.0,0.0,0.0,0.0,.000,.000,33.333333333333336
9,Nolan McLean,690997,NYM,R,CLE,NYM@CLE,12:10 PM CT,2026-08-06T17:10:00Z,ok,official,5.666976001501079,24,2.6666666666666665,season_avg,starter,18.93298365604939,20.067945912431632,5.077160087389303,4.206166274684138,1.7039685290444453,9,9,1.0,24,,24,3.2228117363079636,0.9310345016000784,10.59946971052397,3.336101339880937,28.352490000000003,76.872247,46.4743589,32.051282,11.0,18.987341999999998,63.1376323387873,60.536398000000005,41.213288,2078.0,1312.0,whiff,K% 28.4,clear,,1.0,,7.666666666666667,11.290909090909091,6.111111111111111,7.109478983701354,0.3,16.71826625386997,0.23307760984886738,9.287925696594428,70.89783281733746,contact_heavy,recent,0.9299999999999999,neutral,0.9911086687306502,0.9920965944272446,mild,1208,869,"683953,800050,608070,663993,682657,677587,690984,672275,694197",Travis Bazzana; Chase DeLauter; José Ramírez; Nathaniel Lowe; Angel Martínez; Brayan Rocchio; Petey Halpin; Patrick Bailey; Angel Genao,,25.298998240522817,95.0806167400881,SI,avg,True,"K9 10.6, L3 K9 11.3",savant+statcast,False,,19,0.18181818181818182,soft,soft,-3.567016343950609,2.2147174021794207,SPIKE,"arsenal K% 18.9 (soft solo, -3.6 vs lg, +2.2 vs opp K%, opp K% 16.7; slate #19/22 soft); stuff whiff 25.3% (avg), SI 95.1 mph; pitcher style WHIFF (K% 28.4); SPIKE (K9 10.6, L3 K9 11.3) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,0,0,,0,0,,,,,,,,,,,
10,Dustin May,669160,MIL,R,PIT,PIT@MIL,1:10 PM CT,2026-08-06T18:10:00Z,ok,prior:2026-08-05,5.155407557241186,22,2.4444444444444446,season_avg,starter,19.682209504206888,24.253217887098295,4.997823353463264,4.792195992275195,1.77139885537862,9,9,1.0,22,,22,2.889908256880734,0.5779816513761468,8.752293577981652,3.8713541833632585,23.093681999999998,79.314565,43.1372549,36.6013071,8.035714200000001,14.838709999999999,64.8972602739726,60.348584,41.199999999999996,1752.0,1137.0,balanced,,clear,,1.0,,5.666666666666667,9.5625,5.333333333333333,5.47762052956876,0.3,26.548672566371682,0.21796948419900475,9.144542772861357,62.24188790560472,whiff_prone,recent,1.07,neutral,0.9923991150442478,0.9932436578171091,mild,1080,670,"663968,664040,668804,699013,693304,682848,669707,804668,691373",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Nick Gonzales; Endy Rodríguez; Jared Triolo; Rafael Flores Jr.; Jhostynxon Garcia,,22.710406349206348,96.93275862068967,FF,avg,False,,savant+statcast,False,,14,0.4090909090909091,avg,soft,-2.817790495793112,-6.866463062164794,,"arsenal K% 19.7 (soft solo, -2.8 vs lg, -6.9 vs opp K%, opp K% 26.5; slate #14/22 avg); stuff whiff 22.7% (avg), FF 96.9 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass)",0,,2,12,6.0,1,2,2.0,2026-05-21 H: 5.1IP 7K; 2026-04-27 A: 6.0IP 2K; 2025-08-30 H: 5.1IP 5K,3.0,14.0,77.0,8.0,2.0,21.0,.313,.851,18.181818181818183
