rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Gavin Williams,668909,CLE,R,CWS,CLE@CWS,6:15 PM CT,2026-08-08T23:15:00Z,ok,prior:2026-08-07,5.9919608038880865,24,2.6666666666666665,season_avg,starter,23.500310188825125,26.51516766100672,7.7468621592302185,6.257957179639388,2.1150279169942614,9,9,1.0,24,,24,2.5251798561151078,1.3597122302158273,11.525179856115107,2.7945805887952986,32.304899999999996,70.895522,45.1219512,37.804877999999995,8.0645161,13.293051,14.391144,31.780443,67.11254612546125,63.702358999999994,42.804428,2168.0,1455.0,0.35,"attack-plate stuff bump +0.35 (elite whiff 30.9%, Strike% 67.1)",whiff,"K% 32.3, Contact% 70.9",low,elev_hr,1.0,,11.0,15.101694915254237,6.555555555555556,10.054307111608823,0.3,27.190332326283986,23.8453276047261,25.630733944954127,25.630733944954127,R,1744.0,9,season_vs_rhp,0.21876073388635003,9.365558912386707,61.933534743202415,whiff_prone,recent,1.07,neutral,0.9904099697885197,0.9914755287009064,mild,1279,858,"805367,808959,678246,545341,695657,686668,695731,700337,682668",Chase Meidroth; Munetaka Murakami; Miguel Vargas; Randal Grichuk; Colson Montgomery; Brenton Doyle; Braden Montgomery; Edgar Quero; Luisangel Acuña,,30.90589611605054,97.30856610800744,FF,elite,True,"K9 11.5, L3 K9 15.1, stuff whiff 30.9%",savant+statcast,False,,10,0.6896551724137931,strong,strong,1.0003101888251251,-2.1304237561290016,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, -2.1 vs opp K%, opp K% vs RHP 25.6; slate #10/29 strong); stuff whiff 30.9% (elite), FF 97.3 mph; pitcher style WHIFF (K% 32.3, Contact% 70.9); stuff ceiling (K9 11.5, L3 K9 15.1, stuff whiff 30.9%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.7 (≥5.5)",0,trust,5.0,28.0,104.0,12.0,3.0,24.0,.267,.761,26.923076923076923,3,15,5.0,2,13,6.5,2026-07-03 H: 4.2IP 6K; 2026-06-22 A: 5.0IP 8K; 2025-07-11 A: 5.0IP 5K; 2025-04-10 H: 5.0IP 7K; 2024-07-03 H: 4.0IP 2K
2,Chris Sale,519242,ATL,L,NYY,ATL@NYY,2:05 PM CT,2026-08-08T19:05:00Z,ok,official,5.771167297297297,24,2.6666666666666665,season_avg,starter,27.82960164669089,29.704587428250534,7.660665310216365,7.059213231217447,2.50466414820218,9,9,1.0,24,,24,2.0,0.6153846153846154,11.0,2.90998540144955,30.360934,72.115385,44.8275862,35.5172413,9.7087378,13.356164000000001,13.979646,31.387252,67.86288162828066,64.54352399999999,43.301179,1867.0,1267.0,0.35,"attack-plate stuff bump +0.35 (elite whiff 30.9%, Strike% 67.9)",whiff,"K% 30.4, Contact% 72.1",clear,,1.0,,8.666666666666666,12.31578947368421,6.333333333333333,7.897386827880512,0.3,27.7027027027027,24.628712871287128,24.28035043804756,24.628712871287128,L,808.0,7,season_vs_lhp,0.19255675664658178,9.797297297297296,61.486486486486484,whiff_prone,recent,1.07,three_true,0.9917648648648649,0.9865243243243244,elevated,447,1419,"502671,671218,700250,642708,663757,806146,682987,676609,669224",Paul Goldschmidt; Heliot Ramos; Ben Rice; Amed Rosario; Trent Grisham; George Lombard Jr.; Spencer Jones; José Caballero; Austin Wells,,30.89221771750781,96.09146183699872,FF,elite,True,"K9 11.0, L3 K9 12.3, stuff whiff 30.9%",savant+statcast,False,,4,0.896551724137931,elite,elite,5.3296016466908895,3.2008887754037616,,"arsenal K% 27.8 (elite solo, +5.3 vs lg, +3.2 vs opp K%, opp K% vs LHP 24.6; slate #4/29 elite); stuff whiff 30.9% (elite), FF 96.1 mph; pitcher style WHIFF (K% 30.4, Contact% 72.1); stuff ceiling (K9 11.0, L3 K9 12.3, stuff whiff 30.9%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.7 (≥5.5)",0,trust,23.0,165.0,516.0,28.0,15.0,101.0,.212,.624,31.976744186046513,0,0,,1,8,8.0,2024-06-21 A: 5.0IP 8K
3,Andrew Alvarez,674841,WSH,L,CIN,CIN@WSH,5:45 PM CT,2026-08-08T22:45:00Z,ok,prior:2026-08-07,6.041863918495298,26,2.888888888888889,season_start_est,starter,29.586978709962466,29.797182592087943,6.818421638364156,8.155273615550612,2.662828083896622,9,9,1.0,26,,26,4.359375259839013,0.28125001676380734,8.859375528059932,3.71473423724738,22.826087,74.845361,51.68539319999999,23.5955056,16.6666666,13.96648,11.192661,27.33945,60.91743119266055,51.81159400000001,38.990826,1090.0,664.0,0.0,,balanced,,medium,high_bb,0.9,,3.3333333333333335,5.510204081632653,5.444444444444444,3.6991003582624273,0.3,32.288401253918494,26.38888888888889,25.576730190571716,26.38888888888889,L,648.0,8,season_vs_lhp,0.20990215539517046,12.852664576802507,52.97805642633229,whiff_prone,recent,1.07,three_true,0.9749603448275862,0.9590260188087775,elevated,329,761,"682829,701398,668709,663886,553993,699302,682622,663647,680574",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Héctor Rodríguez; Noelvi Marte; Ke'Bryan Hayes; Matt McLain,,25.922865275142314,92.3830065359477,FF,avg,False,,savant+statcast,False,,3,0.9310344827586207,elite,elite,7.086978709962466,3.1980898210735766,,"arsenal K% 29.6 (elite solo, +7.1 vs lg, +3.2 vs opp K%, opp K% vs LHP 26.4; slate #3/29 elite); stuff whiff 25.9% (avg), FF 92.4 mph; total caution — Exp K 6.8 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,,,,,,,,,,0,0,,0,0,,
4,Chase Burns,695505,CIN,R,WSH,CIN@WSH,5:45 PM CT,2026-08-08T22:45:00Z,ok,prior:2026-08-07,5.552587333019017,23,2.5555555555555554,season_avg,starter,27.446495375081106,29.274242016643093,6.785709304799897,6.8680000963026755,2.4701845837572995,9,9,1.0,23,,23,3.2612360249473493,0.9859550773096637,10.390449660878764,3.549885302410172,28.721173999999998,70.675105,36.1774744,44.0273037,17.0542635,14.237288000000001,14.293059,28.329049,62.98200514138817,58.490566,37.583548,1945.0,1225.0,0.0,,whiff,"K% 28.7, Contact% 70.7, FB% 44.0, IFFB% 17.1",clear,,1.0,,6.333333333333333,10.6875,5.333333333333333,6.593697457960082,0.3,25.41254125412541,22.35123367198839,21.95550351288056,21.95550351288056,R,1708.0,7,season_vs_rhp,0.19299774355537672,10.231023102310232,62.04620462046205,whiff_prone,recent,1.0608675094122433,three_true,0.9893793729372937,0.9826207920792079,elevated,1249,696,"682928,694673,691781,695734,686611,695670,683083,677588,696285",CJ Abrams; Abimelec Ortiz; Brady House; Daylen Lile; Dylan Crews; Harry Ford; Nasim Nuñez; José Tena; Jacob Young,,31.204376016843717,97.6620345140781,FF,elite,True,"K9 10.4, L3 K9 10.7, stuff whiff 31.2%",savant+statcast,False,,5,0.8620689655172413,elite,elite,4.946495375081106,5.490991862200545,,"arsenal K% 27.4 (elite solo, +4.9 vs lg, +5.5 vs opp K%, opp K% vs RHP 22.0; slate #5/29 elite); stuff whiff 31.2% (elite), FF 97.7 mph; pitcher style WHIFF (K% 28.7, Contact% 70.7, FB% 44.0, IFFB% 17.1); stuff ceiling (K9 10.4, L3 K9 10.7, stuff whiff 31.2%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.8 (≥5.5)",0,trust,2.0,17.0,49.0,4.0,1.0,9.0,.205,.657,34.69387755102041,1,7,7.0,1,10,10.0,2026-05-14 H: 6.0IP 7K; 2025-07-22 A: 5.2IP 10K
5,Jacob deGrom,594798,TEX,R,BAL,BAL@TEX,6:15 PM CT,2026-08-08T23:15:00Z,ok,prior:2026-08-07,5.323070940170941,22,2.4444444444444446,season_avg,starter,29.893607907129592,31.712295108202493,6.7000214937659015,6.790143159592314,2.690424711641663,9,9,1.0,22,,22,2.2961877346584227,1.2668621984322332,10.689149799271968,3.263088088155981,28.846154000000002,68.95491799999999,35.430463499999995,44.039735,10.5263157,12.828947,16.082803000000002,29.77707,65.60509554140127,63.461538,39.723845000000004,1884.0,1236.0,0.35,"attack-plate stuff bump +0.35 (elite whiff 34.3%, Strike% 65.6)",whiff,"K% 28.8, Contact% 69.0",low,elev_hr,1.0,,4.333333333333333,9.0,4.333333333333333,5.323070940170941,0.3,29.02097902097902,27.68647281921618,26.397984886649873,26.397984886649873,R,1985.0,9,season_vs_rhp,0.2046386663384901,10.13986013986014,58.04195804195804,whiff_prone,recent,1.07,three_true,0.9898807692307693,0.9834412587412588,elevated,1098,785,"683002,624413,702616,641933,687637,665750,691723,681297,665966",Gunnar Henderson; Pete Alonso; Jackson Holliday; Tyler O'Neill; Dylan Beavers; Leody Taveras; Coby Mayo; Colton Cowser; Carlos Narváez,,34.27713327457893,97.2946835443038,FF,elite,True,"K9 10.7, stuff whiff 34.3%",savant+statcast,False,,1,1.0,elite,elite,7.393607907129592,3.4956230204797194,,"arsenal K% 29.9 (elite solo, +7.4 vs lg, +3.5 vs opp K%, opp K% vs RHP 26.4; slate #1/29 elite); stuff whiff 34.3% (elite), FF 97.3 mph; pitcher style WHIFF (K% 28.8, Contact% 69.0); stuff ceiling (K9 10.7, stuff whiff 34.3%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.7 (≥5.5)",0,trust,6.0,46.0,146.0,7.0,3.0,25.0,.181,.494,31.506849315068493,2,17,8.5,2,14,7.0,2026-03-31 A: 4.2IP 7K; 2025-07-01 H: 6.0IP 6K; 2025-06-25 A: 7.0IP 7K; 2023-04-05 H: 6.0IP 11K
6,Matthew Liberatore,669461,STL,L,COL,COL@STL,6:15 PM CT,2026-08-08T23:15:00Z,ok,prior:2026-08-07,4.791212121212121,21,2.3333333333333335,season_avg,starter,29.69187142286829,29.148740936279882,6.508093403544914,6.696332567834727,2.672268428058146,9,9,1.0,21,,21,3.395705600942263,1.5736196687293413,8.861963397581027,4.1860530484003,22.478992,78.220141,36.7601246,40.4984423,6.1538461,11.419753,10.214167999999999,27.127952,63.86600768808347,60.714285999999994,43.265531,1821.0,1163.0,0.0,,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,6.333333333333333,11.4,5.0,6.0688686868686865,0.3,25.641025641025642,25.72087658592849,22.14532871972318,25.72087658592849,L,867.0,9,season_vs_lhp,0.2467622071145154,5.982905982905983,65.8119658119658,whiff_prone,recent,1.053070960065928,free_swing,1.018536752136752,1.0,low,446,1374,"664983,694249,666160,696100,681198,650489,678662,687859,666397",Jake McCarthy; Cole Carrigg; Mickey Moniak; Hunter Goodman; TJ Rumfield; Willi Castro; Ezequiel Tovar; Troy Johnston; Edouard Julien,,24.294002306805076,94.44181184668989,FF,avg,True,L3 K9 11.4,savant,False,,2,0.9655172413793104,elite,elite,7.191871422868289,3.9709948369397985,,"arsenal K% 29.7 (elite solo, +7.2 vs lg, +4.0 vs opp K%, opp K% vs LHP 25.7; slate #2/29 elite); stuff whiff 24.3% (avg), FF 94.4 mph; stuff ceiling (L3 K9 11.4); total caution — Exp K 6.5 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,5.0,4.0,32.0,3.0,2.0,8.0,.276,.861,12.5,3,4,1.3333333333333333,2,0,0.0,2025-08-12 H: 4.0IP 3K; 2024-09-25 A: 0.1IP 0K; 2024-09-24 A: 1.0IP 0K; 2024-06-09 H: 1.0IP 0K; 2024-06-06 H: 1.1IP 1K
7,Gerrit Cole,543037,NYY,R,ATL,ATL@NYY,2:05 PM CT,2026-08-08T19:05:00Z,ok,official,5.666666666666667,23,2.5555555555555554,season_avg,starter,22.367266839661,24.76039584558103,5.576497635520726,4.974078254825527,2.01305401556949,9,9,1.0,23,,23,2.0769231486229236,1.3438914491089506,9.52941209368165,3.7533994694852857,25.827814999999998,79.823009,33.823529400000005,48.529411700000004,8.080808000000001,12.745097999999999,9.777015,28.301886999999997,67.49571183533448,66.556291,47.852233999999996,1166.0,787.0,0.0,,whiff,K% 25.8,low,elev_hr,1.0,,7.666666666666667,11.089285714285714,6.222222222222222,6.982142857142857,0.3,19.335347432024168,19.76647206005004,21.499102333931777,21.499102333931777,R,2228.0,9,season_vs_rhp,0.2539654892478103,6.646525679758308,71.90332326283988,contact_heavy,recent,0.9521192928287722,aggressive,1.0132277945619335,1.0,low,759,377,"686948,660670,621566,671739,645277,643289,573262,663586,805347",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Mike Yastrzemski; Austin Riley; Jim Jarvis,,21.852990841637844,96.88672897196263,FF,soft,True,L3 K9 11.1,savant+statcast,False,,11,0.6551724137931034,strong,avg,-0.13273316033900073,0.8681645057292222,,"arsenal K% 22.4 (avg solo, -0.1 vs lg, +0.9 vs opp K%, opp K% vs RHP 21.5; slate #11/29 strong); stuff whiff 21.9% (soft), FF 96.9 mph; pitcher style WHIFF (K% 25.8); stuff ceiling (L3 K9 11.1)",1,,7.0,40.0,180.0,16.0,7.0,45.0,.287,.854,22.22222222222222,0,0,,0,0,,
8,Clay Holmes,605280,CHC,R,KC,CHC@KC,6:10 PM CT,2026-08-08T23:10:00Z,ok,prior:2026-08-07,5.851851851851851,24,2.6666666666666665,season_avg,starter,18.888569868468686,20.02531327547979,5.248219767041592,4.487933000535607,1.6999712881621818,9,9,1.0,24,,24,3.0759495156179266,0.5126582526029878,7.6898737890448166,3.678433439874196,20.930233,80.462725,56.00000000000001,28.000000000000004,7.1428571,16.0,9.178744,27.294686000000002,65.45893719806763,60.465115999999995,44.202899,828.0,542.0,0.0,,contact_gb,GB% 56.0,clear,,1.0,,6.666666666666667,10.799999999999999,5.555555555555556,7.022222222222221,0.3,19.09090909090909,21.11597374179431,21.815519765739385,21.815519765739385,R,2049.0,9,season_vs_rhp,0.22557814046978134,6.96969696969697,72.12121212121212,contact_heavy,recent,0.9605775133319091,aggressive,1.0106424242424243,1.0,low,491,337,"695600,677951,695506,521692,686555,679845,686681,516782,686475",Carter Jensen; Bobby Witt Jr.; Jac Caglianone; Salvador Perez; Isaac Collins; Nick Loftin; Michael Massey; Starling Marte; Tyler Tolbert,,21.714636431686007,93.65167464114832,SI,soft,True,L3 K9 10.8,savant+statcast,False,,22,0.27586206896551724,soft,soft,-3.611430131531314,-2.926949897270699,SPIKE,"arsenal K% 18.9 (soft solo, -3.6 vs lg, -2.9 vs opp K%, opp K% vs RHP 21.8; slate #22/29 soft); stuff whiff 21.7% (soft), SI 93.7 mph; pitcher style GB/contact (GB% 56.0); SPIKE (L3 K9 10.8) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",2,,11.0,12.0,69.0,6.0,1.0,17.0,.293,.774,17.391304347826086,3,3,1.0,3,4,1.3333333333333333,2025-07-13 A: 5.0IP 2K; 2024-09-11 H: 1.0IP 1K; 2024-06-13 A: 0.2IP 0K; 2023-09-30 A: 1.0IP 2K; 2023-07-22 H: 1.0IP 2K; 2023-07-21 H: 1.0IP 0K
9,Yoshinobu Yamamoto,808967,LAD,R,AZ,LAD@AZ,7:10 PM CT,2026-08-09T00:10:00Z,ok,prior:2026-08-07,6.683333333333333,25,2.7777777777777777,season_avg,starter,23.848246381560088,25.78146962275409,5.210509166845684,5.575572101705014,2.146342174340408,9,9,1.0,25,,25,1.9526183795646086,1.0099750239127285,8.147131859562677,3.434059637694837,23.772102,77.04239899999999,47.5783475,35.8974358,10.3174603,18.820224999999997,11.338099999999999,27.681307,66.08784473953013,61.29666,42.944785,1958.0,1294.0,0.0,,balanced,,clear,,1.0,,5.0,5.869565217391305,7.666666666666667,4.358695652173913,0.3,20.0,17.181208053691275,19.391985260248735,19.391985260248735,R,2171.0,9,season_vs_rhp,0.2428448464067659,8.533333333333333,68.8,neutral,recent,0.9607046336309203,neutral,0.9979,1.0,neutral,1057,899,"672695,682998,672515,606466,663457,571448,596146,694374,814439",Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Ketel Marte; Lars Nootbaar; Nolan Arenado; Max Kepler; Tim Tawa; Ryan Waldschmidt,,25.640192339578842,96.03152804642167,FF,avg,False,,savant+statcast,False,,7,0.7931034482758621,strong,strong,1.348246381560088,4.456261121311353,,"arsenal K% 23.8 (strong solo, +1.3 vs lg, +4.5 vs opp K%, opp K% vs RHP 19.4; slate #7/29 strong); stuff whiff 25.6% (avg), FF 96.0 mph",0,,8.0,55.0,194.0,12.0,4.0,37.0,.206,.558,28.350515463917525,5,39,7.8,3,16,5.333333333333333,2026-07-11 H: 6.0IP 6K; 2026-03-26 H: 6.0IP 6K; 2025-09-25 A: 6.0IP 7K; 2025-08-31 H: 7.0IP 10K; 2025-05-20 H: 7.0IP 9K; 2025-05-08 A: 5.0IP 4K; 2024-05-20 H: 6.1IP 8K; 2024-05-01 A: 6.0IP 5K
10,Taj Bradley,671737,MIN,R,MIL,MIN@MIL,6:10 PM CT,2026-08-08T23:10:00Z,ok,prior:2026-08-07,5.245442374700685,22,2.4444444444444446,season_avg,starter,23.505151191886313,26.093591744530748,4.991226531859195,5.118913383033926,2.1154636072697683,9,9,1.0,22,,22,3.7657895492913007,1.207894761093436,10.018421253774969,3.934798212286311,26.454034,76.505429,35.2238805,43.880597,10.8843537,12.166172,11.095571,26.853147,63.03030303030303,59.474672,42.44403,2145.0,1352.0,0.0,,whiff,K% 26.5,medium,"elev_bb,elev_hr",0.95,,5.666666666666667,8.052631578947368,6.333333333333333,4.693290545784824,0.3,22.615803814713896,24.714285714285715,23.425803610744165,23.425803610744165,R,2271.0,9,season_vs_rhp,0.24334393868962548,11.716621253405995,63.76021798365122,whiff_prone,recent,1.0482929913875463,patient,0.95,0.9590005449591281,elevated,1269,875,"668930,694192,641343,661388,669003,592885,800325,806198,666152",Brice Turang; Jackson Chourio; Jake Bauers; William Contreras; Garrett Mitchell; Christian Yelich; Luis Lara; Cooper Pratt; David Hamilton,,26.213927956371986,97.00291750503017,FF,strong,True,"K9 10.0, stuff whiff 26.2% + FB 97.0",savant+statcast,False,,9,0.7241379310344828,strong,strong,1.0051511918863127,0.07934758114214802,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, +0.1 vs opp K%, opp K% vs RHP 23.4; slate #9/29 strong); stuff whiff 26.2% (strong), FF 97.0 mph; pitcher style WHIFF (K% 26.5); stuff ceiling (K9 10.0, stuff whiff 26.2% + FB 97.0); K-first arm — confirms overs / SPIKE caution on soft unders",0,,1.0,5.0,22.0,1.0,2.0,4.0,.190,.751,22.727272727272727,1,5,5.0,0,0,,2025-05-10 H: 6.0IP 5K
