rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Ian Seymour,693855,TB,L,SEA,TB@SEA,3:10 PM CT,2026-08-09T20:10:00Z,ok,prior:2026-08-08,6.526677333333332,27,3.0,season_start_est,swingman,22.64125951405079,24.967225356496275,6.893968777522234,5.865018691034362,2.0377133562645713,9,9,1.0,27,,27,2.988142607873581,1.3873519250841626,10.565218506410162,3.8438290703981655,28.448276,73.511905,28.9099526,51.6587677,12.8440366,17.050691,13.040293,30.25641,36.26943,66.66666666666667,62.931034,43.443222999999996,1365.0,910.0,0.25,"attack-plate stuff bump +0.25 (strong whiff 28.9%, Strike% 66.7)",whiff,"K% 28.4, Contact% 73.5, FB% 51.7, IFFB% 12.8",low,"elev_hr,short_recent_ip",0.96,short_recent_ip,5.333333333333333,11.675675675675675,4.111111111111112,5.329855133963503,11.668061239217398,22.514683229441356,0.9993478376181568,L3 opp K% 22.5,8.461518979327268,0.3,21.11111111111111,21.707060063224446,20.401606425702813,21.707060063224446,L,949.0,9,season_vs_lhp,0.22615419197107794,9.722222222222221,68.33333333333333,neutral,recent,0.9933855826710872,patient,0.9658,0.9829333333333333,elevated,477,888,"621493,702284,668227,686527,677594,647304,680977,663728,806068",Taylor Ward; Cole Young; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Josh Naylor; Brendan Donovan; Cal Raleigh; Colt Emerson,,28.867924216835345,91.47382920110194,FF,strong,True,"K9 10.6, L3 K9 11.7, stuff whiff 28.9%",savant+statcast,False,,11,0.6551724137931034,strong,strong,0.14125951405079107,0.9341994508263447,,"arsenal K% 22.6 (strong solo, +0.1 vs lg, +0.9 vs opp K%, opp K% vs LHP 21.7; slate #11/29 strong); stuff whiff 28.9% (strong), FF 91.5 mph; pitcher style WHIFF (K% 28.4, Contact% 73.5, FB% 51.7, IFFB% 12.8); stuff ceiling (K9 10.6, L3 K9 11.7, stuff whiff 28.9%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.9 (≥5.5); also swingman — fade full-outing chalk",0,trust,2.0,5.0,28.0,5.0,1.0,7.0,.333,1.035,17.857142857142858,1,3,3.0,1,2,2.0,2026-07-12 H: 3.1IP 3K; 2025-08-09 A: 2.0IP 2K
2,Cade Povich,700249,BAL,L,TEX,BAL@TEX,1:35 PM CT,2026-08-09T18:35:00Z,ok,prior:2026-08-08,5.635482861829653,24,2.6666666666666665,season_shrunk,starter,29.67922663838918,27.870865777248756,6.794411605861187,7.598247906320041,2.6711303974550265,9,9,1.0,24,,24,2.8421054058127857,1.4210527029063929,6.750000338805366,4.634533239129816,18.095238,77.173913,44.1558441,42.8571428,6.060606,16.883117,10.714286000000001,27.551019999999998,34.684685,64.03061224489795,61.904762000000005,43.367347,392.0,251.0,0.0,,balanced,,medium,"elev_hr,elev_xfip,short_recent_ip",0.96,short_recent_ip,4.0,8.307692307692308,4.333333333333333,3.782244160008143,7.855430178478452,23.795396646155766,0.9455610400020358,L3 opp K% 23.8,4.918793571457196,0.3,26.498422712933753,26.442307692307693,22.62340036563071,26.442307692307693,L,624.0,9,season_vs_lhp,0.20697052723054762,10.094637223974763,61.829652996845425,whiff_prone,recent,1.07,three_true,0.9901294952681388,0.9838482649842272,elevated,146,246,"592626,694671,608369,607043,677649,694497,669394,642851,670032",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Ezequiel Duran; Evan Carter; Jake Burger; Austin Wynns; Nicky Lopez,statcast_fallback,26.622398947522097,91.88869047619048,FF,strong,False,,statcast,True,"K9 6.8, soft L3 4.0, elev_xFIP 4.63",1,1.0,elite,elite,7.179226638389181,3.236918946081488,MATCHUP_OK,"soft-contact profile (K9 6.8, soft L3 4.0, elev_xFIP 4.63) but arsenal K% 29.7 (elite solo, +7.2 vs lg, +3.2 vs opp K%, opp K% vs LHP 26.4; slate #1/29 elite); stuff whiff 26.6% (strong), FF 91.9 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,1.0,3.0,21.0,0.0,2.0,5.0,.250,.936,14.285714285714286,1,3,3.0,0,0,,2024-06-29 H: 5.0IP 3K
3,Jacob Misiorowski,694819,MIL,R,MIN,MIN@MIL,1:10 PM CT,2026-08-09T18:10:00Z,ok,prior:2026-08-08,6.0476190476190474,23,2.5555555555555554,season_avg,starter,18.834051349943785,22.664473640079365,5.945930847401058,4.166737606298246,1.6950646214949407,9,9,1.0,23,,23,2.0551181102362204,0.7795275590551181,13.818897637795276,1.9439733704948052,40.625,64.663212,46.5020576,35.3909465,10.4651162,17.813765,18.013735,35.235077,38.113571,68.56840993132593,68.54166699999999,45.055526,1893.0,1298.0,0.0,,whiff,"K% 40.6, Contact% 64.7",clear,,1.0,,9.333333333333334,15.75,5.333333333333333,8.904777600397276,15.026812200670403,23.582846133139935,0.9540833143282795,L3 opp K% 23.6,10.097381743307624,0.3,14.838709677419354,18.210862619808307,19.662625197680548,19.662625197680548,R,1897.0,8,season_vs_rhp,0.25423474831643406,6.774193548387097,76.12903225806451,contact_heavy,recent,0.9299999999999999,aggressive,1.0122064516129032,1.0,low,1071,820,"668885,680777,668904,605137,665019,807712,701785,686797,668952",Austin Martin; Ryan Jeffers; Royce Lewis; Josh Bell; Kody Clemens; Luke Keaschall; Kaelen Culpepper; Brooks Lee; Ryan Kreidler,,38.64857756307031,100.58496677740862,FF,elite,True,"K9 13.8, L3 K9 15.8, stuff whiff 38.6%",savant,False,,22,0.27586206896551724,soft,soft,-3.6659486500562153,-0.828573847736763,SPIKE,"arsenal K% 18.8 (soft solo, -3.7 vs lg, -0.8 vs opp K%, opp K% vs RHP 19.7; slate #22/29 soft); stuff whiff 38.6% (elite), FF 100.6 mph; pitcher style WHIFF (K% 40.6, Contact% 64.7); SPIKE (K9 13.8, L3 K9 15.8, stuff whiff 38.6%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,1.0,6.0,20.0,1.0,1.0,1.0,.053,.311,30.0,0,0,,1,6,6.0,2025-06-20 A: 6.0IP 6K
4,Sean Manaea,640455,NYM,L,PIT,NYM@PIT,12:35 PM CT,2026-08-09T17:35:00Z,ok,prior:2026-08-08,6.789091891891892,29,3.2222222222222223,season_start_est,swingman,18.743351610723543,23.184143667948845,5.655123685506223,5.6865157585518,1.686901644965119,9,9,1.0,29,,29,3.2252561826514667,1.197952296413402,8.754266781482553,4.268030995349693,22.144522,79.355609,38.7323943,38.7323943,10.0,15.625,10.128805999999999,26.229508000000003,35.270133,65.63231850117096,56.64335700000001,42.564403,1708.0,1121.0,0.0,,balanced,,low,elev_xfip,1.0,,4.666666666666667,7.0,6.0,4.93309762538306,7.399646438074589,21.284800742585478,1.0570923482963699,L3 opp K% 21.3,5.581875515066545,0.3,24.024024024024023,23.803009575923394,21.515768056968465,23.803009575923394,L,731.0,7,season_vs_lhp,0.22698750822413635,10.81081081081081,62.46246246246246,whiff_prone,recent,1.0680225613289993,patient,0.9511040540540541,0.9698702702702703,elevated,582,1126,"663968,664040,668804,687462,693304,682927,699013,694378,680779",Jake Mangum; Brandon Lowe; Bryan Reynolds; Spencer Horwitz; Nick Gonzales; Ronny Simon; Esmerlyn Valdez; Jacob Gonzalez; Henry Davis,,21.787016934433346,90.86022187004755,FF,soft,False,,savant+statcast,False,,24,0.20689655172413793,soft,soft,-3.7566483892764566,-5.05965796519985,,"arsenal K% 18.7 (soft solo, -3.8 vs lg, -5.1 vs opp K%, opp K% vs LHP 23.8; slate #24/29 soft); stuff whiff 21.8% (soft), FF 90.9 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 · Soft%≥20 (or take U6.5+ / pass); also swingman — fade full-outing chalk",0,,6.0,22.0,104.0,13.0,1.0,17.0,.191,.549,21.153846153846153,2,5,2.5,2,6,3.0,2026-03-29 H: 1.1IP 2K; 2024-07-07 A: 6.0IP 6K; 2023-07-14 A: 0.2IP 0K; 2023-05-30 H: 4.0IP 3K
5,Cam Schlittler,693645,NYY,R,ATL,ATL@NYY,12:35 PM CT,2026-08-09T17:35:00Z,ok,prior:2026-08-08,5.819444444444444,23,2.5555555555555554,season_avg,starter,18.673214049784008,21.954950776720583,5.5969676879524055,4.097480234478884,1.6805892644805607,9,9,1.0,23,,23,1.9976135106499435,0.8377088915628795,11.019093881327109,2.892677830135176,30.810810999999998,74.783362,42.1052631,39.1812865,9.7014925,17.052023,13.251366,27.777777999999998,37.931034000000004,67.53187613843352,63.24324300000001,43.111314,2196.0,1483.0,0.0,,whiff,"K% 30.8, Contact% 74.8",clear,,1.0,,8.666666666666666,14.040000000000003,5.5555555555555545,8.683314316045147,14.06696919199314,22.45686300214612,1.0019208826205939,L3 opp K% 22.5,9.095771746057292,0.3,20.35928143712575,19.700748129675812,21.63716814159292,21.63716814159292,R,2260.0,9,season_vs_rhp,0.26189983158234603,5.9880239520958085,72.1556886227545,contact_heavy,recent,0.9493141099863487,aggressive,1.0184958083832336,1.0,low,1375,817,"686948,660670,621566,671739,645277,643289,573262,663586,805347",Drake Baldwin; Ronald Acuña; Matt Olson; Michael Harris; Ozzie Albies; Mauricio Dubón; Mike Yastrzemski; Austin Riley; Jim Jarvis,,28.021820939381016,97.88721649484535,FF,strong,True,"K9 11.0, L3 K9 14.0, stuff whiff 28.0%",savant+statcast,False,,25,0.1724137931034483,soft,soft,-3.826785950215992,-2.963954091808912,SPIKE,"arsenal K% 18.7 (soft solo, -3.8 vs lg, -3.0 vs opp K%, opp K% vs RHP 21.6; slate #25/29 soft); stuff whiff 28.0% (strong), FF 97.9 mph; pitcher style WHIFF (K% 30.8, Contact% 74.8); SPIKE (K9 11.0, L3 K9 14.0, stuff whiff 28.0%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,,,,,,,,,,0,0,,0,0,,
6,Justin Wrobleski,680736,LAD,L,AZ,LAD@AZ,3:10 PM CT,2026-08-09T20:10:00Z,ok,prior:2026-08-08,6.444444444444445,26,2.888888888888889,season_start_est,starter,20.54926117916709,22.758281925804148,5.523344969062231,4.918129249526097,1.8494335061250382,9,9,1.0,26,,26,1.8461538461538463,1.2307692307692308,7.0,4.173821699364573,19.279661,82.33256399999999,39.4285714,42.2857142,7.4324324,12.464589,8.900524,26.17801,33.747178,67.83013379872018,66.313559,48.398369,1719.0,1166.0,0.0,,balanced,,low,elev_hr,1.0,,6.0,9.72,5.5555555555555545,5.978892225270011,9.685805404937417,22.579433599658724,0.9964820375450018,L3 opp K% 22.6,6.935514981313213,0.3,19.791666666666668,17.44040150564617,19.53917050691244,17.44040150564617,L,797.0,9,season_vs_lhp,0.26316379194621475,8.333333333333334,69.27083333333333,neutral,recent,0.9308957678227312,neutral,0.9997,1.0,neutral,446,1271,"672695,682998,672515,606466,663457,571448,694374,543510,814439",Geraldo Perdomo; Corbin Carroll; Gabriel Moreno; Ketel Marte; Lars Nootbaar; Nolan Arenado; Tim Tawa; James McCann; Ryan Waldschmidt,,20.136958443854997,94.34556354916069,FF,soft,False,,savant+statcast,False,,15,0.5172413793103449,avg,avg,-1.9507388208329104,3.108859673520918,,"arsenal K% 20.5 (avg solo, -2.0 vs lg, +3.1 vs opp K%, opp K% vs LHP 17.4; slate #15/29 avg); stuff whiff 20.1% (soft), FF 94.3 mph",0,,3.0,8.0,56.0,2.0,2.0,16.0,.296,.802,14.285714285714286,0,0,,3,8,2.6666666666666665,2026-06-04 A: 6.0IP 4K; 2025-09-24 A: 1.0IP 2K; 2024-09-01 A: 5.1IP 2K
7,Joey Cantillo,676282,CLE,L,CWS,CLE@CWS,1:10 PM CT,2026-08-09T18:10:00Z,ok,prior:2026-08-08,4.3908647206703915,20,2.2222222222222223,season_avg,starter,24.250825871512056,28.29207633171,5.45963123895873,5.258409338007564,2.1825743284360852,9,9,1.0,20,,20,4.247191102257013,1.1376404738188428,9.783708074842048,3.981670043457043,25.0,70.163934,43.962848199999996,38.699690399999994,9.6,15.805470999999999,13.252427,31.116505,30.557868,62.57281553398058,55.426357,41.642371,2060.0,1289.0,0.0,,whiff,"K% 25.0, Contact% 70.2",medium,high_bb,0.9,,5.666666666666667,12.078947368421053,4.222222222222222,5.701424728923762,12.153036922179597,22.362831408293932,1.0061337756924285,L3 opp K% 22.4,5.929149007844785,0.3,28.212290502793294,24.68671679197995,23.133716160787532,24.68671679197995,L,798.0,9,season_vs_lhp,0.18908480089906882,9.776536312849162,59.21787709497207,whiff_prone,recent,1.07,three_true,0.9918790502793297,0.9867111731843575,elevated,467,1591,"803011,808959,678246,695657,643217,695731,671976,805367,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Braden Montgomery; Tristan Peters; Chase Meidroth; Drew Romo,,29.58304793312441,92.08267605633803,FF,strong,True,"L3 K9 12.1, stuff whiff 29.6%",savant+statcast,False,,4,0.896551724137931,elite,elite,1.7508258715120562,-0.43589092046789446,,"arsenal K% 24.3 (elite solo, +1.8 vs lg, -0.4 vs opp K%, opp K% vs LHP 24.7; slate #4/29 elite); stuff whiff 29.6% (strong), FF 92.1 mph; pitcher style WHIFF (K% 25.0, Contact% 70.2); stuff ceiling (L3 K9 12.1, stuff whiff 29.6%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,4.0,23.0,79.0,3.0,3.0,15.0,.200,.588,29.11392405063291,1,4,4.0,3,19,6.333333333333333,2025-08-09 A: 5.2IP 3K; 2025-07-13 A: 5.1IP 6K; 2025-04-10 H: 2.0IP 4K; 2024-09-09 A: 7.0IP 10K
8,Kumar Rocker,677958,TEX,R,BAL,BAL@TEX,1:35 PM CT,2026-08-09T18:35:00Z,ok,prior:2026-08-08,5.458961524500907,23,2.5555555555555554,season_start_est,starter,22.593174709311768,27.005615387065852,5.434160712838569,5.452819200082326,2.0333857238380593,9,9,1.0,23,,23,3.3333335099396977,1.166666728478894,8.166667099352258,4.142920689087553,21.166307,75.46728999999999,43.6137071,37.071651,10.0840336,16.149068,11.81767,25.830050999999997,35.0,62.2397298818233,56.587473,40.248027,1777.0,1106.0,0.0,,balanced,,clear,,1.0,,6.0,9.0,6.0,5.9248898000936006,8.8873347001404,22.785233912345053,0.9874816333489334,L3 opp K% 22.8,5.390624242603139,0.3,27.93103448275862,27.73109243697479,25.18837459634015,25.18837459634015,R,1858.0,9,season_vs_rhp,0.16997010738557758,10.689655172413794,58.275862068965516,whiff_prone,recent,1.07,three_true,0.9868568965517241,0.9784931034482759,elevated,991,783,"683002,624413,702616,641933,687637,665750,687952,681297,665966",Gunnar Henderson; Pete Alonso; Jackson Holliday; Tyler O'Neill; Dylan Beavers; Leody Taveras; Christian Encarnacion-Strand; Colton Cowser; Carlos Narváez,,26.322711058263966,94.29671179883947,SI,strong,False,,savant,False,,12,0.6206896551724138,avg,strong,0.09317470931176786,-2.5951998870283823,,"arsenal K% 22.6 (strong solo, +0.1 vs lg, -2.6 vs opp K%, opp K% vs RHP 25.2; slate #12/29 avg); stuff whiff 26.3% (strong), SI 94.3 mph",0,,,,,,,,,,,0,0,,0,0,,
9,Jesús Luzardo,666200,PHI,L,TOR,TOR@PHI,12:35 PM CT,2026-08-09T17:35:00Z,ok,prior:2026-08-08,5.942028985507246,25,2.7777777777777777,season_avg,starter,22.091056693940686,21.972886334557828,5.378054963686588,5.179477436000872,1.9881951024546618,9,9,1.0,25,,25,2.8317075278459893,0.7902439612593459,10.800000803877728,3.0195634746105653,28.975265,70.622568,50.434782600000005,31.0144927,9.3457943,16.571429,13.548677000000001,31.449080000000002,34.772552000000005,64.2440556303275,61.130742000000005,41.812472,2229.0,1432.0,0.0,,whiff,"K% 29.0, Contact% 70.6",clear,,1.0,,7.0,8.859375,7.111111111111111,6.990686602957614,8.847587731868229,22.52997580142772,0.9986695147082305,L3 opp K% 22.5,5.841402528286593,0.3,19.93243243243243,16.722408026755854,15.79520697167756,16.722408026755854,L,598.0,7,season_vs_lhp,0.21142079938268993,6.418918918918919,71.28378378378379,contact_heavy,recent,0.9299999999999999,aggressive,1.0150486486486487,1.0,low,546,1683,"664770,703520,665489,660821,676391,665926,678218,669701,664702",Nathan Lukes; Brett Bateman; Vladimir Guerrero; Jesús Sánchez; Ernie Clement; Andrés Giménez; Brandon Valenzuela; Josh Smith; Myles Straw,,31.820861372812924,97.02153284671532,FF,elite,True,"K9 10.8, stuff whiff 31.8%",savant,False,,14,0.5517241379310345,avg,avg,-0.4089433060593137,5.368648667184832,,"arsenal K% 22.1 (avg solo, -0.4 vs lg, +5.4 vs opp K%, opp K% vs LHP 16.7; slate #14/29 avg); stuff whiff 31.8% (elite), FF 97.0 mph; pitcher style WHIFF (K% 29.0, Contact% 70.6); stuff ceiling (K9 10.8, stuff whiff 31.8%)",1,,2.0,10.0,42.0,6.0,1.0,13.0,.361,.980,23.80952380952381,0,0,,2,10,5.0,2026-06-10 A: 5.2IP 8K; 2025-06-05 A: 2.1IP 2K
10,Logan Webb,657277,SF,R,DET,DET@SF,3:05 PM CT,2026-08-09T20:05:00Z,ok,prior:2026-08-08,6.060157430730478,25,2.7777777777777777,season_avg,starter,22.934800618905122,21.86336451483584,5.354621826898182,5.407568310249233,2.064132055701461,9,9,1.0,25,,25,2.232,0.648,7.272,3.6734392983913424,19.803922,80.931264,51.0869565,29.347825999999998,7.4074074,16.172507,9.124668,26.525199,34.710018,65.51724137931035,62.54902,39.628647,1885.0,1235.0,0.0,,contact_gb,GB% 51.1,clear,,1.0,,5.333333333333333,8.0,6.0,5.179152613316041,7.768728919974062,23.169813473244602,0.9710911149967577,L3 opp K% 23.2,5.231080032412397,0.3,18.639798488664987,23.319615912208505,20.681920143562134,20.681920143562134,R,2229.0,9,season_vs_rhp,0.3045009359096384,10.831234256926953,68.26196473551637,neutral,recent,0.9636772449103455,patient,0.9508283375314861,0.9696251889168765,elevated,1164,721,"805808,650402,693307,682985,690993,679529,703601,595879,656716",Kevin McGonigle; Gleyber Torres; Dillon Dingler; Riley Greene; Colt Keith; Spencer Torkelson; Max Clark; Javier Báez; Zach McKinstry,,20.960318302387268,92.09012345679012,SI,soft,False,,savant,False,,8,0.7586206896551724,strong,strong,0.4348006189051219,2.2528804753429874,,"arsenal K% 22.9 (strong solo, +0.4 vs lg, +2.3 vs opp K%, opp K% vs RHP 20.7; slate #8/29 strong); stuff whiff 21.0% (soft), SI 92.1 mph; pitcher style GB/contact (GB% 51.1)",1,,3.0,24.0,75.0,5.0,1.0,15.0,.217,.647,32.0,1,8,8.0,1,10,10.0,2025-05-27 A: 6.0IP 10K; 2024-08-10 H: 7.0IP 8K
