rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,fip,siera,xera,stuff_plus,location_plus,pitching_plus,pitcher_k_pct,pitcher_contact_pct,z_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,lineup_woba,lineup_wrc_plus,lineup_iso,lineup_quality_n,lineup_quality_source,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,xba,xslg,xwoba,ba_against,slg_against,woba_against,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Sean Burke,680732,CWS,R,CIN,CIN@CWS,6:40 PM CT,2026-08-11T23:40:00Z,ok,official,6.2653907663896575,26,2.888888888888889,season_start_est,starter,22.24022302117948,22.57267230011686,7.016507847499801,6.092888713019762,2.0016200719061534,9,9,1.0,26,,26,2.7279793285306493,0.979274630754592,10.072539059190088,3.669514169058168,3.3620124910190707,3.444912037137486,3.6,99.36966141077832,101.36824344141601,100.03933950397035,27.428571,77.044335,87.030717,34.3465045,44.3768996,10.9589041,13.813813999999999,11.142994,28.885701,35.720233,66.42754662840746,64.0,42.535885,2091.0,1389.0,0.0,,whiff,K% 27.4,clear,,1.0,,8.0,13.224489795918368,5.444444444444444,7.969873364818203,13.174688623474989,22.585051450702178,0.9962341706022754,L3 opp K% 22.6,9.171619161286563,0.3,28.792569659442723,25.105189340813464,26.191670847967888,26.191670847967888,R,1993.0,8,season_vs_rhp,0.2212576482203614,13.312693498452012,55.417956656346746,0.3224952303768914,97.56989280538072,0.18723320664792356,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9724301857585139,0.9548857585139319,elevated,1265,825,"682829,701398,668709,663886,553993,699302,667472,680574,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Héctor Rodríguez; Dane Myers; Matt McLain; Ke'Bryan Hayes,,25.74507733276569,94.88482142857143,FF,avg,True,"K9 10.1, L3 K9 13.2",savant+statcast,0.227,0.367,0.294,0.222,0.37,0.293,False,,12,0.6333333333333333,avg,avg,-0.2597769788205184,-3.9514478267884066,,"arsenal K% 22.2 (avg solo, -0.3 vs lg, -4.0 vs opp K%, opp K% vs RHP 26.2; slate #12/30 avg); stuff whiff 25.7% (avg), FF 94.9 mph; pitcher style WHIFF (K% 27.4); stuff ceiling (K9 10.1, L3 K9 13.2)",0,,0,0,,0,0,,,,,,,,,,,
2,Bryan Woo,693433,SEA,R,NYY,SEA@NYY,6:05 PM CT,2026-08-11T23:05:00Z,ok,official,5.675282284382285,24,2.6666666666666665,season_avg,starter,25.386719258989462,28.01138032092758,6.221404223946976,6.245884172764573,2.2848047333090515,9,9,1.0,24,,24,1.9083770395799025,0.9188482042421752,8.976440149135096,3.6842637860234557,3.199939408624765,3.595455440632845,3.63,108.69196300102776,108.05877697841727,113.37835560123322,24.282982999999998,77.906977,87.261146,37.5690607,41.988950200000005,13.8157894,15.977960999999999,11.680328,25.614754,36.363636,67.05942622950819,68.068834,43.054843999999996,1952.0,1309.0,0.0,,fly_popup,"FB% 42.0, IFFB% 13.8",clear,,1.0,,6.0,9.529411764705882,5.666666666666667,6.15492637407139,9.775471299995738,21.93364985951888,1.0258210623452317,L3 opp K% 21.9,6.164284343372586,0.3,25.53846153846154,27.42382271468144,24.044265593561367,24.044265593561367,R,1988.0,8,season_vs_rhp,0.20904274547885096,10.461538461538462,62.15384615384615,0.32262142453545045,106.41980499501119,0.20275915104725273,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9881115384615384,0.9805461538461538,elevated,1190,761,"663757,700250,671218,671277,665862,806146,682987,641857,669224",Trent Grisham; Ben Rice; Heliot Ramos; Luis García Jr.; Jazz Chisholm Jr.; George Lombard Jr.; Spencer Jones; Ryan McMahon; Austin Wells,,24.94699075001001,95.86765350877194,FF,avg,False,,savant+statcast,0.241,0.387,0.295,0.237,0.368,0.285,False,,4,0.9,elite,elite,2.886719258989462,1.3424536654280956,THIN_TOTAL,"arsenal K% 25.4 (elite solo, +2.9 vs lg, +1.3 vs opp K%, opp K% vs RHP 24.0; slate #4/30 elite); stuff whiff 24.9% (avg), FF 95.9 mph; pitcher style FLY/popup (FB% 42.0, IFFB% 13.8); THIN total — Exp K 6.2 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,2,13,6.5,3,17,5.666666666666667,2025-07-10 A: 7.1IP 5K; 2025-05-13 H: 6.1IP 6K; 2024-09-17 H: 4.2IP 7K; 2024-05-21 A: 6.0IP 7K; 2023-06-22 A: 5.1IP 5K,5.0,30.0,113.0,6.0,2.0,19.0,.179,.513,26.548672566371682
3,Cody Bradford,674003,TEX,L,LAA,TEX@LAA,8:38 PM CT,2026-08-12T01:38:00Z,ok,official,4.740000000000001,21,2.3333333333333335,season_shrunk,starter,25.28287891186924,27.15984126984127,5.912505330577258,5.662505330577258,2.2754591020682313,9,9,1.0,21,,21,4.153846458570514,0.0,10.384616146426286,4.618374126136843,2.166914769460459,4.329124000203681,3.18,85.97542857142858,117.98742857142855,105.28085714285714,25.0,90.322581,89.47368399999999,23.076923,53.846153799999996,0.0,7.692308000000001,4.2857140000000005,31.428570999999998,31.578947000000003,71.42857142857143,80.0,45.714286,70.0,50.0,0.25,"attack-plate stuff bump +0.25 (strong whiff 27.5%, Strike% 71.4)",whiff,K% 25.0,medium,"high_bb,elev_xfip",0.9,,5.0,10.384615384615385,4.333333333333333,5.34885272145144,11.109155652245299,21.032547699214366,1.069770544290288,L3 opp K% 21.0,,,27.32919254658385,24.273255813953487,23.48367029548989,24.273255813953487,L,688.0,7,season_vs_lhp,0.19574483641291873,6.832298136645963,63.66459627329193,0.3171661258892517,101.48305858315524,0.15309002546084335,9,fangraphs,whiff_prone,recent,1.0699516104836546,free_swing,1.0117416149068323,1.0,low,37,33,"687263,545361,694384,687093,672724,694208,642350,685133,623168",Zach Neto; Mike Trout; Nolan Schanuel; Vaughn Grissom; Oswald Peraza; Moisés Ballesteros; Jose Siri; Wade Meckler; Tyler Heineman,statcast_fallback,27.45762711864407,88.8151515151515,FF,strong,True,"K9 10.4, L3 K9 10.4",statcast,0.207,0.332,0.277,0.278,0.333,0.311,False,,5,0.8666666666666667,elite,elite,2.78287891186924,1.0096230979157532,,"arsenal K% 25.3 (elite solo, +2.8 vs lg, +1.0 vs opp K%, opp K% vs LHP 24.3; slate #5/30 elite); stuff whiff 27.5% (strong), FF 88.8 mph; pitcher style WHIFF (K% 25.0); stuff ceiling (K9 10.4, L3 K9 10.4); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.9 (≥5.5)",0,trust,2,7,3.5,1,3,3.0,2024-09-05 H: 6.0IP 4K; 2023-09-26 A: 4.0IP 3K; 2023-06-13 H: 4.1IP 3K,3.0,10.0,57.0,3.0,1.0,11.0,.208,.586,17.54385964912281
4,Shota Imanaga,684007,CHC,L,WSH,CHC@WSH,5:45 PM CT,2026-08-11T22:45:00Z,ok,official,5.186266666666666,20,2.2222222222222223,season_avg,starter,26.84456111683057,27.161713716648446,5.886544086123944,5.91570219654647,2.416010500514751,9,9,1.0,20,,20,1.967336834267225,1.6959800295407113,8.479900147703557,3.839495720421703,4.378936582704847,3.7516520226559864,3.73,92.64335265700483,110.26695652173909,103.0529855072464,23.452158,73.314607,82.828283,36.729222500000006,44.772117900000005,12.574850200000002,15.957447,13.734940000000002,27.807229,38.411668999999996,65.78313253012048,58.536584999999995,40.501446,2075.0,1365.0,0.0,,fly_popup,"FB% 44.8, IFFB% 12.6",medium,"high_hr,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",4.666666666666667,9.94736842105263,4.222222222222222,4.736940355623955,10.097162336987902,22.166206900903507,1.0150586476337045,L3 opp K% 22.2,5.818508495138049,0.3,26.071428571428573,22.348484848484848,21.080026024723487,22.348484848484848,L,792.0,7,season_vs_lhp,0.2169240301015511,7.857142857142857,62.857142857142854,0.3202131799320984,100.85981036879717,0.16866724425930574,9,fangraphs,whiff_prone,recent,1.0517137976694175,neutral,1.0039857142857143,1.0,neutral,566,1508,"686611,665953,691781,682928,695670,696285,695734,683083,687605",Dylan Crews; Andrés Chaparro; Brady House; CJ Abrams; Harry Ford; Jacob Young; Daylen Lile; Nasim Nuñez; Andrew Pinckney,,27.94302384576357,91.65371024734982,FF,strong,False,,savant,0.236,0.406,0.299,0.232,0.423,0.304,False,,2,0.9666666666666667,elite,elite,4.344561116830569,4.496076268345721,THIN_TOTAL,"arsenal K% 26.8 (elite solo, +4.3 vs lg, +4.5 vs opp K%, opp K% vs LHP 22.3; slate #2/30 elite); stuff whiff 27.9% (strong), FF 91.7 mph; pitcher style FLY/popup (FB% 44.8, IFFB% 12.6); THIN total — Exp K 5.9 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,2,11,5.5,2,10,5.0,2026-08-11 A: 1.0IP 2K; 2026-03-29 H: 5.0IP 7K; 2024-09-22 H: 7.0IP 4K; 2024-08-30 A: 6.0IP 8K,3.0,19.0,71.0,3.0,2.0,16.0,.235,.680,26.760563380281692
5,Drew Anderson,623454,DET,R,CLE,CLE@DET,5:40 PM CT,2026-08-11T22:40:00Z,ok,official,6.339574470254958,27,3.0,season_shrunk,swingman,20.410005805475706,22.294537334196196,5.589536922883944,5.226946930885725,1.8369005224928134,9,9,1.0,27,,27,3.3415846948051433,1.2029704901298517,10.425744247792048,3.5302202640368523,3.802863161812337,3.283042087233025,3.4,99.34753583076346,99.93083973036336,100.99899450151239,26.989618999999998,72.794118,87.54325299999999,48.0446927,36.3128491,12.307692300000001,14.285713999999999,13.120567,29.078014000000003,36.480687,64.45035460992908,61.937715999999995,37.976929999999996,1128.0,727.0,0.0,,whiff,"K% 27.0, Contact% 72.8",medium,"elev_hr,short_recent_ip",0.93,short_recent_ip,3.0,9.0,3.0,3.0454316458030206,9.136294937409062,22.16434576458917,1.0151438819343401,L3 opp K% 22.2,6.435580237546456,0.3,21.813031161473088,17.97872340425532,18.55036855036855,18.55036855036855,R,2442.0,9,season_vs_rhp,0.24157191056222316,10.48158640226629,64.30594900849859,0.3138413628776849,100.3610061475291,0.1416489555715553,9,fangraphs,neutral,recent,0.9926323510618267,patient,0.9555485835694051,0.9738209631728045,elevated,549,578,"680757,800050,608070,663993,666176,683953,682657,672275,677587",Steven Kwan; Chase DeLauter; José Ramírez; Nathaniel Lowe; Jo Adell; Travis Bazzana; Angel Martínez; Patrick Bailey; Brayan Rocchio,,29.64071183533448,95.7235807860262,FF,strong,True,"K9 10.4, stuff whiff 29.6%",savant+statcast,0.211,0.343,0.286,0.241,0.397,0.316,False,,19,0.4,avg,avg,-2.0899941945242944,1.859637255107156,,"arsenal K% 20.4 (avg solo, -2.1 vs lg, +1.9 vs opp K%, opp K% vs RHP 18.6; slate #19/30 avg); stuff whiff 29.6% (strong), FF 95.7 mph; pitcher style WHIFF (K% 27.0, Contact% 72.8); stuff ceiling (K9 10.4, stuff whiff 29.6%); also swingman — fade full-outing chalk",0,,2,11,5.5,1,1,1.0,2026-08-11 H: 2.1IP 4K; 2026-06-12 A: 1.0IP 1K; 2026-05-20 H: 4.2IP 7K,4.0,10.0,37.0,4.0,2.0,9.0,.273,.866,27.027027027027028
6,Eury Pérez,691587,MIA,R,PIT,PIT@MIA,5:40 PM CT,2026-08-11T22:40:00Z,ok,official,5.245122502334268,22,2.4444444444444446,season_avg,starter,19.93613238887639,24.164180022664723,5.334657337389409,4.609191644765194,1.7942519149988752,9,9,1.0,22,,22,3.4468085905685792,1.0668693256521793,9.93009141568567,3.9531629586312027,3.792119436110469,3.7645445333561516,3.79,115.64803790412489,93.19409141583058,105.97803790412483,27.069351,73.231774,81.031308,37.591240799999994,44.8905109,13.008130000000001,17.028986,13.704735000000001,26.406685000000003,35.91213,64.34540389972145,62.416107,41.606247,1795.0,1155.0,0.0,,whiff,"K% 27.1, Contact% 73.2, FB% 44.9, IFFB% 13.0",clear,,1.0,,6.333333333333333,12.214285714285714,4.666666666666667,6.252395988763856,12.058192264044578,22.791262782473456,0.9872204192785036,L3 opp K% 22.8,7.0274106201792454,0.3,25.81699346405229,24.093264248704664,21.522842639593907,21.522842639593907,R,1970.0,8,season_vs_rhp,0.19890978708395077,10.784313725490197,61.111111111111114,0.3409828848021285,113.05130573715051,0.16467289594277434,9,fangraphs,whiff_prone,recent,1.0632624009447482,three_true,0.9863362745098039,0.9776411764705882,elevated,1044,749,"663968,664040,668804,687462,693304,682927,699013,694378,680779",Jake Mangum; Brandon Lowe; Bryan Reynolds; Spencer Horwitz; Nick Gonzales; Ronny Simon; Esmerlyn Valdez; Jacob Gonzalez; Henry Davis,,29.076949524073726,98.25063291139242,FF,strong,True,"L3 K9 12.2, stuff whiff 29.1%",savant+statcast,0.212,0.376,0.301,0.208,0.365,0.294,False,,22,0.3,soft,soft,-2.5638676111236087,-1.5867102507175161,SPIKE,"arsenal K% 19.9 (soft solo, -2.6 vs lg, -1.6 vs opp K%, opp K% vs RHP 21.5; slate #22/30 soft); stuff whiff 29.1% (strong), FF 98.3 mph; pitcher style WHIFF (K% 27.1, Contact% 73.2, FB% 44.9, IFFB% 13.0); SPIKE (L3 K9 12.2, stuff whiff 29.1%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,2,13,6.5,1,5,5.0,2026-08-11 H: 3.0IP 4K; 2025-06-09 A: 3.0IP 5K; 2023-06-25 H: 6.0IP 9K,2.0,14.0,38.0,3.0,0.0,8.0,.229,.575,36.8421052631579
7,Brandon Young,687064,BAL,R,MIN,BAL@MIN,6:40 PM CT,2026-08-11T23:40:00Z,ok,official,5.666666666666667,24,2.6666666666666665,season_avg,starter,24.884966776956187,23.90066402987222,5.333545263867202,5.464671049087814,2.239647009926057,9,9,1.0,24,,24,3.1764706632648543,1.0030959989257435,7.439628658699264,4.398073576535506,3.9723447222719215,4.47723323047121,4.3,96.60099589923844,105.22208553016989,100.75930872876391,19.389978,78.173191,89.684211,42.2492401,40.4255319,12.0300751,14.848485,10.741389,25.452423000000003,36.007827999999996,64.2148277875073,66.013072,40.338587,1713.0,1100.0,0.0,,fly_popup,"FB% 40.4, IFFB% 12.0",low,elev_xfip,1.0,,5.0,8.26530612244898,5.444444444444444,4.830424898417051,7.9849880973832885,23.289876639395985,0.9660849796834102,L3 opp K% 23.3,5.027585098352441,0.3,18.944099378881987,19.638242894056848,18.985434455047713,18.985434455047713,R,1991.0,8,season_vs_rhp,0.24284164431490596,8.695652173913043,70.1863354037267,0.32939282957812666,110.39822880022207,0.17343400779633622,9,fangraphs,contact_heavy,recent,0.9439596320657342,neutral,0.9964391304347826,1.0,neutral,1017,696,"663616,680777,605137,665019,668904,686797,807712,702176,701785",Trevor Larnach; Ryan Jeffers; Josh Bell; Kody Clemens; Royce Lewis; Brooks Lee; Luke Keaschall; Alan Roden; Kaelen Culpepper,,23.177107830873158,94.34579025110783,FF,avg,False,,savant+statcast,0.257,0.405,0.319,0.249,0.386,0.307,False,,6,0.8333333333333334,elite,elite,2.384966776956187,5.899532321908474,,"arsenal K% 24.9 (elite solo, +2.4 vs lg, +5.9 vs opp K%, opp K% vs RHP 19.0; slate #6/30 elite); stuff whiff 23.2% (avg), FF 94.3 mph; pitcher style FLY/popup (FB% 40.4, IFFB% 12.0)",2,,0,0,,0,0,,,,,,,,,,,
8,Nolan McLean,690997,NYM,R,ATL,NYM@ATL,6:15 PM CT,2026-08-11T23:15:00Z,ok,official,5.6811594202898545,24,2.6666666666666665,season_avg,starter,19.42162105050204,22.119890593998598,5.277027842205445,4.435360674222847,1.7479458945451836,9,9,1.0,24,,24,3.306122706364434,0.9642857893562932,10.74489879568441,3.3338368031745453,3.4956040367291727,3.439053632584678,3.65,106.40925994449582,96.85601295097136,106.61347826086953,28.467153,76.93121699999999,86.83274,45.8715596,32.4159021,10.3773584,18.429002999999998,10.036832,29.143646,29.992169,62.89134438305709,60.218978,41.179179999999995,2172.0,1366.0,0.0,,whiff,K% 28.5,clear,,1.0,,7.0,10.903846153846155,5.777777777777778,7.364062763090548,11.470943919429509,21.387650413492732,1.0520089661557925,L3 opp K% 21.4,7.240917900831509,0.3,20.64896755162242,19.718309859154928,21.825226000860955,21.825226000860955,R,2323.0,9,season_vs_rhp,0.27076752581039254,6.1946902654867255,71.68141592920354,0.3326031361951182,108.65626740812714,0.18251904435997748,9,fangraphs,contact_heavy,recent,0.9533402481936101,aggressive,1.0168424778761063,1.0,low,1302,869,"686948,660670,621566,671739,645277,643289,573262,663586,805347",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Mike Yastrzemski; Austin Riley; Jim Jarvis,,25.120856837967644,95.08822695035462,SI,avg,True,"K9 10.7, L3 K9 10.9",savant+statcast,0.223,0.349,0.296,0.216,0.349,0.293,False,,23,0.26666666666666666,soft,soft,-3.07837894949796,-2.4036049503589147,SPIKE,"arsenal K% 19.4 (soft solo, -3.1 vs lg, -2.4 vs opp K%, opp K% vs RHP 21.8; slate #23/30 soft); stuff whiff 25.1% (avg), SI 95.1 mph; pitcher style WHIFF (K% 28.5); SPIKE (K9 10.7, L3 K9 10.9) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,1,6,6.0,2,12,6.0,2026-07-05 A: 6.0IP 5K; 2026-06-12 H: 4.0IP 6K; 2025-08-22 A: 7.0IP 7K,3.0,18.0,68.0,5.0,1.0,12.0,.197,.558,26.470588235294116
9,Ryan Weathers,677960,NYY,L,SEA,SEA@NYY,6:05 PM CT,2026-08-11T23:05:00Z,ok,official,5.266206889433621,22,2.4444444444444446,season_avg,starter,25.702170161338884,26.66056228984129,5.1037863729536825,5.509934478562874,2.3131953145204993,9,9,1.0,22,,22,2.528925779290682,1.264462889645341,9.818182437246177,3.1800542154725893,3.651975266762947,3.4095508282269713,4.39,102.45476523476526,108.91143856143859,110.39272727272731,26.242545,74.42116899999999,85.26119399999999,47.2891566,32.5301204,8.3333333,15.568862,11.553785,29.780876,31.520816,63.59561752988048,59.840954,41.355257,2008.0,1277.0,0.0,,whiff,"K% 26.2, Contact% 74.4",low,elev_hr,1.0,,3.6666666666666665,7.071428571428571,4.666666666666667,3.682948382630912,7.10282902364533,22.400531158426435,1.0044404679902488,L3 opp K% 22.4,4.156107459865569,0.3,22.8486646884273,23.555555555555557,21.92464820699047,23.555555555555557,L,900.0,9,season_vs_lhp,0.20800190522560158,9.198813056379821,67.35905044510386,0.3205117394123675,110.71823285113882,0.15366166487592653,9,fangraphs,neutral,recent,1.0261014030209983,neutral,0.9919106824925816,0.9928094955489615,mild,428,1579,"621493,668227,677594,686527,702284,663728,680977,642215,806068",Taylor Ward; Randy Arozarena; Julio Rodríguez; Dominic Canzone; Cole Young; Cal Raleigh; Brendan Donovan; Weston Wilson; Colt Emerson,,27.723916292974582,95.81041666666667,FF,strong,True,stuff whiff 27.7% + FB 95.8,savant,0.256,0.427,0.322,0.247,0.398,0.307,False,,3,0.9333333333333333,elite,elite,3.202170161338884,2.146614605783327,,"arsenal K% 25.7 (elite solo, +3.2 vs lg, +2.1 vs opp K%, opp K% vs LHP 23.6; slate #3/30 elite); stuff whiff 27.7% (strong), FF 95.8 mph; pitcher style WHIFF (K% 26.2, Contact% 74.4); stuff ceiling (stuff whiff 27.7% + FB 95.8); K-first arm — confirms overs / SPIKE caution on soft unders",0,,1,1,1.0,1,7,7.0,2026-08-11 H: 0.2IP 1K; 2026-03-30 A: 4.1IP 7K,2.0,9.0,38.0,4.0,1.0,10.0,.294,.780,23.68421052631579
10,Dylan Cease,656302,TOR,R,BOS,BOS@TOR,6:07 PM CT,2026-08-11T23:07:00Z,ok,official,5.238543977272727,21,2.3333333333333335,season_avg,starter,20.833875228119652,23.386055075674992,4.953944943623979,3.8561733158452696,1.8750487705307686,9,9,1.0,21,,21,3.7044856372716755,0.4986807588634947,13.108179947269004,2.6243121649487704,2.203448188941027,2.892356474916447,2.7,107.22388003748833,98.54274601686973,105.86780693533275,36.435644,68.186424,77.713178,43.9393939,35.984848400000004,16.8421052,21.052632,14.672896999999999,31.074765999999997,34.581497999999996,62.71028037383178,63.168316999999995,36.325386,2140.0,1342.0,0.0,,whiff,"K% 36.4, Contact% 68.2",low,elev_bb,0.95,,6.333333333333333,12.214285714285714,4.666666666666667,6.694975391888947,12.911738255785828,21.2846189356634,1.057101377666676,L3 opp K% 21.3,7.515412075107634,0.3,16.40625,18.212290502793294,20.552677029360968,20.552677029360968,R,2316.0,9,season_vs_rhp,0.278729039109396,12.239583333333334,67.44791666666667,0.3326174970879787,109.65007228610376,0.17819631657147306,9,fangraphs,neutral,recent,0.9760895990309412,patient,0.95,0.952725,elevated,1244,895,"807799,678882,668939,575929,677800,702332,680776,655316,686765",Masataka Yoshida; Ceddanne Rafaela; Adley Rutschman; Willson Contreras; Wilyer Abreu; Caleb Durbin; Jarren Duran; Andruw Monasterio; Nick Sogard,,35.04431044860456,97.35895140664964,FF,elite,True,"K9 13.1, L3 K9 12.2, stuff whiff 35.0%",savant+statcast,0.188,0.28,0.256,0.179,0.257,0.244,False,,16,0.5,avg,avg,-1.666124771880348,0.281198198758684,,"arsenal K% 20.8 (avg solo, -1.7 vs lg, +0.3 vs opp K%, opp K% vs RHP 20.6; slate #16/30 avg); stuff whiff 35.0% (elite), FF 97.4 mph; pitcher style WHIFF (K% 36.4, Contact% 68.2); stuff ceiling (K9 13.1, L3 K9 12.2, stuff whiff 35.0%)",1,,3,14,4.666666666666667,3,30,10.0,2026-08-11 H: 1.0IP 2K; 2026-07-25 A: 9.0IP 12K; 2026-06-16 A: 5.0IP 7K; 2026-04-27 H: 5.2IP 5K; 2025-08-10 H: 6.0IP 7K; 2023-09-23 A: 7.0IP 11K,9.0,65.0,209.0,25.0,3.0,44.0,.244,.687,31.10047846889952
