rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,fip,siera,xera,stuff_plus,location_plus,pitching_plus,pitcher_k_pct,pitcher_contact_pct,z_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,swstr_pct,csw_pct,o_swing_pct,strike_pct,f_strike_pct,zone_pct,pitches,strikes,stuff_ceiling_bump,stuff_ceiling_note,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,last3_ks_adj,last3_k9_adj,last3_opp_k_pct,form_opp_factor,form_opp_note,form_ks,form_weight,lineup_k_pct,lineup_k_pct_vs_lhp,lineup_k_pct_vs_rhp,lineup_k_pct_vs_hand,lineup_k_vs_hand_side,lineup_k_vs_hand_pa,lineup_k_vs_hand_n,lineup_k_vs_hand_source,lineup_avg,lineup_bb_pct,lineup_bip_pct,lineup_woba,lineup_wrc_plus,lineup_iso,lineup_quality_n,lineup_quality_source,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,xba,xslg,xwoba,ba_against,slg_against,woba_against,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,odds_status,odds_updated,odds_event_id,k_line,k_over_price,k_under_price,k_book,hits_line,hits_over_price,hits_under_price,hits_book,er_line,er_over_price,er_under_price,er_book,bb_line,bb_over_price,bb_under_price,bb_book,outs_line,outs_over_price,outs_under_price,outs_book,k_edge
1,David Peterson,656849,CHC,L,WSH,CHC@WSH,5:45 PM CT,2026-08-12T22:45:00Z,ok,prior:2026-08-11,6.206666666666666,28,3.111111111111111,season_start_est,starter,20.337990321428606,24.201353841052878,5.859019458158509,6.079666360338713,1.8304191289285745,9,9,1.0,28,,28,3.6509436590046187,0.9339623313732746,7.4716986509861965,4.169937030207884,4.07286410173856,4.367564490515104,4.98,88.95681965253418,101.03362143598267,93.8615577004281,18.487395,80.472637,88.709677,48.9614243,29.9703264,5.940594,13.450292,9.007458,25.760184000000002,30.404738,63.16695352839931,63.02521,41.748131,1743.0,1101.0,0.0,,contact_gb,GB% 49.0,low,elev_bb,0.95,,4.666666666666667,7.411764705882353,5.666666666666667,4.879216093924809,7.749343207998225,21.51985031586062,1.0455463058410304,L3 opp K% 21.5,5.344176686404701,0.3,26.174496644295303,22.5,21.100323624595468,22.5,L,840.0,8,season_vs_lhp,0.22123095595275283,7.046979865771812,63.758389261744966,0.32120554675117574,101.65849235577632,0.17120890255358617,9,fangraphs,whiff_prone,recent,1.044116757656107,neutral,1.0112771812080537,1.0,neutral,503,1237,"686611,665953,691781,682928,695670,696285,695734,683083,687605",Dylan Crews; Andrés Chaparro; Brady House; CJ Abrams; Harry Ford; Jacob Young; Daylen Lile; Nasim Nuñez; Andrew Pinckney,,20.797279693486587,92.01823308270676,SI,soft,False,,savant+statcast,0.274,0.423,0.341,0.274,0.417,0.333,False,,17,0.42857142857142855,avg,avg,-2.162009678571394,-2.162009678571394,,"arsenal K% 20.3 (avg solo, -2.2 vs lg, -2.2 vs opp K%, opp K% vs LHP 22.5; slate #17/28 avg); stuff whiff 20.8% (soft), SI 92.0 mph; pitcher style GB/contact (GB% 49.0)",1,,16.0,60.0,335.0,26.0,0.0,69.0,.232,.592,17.91044776119403,5,18,3.6,5,22,4.4,2026-05-21 A: 5.0IP 3K; 2026-04-29 H: 3.2IP 5K; 2025-08-19 A: 8.0IP 10K; 2025-06-11 H: 9.0IP 6K; 2024-07-11 H: 6.0IP 5K; 2024-07-01 A: 6.1IP 2K; 2024-06-04 A: 6.2IP 2K; 2023-07-30 H: 2.0IP 2K,ok,2026-08-12T14:37:07Z,ef65849259f26e9d34360ce6755ee236,4.5,103,-131,draftkings,5.5,106,-141,draftkings,2.5,-111,-120,draftkings,1.5,-160,121,draftkings,15.5,-133,100,draftkings,1.3590194581585093
2,Cal Quantrill,615698,TEX,R,LAA,TEX@LAA,9:10 PM CT,2026-08-13T02:10:00Z,ok,prior:2026-08-11,6.952380952380953,29,3.2222222222222223,season_start_est,swingman,17.229336567181083,21.539319123142654,5.84688536396213,5.36251111468425,1.5506402910462975,9,9,1.0,29,,29,2.604061014555375,1.2335025858420197,5.893401243467427,5.018561553642452,4.650825972233806,4.686496479431028,4.44,89.61885270382996,106.59341705585399,95.48711308979918,15.579709999999999,84.615385,90.102389,38.164251199999995,44.9275362,13.9784946,15.384614999999998,7.314726,23.002887,32.263242,63.52261790182868,60.869565,40.038499,1039.0,660.0,0.0,,fly_popup,"FB% 44.9, IFFB% 14.0",medium,"elev_hr,high_xfip",1.0,,4.666666666666667,8.217391304347826,5.111111111111111,5.129277640380334,9.031988888495803,20.47071875645521,1.0991309229386428,L3 vs soft K opps (20.5%),6.977091945610516,0.3,25.925925925925927,23.73806275579809,23.55072463768116,23.55072463768116,R,1932.0,9,season_vs_rhp,0.19488455571584656,6.790123456790123,64.50617283950618,0.3162363137148823,100.94265992257134,0.15226802917020485,9,fangraphs,whiff_prone,recent,1.055005914211135,free_swing,1.012079012345679,1.0,low,616,423,"687263,545361,694384,687093,672724,694208,642350,685133,623168",Zach Neto; Mike Trout; Nolan Schanuel; Vaughn Grissom; Oswald Peraza; Moisés Ballesteros; Jose Siri; Wade Meckler; Tyler Heineman,,19.231243680485342,88.48056537102474,FC,soft,False,,savant,0.254,0.428,0.324,0.237,0.378,0.3,True,"K9 5.9, elev_xFIP 5.02",24,0.17857142857142858,soft,soft,-5.2706634328189175,-6.321388070500078,FILLER,"soft-contact (K9 5.9, elev_xFIP 5.02) + arsenal K% 17.2 (soft solo, -5.3 vs lg, -6.3 vs opp K%, opp K% vs RHP 23.6; slate #24/28 soft); stuff whiff 19.2% (soft), FC 88.5 mph; pitcher style FLY/popup (FB% 44.9, IFFB% 14.0) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; weak under — only 1/2 confirms (GB/FLY style); need 1 more of GB/FLY · contact-heavy · Exp K ≤4.2 · Soft%≥20 (or take U6.5+ / pass); fly/popup out-getter — BIP outs over Ks; same under cue as GB style; also swingman — fade full-outing chalk",1,,9.0,33.0,182.0,13.0,2.0,41.0,.252,.657,18.13186813186813,1,2,2.0,4,12,3.0,2026-05-22 A: 3.0IP 0K; 2025-05-24 A: 3.1IP 2K; 2024-07-30 A: 3.2IP 4K; 2023-09-07 A: 6.0IP 6K; 2023-05-13 H: 6.0IP 2K,ok,2026-08-12T14:37:40Z,746e8bca45aba61663687aab5e41ca8f,3.5,-107,-119,draftkings,4.5,107,-142,draftkings,2.5,125,-165,betmgm,,,,,13.5,-131,-101,draftkings,2.34688536396213
3,Tyler Mahle,641816,ATL,R,NYM,NYM@ATL,6:15 PM CT,2026-08-12T23:15:00Z,ok,prior:2026-08-11,5.298245614035088,22,2.4444444444444446,season_avg,starter,25.39696663603601,28.492379702432874,5.837443850423957,5.653368587048671,2.285726997243241,9,9,1.0,22,,22,3.4867550549729467,1.2516556607595193,8.761589625316637,4.015568319655531,4.165079477014137,4.143029013857439,4.0,88.18055870609342,108.84827120750197,100.16695118459886,22.95082,79.435484,87.133183,42.049469900000005,38.8692579,10.0,13.194443999999999,9.150718,26.555024,30.06993,62.20095693779904,57.142857,40.05988,1672.0,1040.0,0.0,,balanced,,low,elev_hr,1.0,,7.0,10.69811320754717,5.888888888888889,6.965586609147596,10.645519157376516,22.611160959963115,0.9950838013067995,L3 opp K% 22.6,6.266952798299626,0.3,24.258760107816713,24.137931034482758,22.8486646884273,22.8486646884273,R,2022.0,9,season_vs_rhp,0.250096162787477,8.625336927223719,64.95956873315365,0.3053138659297408,94.32735282768581,0.14142915853986168,9,fangraphs,neutral,recent,1.0297508199332346,neutral,0.9970719676549865,1.0,neutral,914,756,"805999,596019,666182,673357,701807,543760,682626,593871,672356",A.J. Ewing; Francisco Lindor; Bo Bichette; Luis Robert Jr.; Carson Benge; Marcus Semien; Francisco Alvarez; Jorge Polanco; Gabriel Arias,,21.530222106991623,92.68086419753087,FF,soft,True,L3 K9 10.7,savant+statcast,0.241,0.387,0.309,0.259,0.425,0.33,False,,2,0.9642857142857143,elite,elite,2.8969666360360087,2.54830194760871,,"arsenal K% 25.4 (elite solo, +2.9 vs lg, +2.5 vs opp K%, opp K% vs RHP 22.8; slate #2/28 elite); stuff whiff 21.5% (soft), FF 92.7 mph; stuff ceiling (L3 K9 10.7); total caution — Exp K 5.8 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,3.0,13.0,63.0,6.0,3.0,18.0,.316,.925,20.634920634920636,1,4,4.0,0,0,,2026-04-03 H: 5.0IP 4K,ok,2026-08-12T14:36:49Z,19261384ae25b556afee649a8ebe7008,5.5,129,-165,draftkings,4.5,-142,107,draftkings,2.5,128,-171,draftkings,1.5,-107,-123,draftkings,16.5,102,-135,draftkings,0.3374438504239574
4,Bryce Miller,682243,SEA,R,NYY,SEA@NYY,6:05 PM CT,2026-08-12T23:05:00Z,ok,prior:2026-08-11,5.893059813084112,23,2.5555555555555554,season_start_est,starter,27.15808624033768,29.15020799169886,5.741611244035622,6.541219341420767,2.4442277616303913,9,9,1.0,23,,23,1.7088607594936709,1.481012658227848,9.0,3.5918459608773645,3.8291334357442737,3.408656076454974,2.74,107.8518567976217,111.07493579358425,116.63533637012847,25.816993,77.82874600000001,85.822785,37.799043,47.368421,10.1010101,14.218009,12.298558,25.275657000000002,39.123867000000004,68.78710771840542,64.705882,43.850721,1179.0,811.0,0.25,"attack-plate stuff bump +0.25 (strong whiff 27.3%, Strike% 68.8)",whiff,K% 25.8,low,elev_hr,1.0,,2.6666666666666665,4.595744680851064,5.222222222222222,2.6961791904136545,4.646606689861831,22.253713778865954,1.0110671964051205,L3 opp K% 22.3,3.042525683470283,0.3,26.79127725856698,27.586206896551722,23.982125124131084,23.982125124131084,R,2014.0,8,season_vs_rhp,0.2032872648954108,10.280373831775702,61.37071651090343,0.32249161213522687,106.45518252344354,0.2014749470213536,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9891079439252336,0.9821766355140187,elevated,636,543,"663757,700250,671218,671277,665862,806146,682987,641857,669224",Trent Grisham; Ben Rice; Heliot Ramos; Luis García Jr.; Jazz Chisholm Jr.; George Lombard Jr.; Spencer Jones; Ryan McMahon; Austin Wells,,27.323028634696644,96.04582524271844,FF,strong,True,stuff whiff 27.3% + FB 96.0,savant+statcast,0.206,0.345,0.258,0.208,0.381,0.273,False,,1,1.0,elite,elite,4.658086240337681,3.1759611162065973,,"arsenal K% 27.2 (elite solo, +4.7 vs lg, +3.2 vs opp K%, opp K% vs RHP 24.0; slate #1/28 elite); stuff whiff 27.3% (strong), FF 96.0 mph; pitcher style WHIFF (K% 25.8); stuff ceiling (stuff whiff 27.3% + FB 96.0); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.7 (≥5.5)",0,trust,3.0,15.0,71.0,4.0,5.0,18.0,.273,.915,21.12676056338028,2,11,5.5,1,4,4.0,2024-09-18 H: 6.0IP 8K; 2024-05-22 A: 6.0IP 4K; 2023-05-29 H: 4.2IP 3K,ok,2026-08-12T14:37:38Z,0472808610b7bdd2a94311cb114e3c4a,5.5,-106,-120,draftkings,4.5,-127,-104,draftkings,2.5,-141,106,draftkings,1.5,100,-132,draftkings,16.5,-114,-116,draftkings,0.24161124403562173
5,Zebby Matthews,805673,MIN,R,BAL,BAL@MIN,12:40 PM CT,2026-08-12T17:40:00Z,ok,prior:2026-08-11,5.370974475340768,22,2.4444444444444446,season_avg,starter,24.431335816559763,27.70261744091535,5.388079006759565,5.529146944079086,2.1988202234903786,9,9,1.0,22,,22,2.9302325581395348,1.7790697674418605,7.6395348837209305,4.23080973202406,5.035786364799321,4.308928551553044,4.78,94.89365606936417,97.93546242774566,91.82631502890175,20.0,79.320988,86.945813,42.471042399999995,38.6100386,8.0,9.195402,9.66811,26.190476,30.594185000000003,63.41991341991342,66.027397,42.929293,1386.0,879.0,0.0,,balanced,,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,5.0,8.4375,5.333333333333333,5.02346629729745,8.477099376689447,22.39489494744363,1.00469325945949,L3 opp K% 22.4,5.0589204863473505,0.3,23.42007434944238,25.547445255474454,24.659400544959126,24.659400544959126,R,1468.0,8,season_vs_rhp,0.21526228831061545,11.152416356877323,63.19702602230483,0.31700156666495954,104.09686979943154,0.18670709731015553,9,fangraphs,whiff_prone,recent,1.07,patient,0.95,0.9657710037174722,elevated,773,613,"683002,624413,702616,641933,687952,691723,681047,669236,650968",Gunnar Henderson; Pete Alonso; Jackson Holliday; Tyler O'Neill; Christian Encarnacion-Strand; Coby Mayo; Christian Franklin; Jeremiah Jackson; Yohel Pozo,,22.31397447868036,95.16569200779728,FF,avg,False,,savant+statcast,0.257,0.446,0.335,0.264,0.479,0.346,False,,6,0.8214285714285714,elite,elite,1.9313358165597627,-0.22806472839936376,,"arsenal K% 24.4 (elite solo, +1.9 vs lg, -0.2 vs opp K%, opp K% vs RHP 24.7; slate #6/28 elite); stuff whiff 22.3% (avg), FF 95.2 mph",0,,1.0,5.0,19.0,3.0,2.0,7.0,.438,1.401,26.31578947368421,1,5,5.0,0,0,,2024-09-28 H: 3.0IP 5K,ok,2026-08-12T14:37:25Z,382fb88aee61d73f9cc4f47fabd2c7e7,5.5,113,-145,draftkings,5.5,117,-156,draftkings,2.5,-123,-108,draftkings,2.5,150,-201,draftkings,15.5,-130,-102,draftkings,-0.11192099324043525
6,Will Warren,701542,NYY,R,SEA,SEA@NYY,6:05 PM CT,2026-08-12T23:05:00Z,ok,prior:2026-08-11,5.0973866526537055,22,2.4444444444444446,season_start_est,starter,22.3311184872648,24.396843449118037,5.243196221303118,4.918530094346031,2.009800663853832,9,9,1.0,22,,22,2.9210527797237402,1.1842105863744894,9.000000456446118,3.705903035789043,3.8454559261476366,3.8961130825885295,4.53,104.03386938576053,105.49551554578217,111.30482476635513,22.983871,79.236277,87.755102,43.3234421,35.014836700000004,5.0847457,12.058824,9.034267999999999,27.933541,30.182133999999998,62.668743509865,61.08871,40.072765,1926.0,1207.0,0.0,,balanced,,clear,,1.0,,5.666666666666667,10.2,5.0,5.886104906729341,10.594988832112811,21.661183757400334,1.0387243953051777,L3 opp K% 21.7,6.000750517536323,0.3,23.121387283236995,23.466092572658773,21.975532396918894,21.975532396918894,R,2207.0,9,season_vs_rhp,0.20227357791469533,9.248554913294798,67.05202312138728,0.31899578164585024,109.77143055084319,0.15311900269515305,9,fangraphs,neutral,recent,1.013706487596489,neutral,0.9914630057803469,0.9924115606936417,mild,1076,848,"621493,668227,677594,686527,702284,663728,680977,642215,806068",Taylor Ward; Randy Arozarena; Julio Rodríguez; Dominic Canzone; Cole Young; Cal Raleigh; Brendan Donovan; Weston Wilson; Colt Emerson,,21.71836065573771,93.6565034965035,FF,soft,True,L3 K9 10.2,savant,0.267,0.421,0.327,0.266,0.443,0.331,False,,10,0.6785714285714286,strong,avg,-0.1688815127352008,0.3555860903459056,,"arsenal K% 22.3 (avg solo, -0.2 vs lg, +0.4 vs opp K%, opp K% vs RHP 22.0; slate #10/28 strong); stuff whiff 21.7% (soft), FF 93.7 mph; stuff ceiling (L3 K9 10.2)",0,,2.0,13.0,44.0,3.0,0.0,8.0,.200,.498,29.545454545454547,1,4,4.0,1,9,9.0,2025-07-08 H: 5.2IP 4K; 2025-05-14 A: 5.0IP 9K,ok,2026-08-12T14:37:38Z,0472808610b7bdd2a94311cb114e3c4a,4.5,-135,106,draftkings,4.5,-137,103,draftkings,2.5,115,-153,draftkings,1.5,-127,-104,draftkings,16.5,-108,-123,draftkings,0.7431962213031182
7,Luis Castillo,622491,CWS,R,CIN,CIN@CWS,6:40 PM CT,2026-08-12T23:40:00Z,ok,prior:2026-08-11,5.4290016098165035,24,2.6666666666666665,season_start_est,starter,23.208159514852703,24.22842660548043,5.1019686845178125,5.8341283859077295,2.0887343563367433,9,9,1.0,24,,24,2.864951917838997,1.4758843213109984,7.900321955252991,4.432082498373783,4.558182314017298,4.313870180052792,4.85,97.1270046669774,109.30925232223136,103.58642883132262,19.739696000000002,78.903826,87.71626300000001,36.5030674,42.0245398,9.489051,12.084591999999999,11.099021,24.319913,36.802271,66.0500544069641,69.19739700000001,42.491839,1838.0,1214.0,0.0,,balanced,,medium,"elev_hr,elev_xfip",1.0,,3.3333333333333335,5.625,5.333333333333333,3.3337950922003063,5.625779218088017,22.496883559361162,1.0001385276600918,L3 opp K% 22.5,3.3935960479413416,0.3,27.659574468085108,24.96513249651325,26.125680356259277,26.125680356259277,R,2021.0,8,season_vs_rhp,0.20681699825468244,11.55015197568389,58.05471124620061,0.32100713761999755,96.71008220062029,0.18628948791222344,9,fangraphs,whiff_prone,recent,1.07,three_true,0.9821241641337386,0.970748632218845,elevated,1059,778,"682829,701398,668709,663886,553993,699302,667472,680574,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Héctor Rodríguez; Dane Myers; Matt McLain; Ke'Bryan Hayes,,23.427124183006534,95.31820418204181,FF,avg,False,,savant,0.269,0.452,0.337,0.273,0.464,0.344,False,,8,0.75,strong,strong,0.7081595148527029,-2.9175208414065743,,"arsenal K% 23.2 (strong solo, +0.7 vs lg, -2.9 vs opp K%, opp K% vs RHP 26.1; slate #8/28 strong); stuff whiff 23.4% (avg), FF 95.3 mph",0,,2.0,6.0,51.0,6.0,3.0,11.0,.250,.810,11.764705882352942,1,3,3.0,1,3,3.0,2026-07-21 H: 7.0IP 3K; 2025-04-15 A: 4.1IP 3K,ok,2026-08-12T14:37:44Z,e7c0a434cffb5f56a2446383ebb2e3ad,5.5,-114,-112,draftkings,4.5,-139,105,draftkings,2.5,111,-147,draftkings,1.5,-136,103,draftkings,15.5,-124,-107,draftkings,-0.3980313154821875
8,Zack Wheeler,554430,PHI,R,STL,PHI@STL,1:15 PM CT,2026-08-12T18:15:00Z,ok,prior:2026-08-11,5.276732629682314,21,2.3333333333333335,season_avg,starter,19.350438537708495,21.69829692940804,5.043559529892889,3.827167851087232,1.7415394683937646,9,9,1.0,21,,21,2.2839880206975574,1.1419940103487787,10.767372097574198,2.8395685189235347,3.1548055489189197,2.983541813549542,2.72,104.47568337129842,106.51498861047841,112.24225512528476,30.62645,72.222222,84.684685,44.237918199999996,36.0594795,14.4329896,21.933086,13.904653999999999,27.6958,38.829786999999996,64.18842224744608,64.037123,35.981839,1762.0,1131.0,0.0,,whiff,"K% 30.6, Contact% 72.2",low,short_recent_ip,0.93,short_recent_ip,5.0,13.06451612903226,3.444444444444444,5.144934845543537,13.443216854484726,21.86616611820571,1.0289869691087072,L3 opp K% 21.9,7.881806780439422,0.3,22.22222222222222,17.658536585365855,19.431500465983223,19.431500465983223,R,2146.0,9,season_vs_rhp,0.24747418026389945,10.21021021021021,66.36636636636636,0.3248368974270312,106.21353056056549,0.14848419959098078,9,fangraphs,neutral,recent,0.9818649125295517,patient,0.9592121621621622,0.9770774774774775,elevated,1134,628,"802139,671056,691023,676475,665877,691026,691458,677592,686780",JJ Wetherholt; Iván Herrera; Jordan Walker; Alec Burleson; José Fermín; Masyn Winn; Blaze Jordan; Everson Pereira; Pedro Pagés,,31.13492874259049,95.18564516129034,FF,elite,True,"K9 10.8, L3 K9 13.1, stuff whiff 31.1%",savant+statcast,0.204,0.316,0.257,0.201,0.351,0.267,False,,19,0.35714285714285715,soft,soft,-3.149561462291505,-0.08106192827472825,SPIKE,"arsenal K% 19.4 (soft solo, -3.1 vs lg, -0.1 vs opp K%, opp K% vs RHP 19.4; slate #19/28 soft); stuff whiff 31.1% (elite), FF 95.2 mph; pitcher style WHIFF (K% 30.6, Contact% 72.2); SPIKE (K9 10.8, L3 K9 13.1, stuff whiff 31.1%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,9.0,50.0,229.0,14.0,6.0,47.0,.221,.628,21.83406113537118,1,10,10.0,2,8,4.0,2025-04-13 A: 6.0IP 3K; 2024-04-09 A: 7.0IP 5K; 2023-08-26 H: 7.0IP 10K,ok,2026-08-12T14:37:25Z,99d0aa9944cae60f4cd020c7b883b0e9,5.5,-148,116,fanduel,5.5,135,-185,betmgm,1.5,-152,114,draftkings,1.5,-131,-102,draftkings,17.5,-178,130,fanduel,-0.4564404701071112
9,Merrill Kelly,518876,AZ,R,COL,COL@AZ,2:40 PM CT,2026-08-12T19:40:00Z,ok,prior:2026-08-11,5.107742857142857,22,2.4444444444444446,season_avg,starter,23.145368904144753,29.051454035332135,5.0207854664542815,5.139259569202446,2.083083201373028,9,9,1.0,22,,22,3.75,1.725,6.0,4.920524109279116,5.565631326039632,5.133626779199392,6.97,88.88662140992169,101.72810443864228,95.37641775456922,15.414258,79.80666,88.57715400000001,41.0994764,38.219895199999996,8.219178000000001,11.688312,9.776391,23.868955,35.970025,62.81851274050962,61.078998,37.447917,1923.0,1208.0,0.0,,balanced,,high,"elev_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.893855,"exit_hr,exit_xfip_bb",5.0,8.265306122448978,5.4444444444444455,5.057092411296215,8.359683373775374,22.2459846192853,1.011418482259243,L3 opp K% 22.2,4.74434589337523,0.3,23.275862068965516,27.412280701754387,24.02791625124626,24.02791625124626,R,2006.0,9,season_vs_rhp,0.27947365276936514,7.183908045977011,66.66666666666667,0.3332303311506128,97.22755439753675,0.19376754569019877,9,fangraphs,neutral,recent,1.0194247074457443,neutral,1.0100448275862068,1.0,neutral,1171,749,"664983,691720,694249,696100,650489,666160,687597,681393,678662",Jake McCarthy; Kyle Karros; Cole Carrigg; Hunter Goodman; Willi Castro; Mickey Moniak; Jordan Beck; Connor Norby; Ezequiel Tovar,,20.926909941983126,92.13385826771653,FF,soft,False,,savant+statcast,0.3,0.546,0.393,0.274,0.485,0.359,True,"K9 6.0, elev_xFIP 4.92",9,0.7142857142857143,strong,strong,0.6453689041447532,-0.8825473471015073,MATCHUP_OK,"soft-contact profile (K9 6.0, elev_xFIP 4.92) but arsenal K% 23.1 (strong solo, +0.6 vs lg, -0.9 vs opp K%, opp K% vs RHP 24.0; slate #9/28 strong); stuff whiff 20.9% (soft), FF 92.1 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,,18.0,105.0,464.0,24.0,14.0,102.0,.234,.665,22.629310344827587,3,31,10.333333333333334,6,35,5.833333333333333,2026-05-15 A: 9.0IP 3K; 2025-06-21 A: 6.0IP 7K; 2025-05-18 H: 7.0IP 11K; 2024-09-16 A: 6.0IP 5K; 2024-04-09 A: 6.0IP 4K; 2024-03-29 H: 6.2IP 8K; 2023-09-04 H: 7.0IP 12K; 2023-08-14 A: 6.0IP 11K,ok,2026-08-12T14:37:48Z,728cc32aaa264e0fe4b6cf664f88bf6e,4.5,-132,104,draftkings,5.5,-121,-109,draftkings,2.5,-111,-120,draftkings,1.5,-101,-132,draftkings,17.5,-132,-101,draftkings,0.5207854664542815
10,Rhett Lowder,695076,CIN,R,CWS,CIN@CWS,6:40 PM CT,2026-08-12T23:40:00Z,ok,prior:2026-08-11,4.805882352941176,22,2.4444444444444446,season_start_est,starter,23.63364523637811,26.7787194671582,4.932111489759945,5.590984734125322,2.12702807127403,9,9,1.0,22,,22,3.943820224719101,1.1123595505617978,7.382022471910112,4.733014513468475,4.498028329784951,4.754734035627468,5.32,86.0805577235981,103.67724557122727,92.51224846381916,18.25,80.740741,91.860465,41.9928825,38.4341637,7.4074074,12.014134,8.609271999999999,26.092715,29.062871,62.450331125827816,58.5,44.135189000000004,1510.0,943.0,0.0,,balanced,,medium,"elev_bb,elev_xfip",0.95,,4.0,6.352941176470588,5.666666666666667,4.002774497852193,6.357347731882895,22.484404267163228,1.0006936244630482,L3 opp K% 22.5,3.394740586240735,0.3,26.426426426426428,24.424972617743702,23.936471922858765,23.936471922858765,R,1763.0,9,season_vs_rhp,0.21717635048436687,8.70870870870871,62.76276276276276,0.3241744972198437,106.65629348443706,0.18547310249551568,9,fangraphs,whiff_prone,recent,1.0691740027040604,neutral,0.9963216216216216,1.0,neutral,972,537,"686668,808959,678246,545341,695731,695657,700337,803011,682668",Brenton Doyle; Munetaka Murakami; Miguel Vargas; Randal Grichuk; Braden Montgomery; Colson Montgomery; Edgar Quero; Sam Antonacci; Luisangel Acuña,,20.559905977165887,92.78022471910111,SI,soft,False,,savant,0.267,0.457,0.351,0.263,0.421,0.336,False,,7,0.7857142857142857,strong,strong,1.1336452363781113,-0.30282668648065325,,"arsenal K% 23.6 (strong solo, +1.1 vs lg, -0.3 vs opp K%, opp K% vs RHP 23.9; slate #7/28 strong); stuff whiff 20.6% (soft), SI 92.8 mph",0,,,,,,,,,,,0,0,,0,0,,,ok,2026-08-12T14:37:44Z,e7c0a434cffb5f56a2446383ebb2e3ad,4.5,121,-155,draftkings,5.5,111,-148,draftkings,2.5,-120,-110,draftkings,1.5,-148,111,draftkings,15.5,-105,-126,draftkings,0.4321114897599454
