rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Parker Messick,800048,CLE,L,SF,SF@CLE,5:40 PM CT,2026-08-19T22:40:00Z,ok,prior:2026-08-18,5.930555555555556,24,2.6666666666666665,season_avg,starter,28.642904629608115,27.27884604757602,7.39836500015603,7.578896778934384,2.5778614166647302,9,9,1.0,24,,24,2.529274095067119,0.8852459332734918,8.978923037488274,3.443320249003086,25.132743,76.84309999999999,44.772117900000005,36.997319,18.115942,17.322835,whiff,K% 25.1,clear,,1.0,,6.666666666666667,10.588235294117647,5.666666666666667,6.977124183006537,0.3,27.210884353741495,0.2133993406830585,6.462585034013605,64.62585034013605,whiff_prone,recent,1.07,free_swing,1.014699319727891,1.0,low,567,1640,"813841,646240,682674,805811,678545,671083,687551,668800,683766",Jonah Cox; Rafael Devers; Victor Bericoto; Bryce Eldridge; Osleivis Basabe; Buddy Kennedy; Drew Gilbert; Andrew Knizner; Christian Koss,,24.786616883804676,94.24189349112426,FF,avg,True,L3 K9 10.6,savant+statcast,False,,2,0.9615384615384616,elite,elite,6.142904629608115,1.4320202758666198,,"arsenal K% 28.6 (elite solo, +6.1 vs lg, +1.4 vs opp K%, opp K% 27.2; slate #2/26 elite); stuff whiff 24.8% (avg), FF 94.2 mph; pitcher style WHIFF (K% 25.1); stuff ceiling (L3 K9 10.6); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.4 (≥5.5)",0,trust,0,0,,0,0,,,,,,,,,,,
2,Logan Gilbert,669302,SEA,R,MIL,SEA@MIL,6:40 PM CT,2026-08-19T23:40:00Z,ok,prior:2026-08-18,5.76524626593807,23,2.5555555555555554,season_avg,starter,23.489609003788363,27.640797462392126,5.543828632454475,5.532691965309275,2.1140648103409525,9,9,1.0,23,,23,2.043578053170932,1.1766055457650821,9.412844366120657,3.5080575501110896,26.619965,72.48028,37.0666666,44.2666666,12.0481927,13.648294,whiff,"K% 26.6, Contact% 72.5, FB% 44.3, IFFB% 12.0",clear,,1.0,,6.333333333333333,8.694915254237287,6.555555555555556,5.5698141891266095,0.3,24.316939890710383,0.2549520663234311,12.295081967213115,61.74863387978142,whiff_prone,recent,1.07,patient,0.95,0.9520590163934426,elevated,1356,901,"668930,694192,641343,661388,592885,800325,669003,687401,666152",Brice Turang; Jackson Chourio; Jake Bauers; William Contreras; Christian Yelich; Luis Lara; Garrett Mitchell; Joey Ortiz; David Hamilton,,30.092381253576697,96.1725113122172,FF,elite,True,stuff whiff 30.1%,savant+statcast,False,,7,0.7692307692307693,strong,strong,0.9896090037883631,-0.8273308869220202,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, -0.8 vs opp K%, opp K% 24.3; slate #7/26 strong); stuff whiff 30.1% (elite), FF 96.2 mph; pitcher style WHIFF (K% 26.6, Contact% 72.5, FB% 44.3, IFFB% 12.0); stuff ceiling (stuff whiff 30.1%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.5 (≥5.5)",0,trust,2,18,9.0,1,7,7.0,2025-07-22 H: 6.1IP 10K; 2024-04-05 A: 5.2IP 7K; 2023-04-18 H: 6.0IP 8K,3.0,25.0,67.0,1.0,5.0,12.0,.182,.649,37.3134328358209
3,Chase Burns,695505,CIN,R,STL,STL@CIN,5:40 PM CT,2026-08-19T22:40:00Z,ok,prior:2026-08-18,5.556609012818819,22,2.4444444444444446,season_avg,starter,22.79742560609382,24.802693579333265,5.52371069178992,4.90343588267782,2.051768304548444,9,9,1.0,22,,22,3.1603053435114505,0.8931297709923665,10.374045801526718,3.498016680788448,28.707223999999997,70.949185,36.6153846,43.6923076,16.197183000000003,13.761467999999999,whiff,"K% 28.7, Contact% 70.9, FB% 43.7, IFFB% 16.2",clear,,1.0,,7.666666666666667,11.290909090909091,6.111111111111111,6.971018579718155,0.3,21.88449848024316,0.261565103246423,10.33434650455927,65.04559270516717,neutral,recent,1.015985623884443,patient,0.9575363221884499,0.9755878419452888,elevated,1381,753,"802139,671056,691023,676475,695491,691458,691026,665877,686780",JJ Wetherholt; Iván Herrera; Jordan Walker; Alec Burleson; Joshua Báez; Blaze Jordan; Masyn Winn; José Fermín; Pedro Pagés,,31.37983633806418,97.65586034912718,FF,elite,True,"K9 10.4, L3 K9 11.3, stuff whiff 31.4%",savant+statcast,False,,12,0.5769230769230769,avg,strong,0.29742560609382096,0.9129271258506613,,"arsenal K% 22.8 (strong solo, +0.3 vs lg, +0.9 vs opp K%, opp K% 21.9; slate #12/26 avg); stuff whiff 31.4% (elite), FF 97.7 mph; pitcher style WHIFF (K% 28.7, Contact% 70.9, FB% 43.7, IFFB% 16.2); stuff ceiling (K9 10.4, L3 K9 11.3, stuff whiff 31.4%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.5 (≥5.5)",0,trust,0,0,,1,1,1.0,2025-09-17 A: 2.0IP 1K,1.0,1.0,8.0,1.0,0.0,2.0,.286,.661,12.5
4,Matthew Liberatore,669461,STL,L,CIN,STL@CIN,5:40 PM CT,2026-08-19T22:40:00Z,ok,prior:2026-08-18,4.809583333333333,21,2.3333333333333335,season_avg,starter,25.90555286625512,28.07927543067628,5.482443106005452,5.812877906538401,2.331499757962961,9,9,1.0,21,,21,3.3277313057863447,1.5126051389937931,8.773109806164,4.165869974681563,22.350674,78.072034,37.3219373,40.1709401,7.0921985,11.581921000000001,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,5.333333333333333,8.816326530612246,5.444444444444444,4.711428571428572,0.3,25.78616352201258,0.19845058058222492,7.232704402515723,64.46540880503144,whiff_prone,recent,1.07,neutral,1.0096056603773584,1.0,neutral,485,1524,"682829,701398,668709,553993,663886,667472,680574,699302,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Eugenio Suárez; Tyler Stephenson; Dane Myers; Matt McLain; Héctor Rodríguez; Ke'Bryan Hayes,,24.620302713987474,94.41796116504855,FF,avg,False,,savant,False,,4,0.8846153846153846,elite,elite,3.405552866255121,0.119389344242542,,"arsenal K% 25.9 (elite solo, +3.4 vs lg, +0.1 vs opp K%, opp K% 25.8; slate #4/26 elite); stuff whiff 24.6% (avg), FF 94.4 mph",0,,5,11,2.2,6,12,2.0,2026-06-06 H: 4.1IP 4K; 2025-09-15 H: 6.0IP 6K; 2025-08-29 A: 5.0IP 4K; 2025-05-01 A: 3.0IP 2K; 2024-09-11 H: 1.1IP 0K; 2024-08-14 A: 1.2IP 3K; 2024-08-13 A: 1.0IP 0K; 2024-05-27 A: 0.2IP 0K,11.0,23.0,110.0,10.0,5.0,20.0,.206,.663,20.90909090909091
5,Cade Cavalli,676917,WSH,R,TEX,WSH@TEX,7:05 PM CT,2026-08-20T00:05:00Z,ok,prior:2026-08-18,5.256410256410256,22,2.4444444444444446,season_avg,starter,23.687746224562204,24.580376491281417,5.440446758327021,5.406682182225416,2.1318971602105985,9,9,1.0,22,,22,2.700000200969432,0.9878049515741824,9.943903179180102,3.357076080555676,26.124567,76.785714,49.4623655,31.989247300000002,5.8823529,15.508021,whiff,K% 26.1,clear,,1.0,,7.0,9.45,6.666666666666667,5.519230769230768,0.3,23.89937106918239,0.21701562581465758,8.49056603773585,66.35220125786164,neutral,recent,1.0365196784519959,neutral,0.9982849056603773,1.0,neutral,1299,958,"694671,608369,669394,607043,677649,679822,643376,683227,694497",Wyatt Langford; Corey Seager; Jake Burger; Brandon Nimmo; Ezequiel Duran; Justin Foscue; Danny Jansen; Cody Freeman; Evan Carter,,26.298195415365846,96.83986666666667,FF,strong,True,stuff whiff 26.3% + FB 96.8,savant+statcast,False,,6,0.8076923076923077,elite,strong,1.1877462245622041,-0.21162484462018583,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, -0.2 vs opp K%, opp K% 23.9; slate #6/26 elite); stuff whiff 26.3% (strong), FF 96.8 mph; pitcher style WHIFF (K% 26.1); stuff ceiling (stuff whiff 26.3% + FB 96.8); K-first arm — confirms overs / SPIKE caution on soft unders",0,,0,0,,0,0,,,,,,,,,,,
6,Jackson Jobe,695549,DET,R,PIT,DET@PIT,11:35 AM CT,2026-08-19T16:35:00Z,ok,prior:2026-08-18,4.734766949707602,21,2.3333333333333335,season_shrunk,starter,26.50339717779493,30.099999999999998,5.299754573199602,5.532054689643902,2.385305746001544,9,9,1.0,21,,21,2.076923229285257,2.076923229285257,8.307692917141027,4.37152988168997,20.512821,79.710145,44.4444444,37.037037,0.0,14.814815000000001,balanced,,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,4.0,8.307692307692308,4.333333333333333,4.370554107422402,0.19999999999999998,24.56140350877193,0.2441882717324643,10.818713450292398,63.1578947368421,whiff_prone,recent,1.0654266162774102,patient,0.9509973684210526,0.9697754385964912,elevated,92,53,"687462,664040,668804,699013,665833,663968,804668,694378,669707",Spencer Horwitz; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Oneil Cruz; Jake Mangum; Rafael Flores Jr.; Jacob Gonzalez; Jared Triolo,statcast_fallback,21.398467432950195,98.02500000000002,FF,soft,False,,statcast,False,,3,0.9230769230769231,elite,elite,4.00339717779493,1.9419936690229989,,"arsenal K% 26.5 (elite solo, +4.0 vs lg, +1.9 vs opp K%, opp K% 24.6; slate #3/26 elite); stuff whiff 21.4% (soft), FF 98.0 mph",0,,0,0,,0,0,,,,,,,,,,,
7,Roki Sasaki,808963,LAD,R,COL,LAD@COL,7:40 PM CT,2026-08-20T00:40:00Z,ok,prior:2026-08-18,4.870785714285714,20,2.2222222222222223,season_avg,starter,29.093091476449406,31.05875922089058,5.20264913311367,5.746314695656892,2.618378232880447,9,9,1.0,20,,20,3.6486486486486487,1.7027027027027026,8.756756756756756,4.1280463457107555,22.929936,73.15508,42.1221864,38.585209,11.666666600000001,12.779553,balanced,,medium,"elev_bb,high_hr,exit_hr",0.9215,exit_hr,4.666666666666667,7.26923076923077,5.777777777777778,3.9340961538461543,0.3,23.333333333333332,0.215381207990225,8.787878787878787,65.45454545454545,neutral,recent,1.0390637889115346,neutral,0.9956090909090909,1.0,neutral,1091,796,"664983,694249,650489,681198,681393,666160,687597,690924,678662",Jake McCarthy; Cole Carrigg; Willi Castro; TJ Rumfield; Connor Norby; Mickey Moniak; Jordan Beck; Braxton Fulford; Ezequiel Tovar,,29.379154307951502,97.84411027568923,FF,strong,True,stuff whiff 29.4%,savant+statcast,False,,1,1.0,elite,elite,6.5930914764494055,5.759758143116073,,"arsenal K% 29.1 (elite solo, +6.6 vs lg, +5.8 vs opp K%, opp K% 23.3; slate #1/26 elite); stuff whiff 29.4% (strong), FF 97.8 mph; stuff ceiling (stuff whiff 29.4%)",0,,1,5,5.0,1,2,2.0,2026-07-08 H: 6.0IP 5K; 2026-04-19 A: 4.2IP 2K,2.0,7.0,45.0,3.0,3.0,11.0,.275,.883,15.555555555555555
8,Taj Bradley,671737,MIN,R,ATL,ATL@MIN,12:40 PM CT,2026-08-19T17:40:00Z,ok,prior:2026-08-18,5.370138888888889,23,2.5555555555555554,season_avg,starter,24.281269498432813,28.801869199340736,5.128856893583059,5.485747943213894,2.185314254858953,9,9,1.0,23,,23,3.9140052074839304,1.2604423549524522,10.01719976830633,4.005566583879558,26.079447000000002,76.761208,34.890109800000005,43.681318600000004,10.6918238,12.295082,whiff,K% 26.1,medium,"elev_bb,elev_hr",0.95,,4.0,7.2,5.0,4.296111111111111,0.3,22.941176470588236,0.21232848234798404,5.588235294117647,70.88235294117646,neutral,recent,0.9868590558835922,aggressive,1.0216941176470589,1.0,low,1379,951,"686948,660670,621566,671739,645277,573262,663586,643289,669221",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mike Yastrzemski; Austin Riley; Mauricio Dubón; Sean Murphy,,26.260829958290515,97.05885608856089,FF,strong,True,"K9 10.0, stuff whiff 26.3% + FB 97.1",savant+statcast,False,,5,0.8461538461538461,elite,elite,1.7812694984328132,1.3400930278445777,,"arsenal K% 24.3 (elite solo, +1.8 vs lg, +1.3 vs opp K%, opp K% 22.9; slate #5/26 elite); stuff whiff 26.3% (strong), FF 97.1 mph; pitcher style WHIFF (K% 26.1); stuff ceiling (K9 10.0, stuff whiff 26.3% + FB 97.1); K-first arm — confirms overs / SPIKE caution on soft unders",0,,2,11,5.5,0,0,,2025-04-11 H: 6.0IP 7K; 2023-07-08 H: 5.0IP 4K,2.0,11.0,46.0,4.0,1.0,10.0,.238,.661,23.91304347826087
9,Paul Skenes,694973,PIT,R,DET,DET@PIT,11:35 AM CT,2026-08-19T16:35:00Z,ok,prior:2026-08-18,5.386666666666667,22,2.4444444444444446,season_avg,starter,23.06212455594119,21.626493618128144,5.116168062600088,4.505546211877677,2.075591210034707,9,9,1.0,22,,22,2.4727724640173934,0.9356436350336083,11.094060243969926,3.1965633452164406,30.018083,73.856773,40.0,41.194029799999996,11.5942028,16.764706,whiff,"K% 30.0, Contact% 73.9, FB% 41.2, IFFB% 11.6",clear,,1.0,,5.666666666666667,10.928571428571429,4.666666666666667,6.5409523809523815,0.3,16.612377850162865,0.2436815202384749,8.794788273615636,74.2671009771987,contact_heavy,recent,0.9299999999999999,neutral,0.9955469055374593,1.0,neutral,1370,903,"650402,805808,690993,680664,656716,679529,814430,703601,595879",Gleyber Torres; Kevin McGonigle; Colt Keith; Eduardo Valencia; Zach McKinstry; Spencer Torkelson; Brett Callahan; Max Clark; Javier Báez,,28.104860804242158,96.84501607717041,FF,strong,True,"K9 11.1, L3 K9 10.9, stuff whiff 28.1%",savant,False,,11,0.6153846153846154,avg,strong,0.5621245559411889,6.449746705778324,,"arsenal K% 23.1 (strong solo, +0.6 vs lg, +6.4 vs opp K%, opp K% 16.6; slate #11/26 avg); stuff whiff 28.1% (strong), FF 96.8 mph; pitcher style WHIFF (K% 30.0, Contact% 73.9, FB% 41.2, IFFB% 11.6); stuff ceiling (K9 11.1, L3 K9 10.9, stuff whiff 28.1%); K-first arm — confirms overs / SPIKE caution on soft unders",1,,1,6,6.0,2,18,9.0,2025-07-21 H: 6.0IP 6K; 2025-06-19 A: 6.0IP 9K; 2024-05-29 A: 6.0IP 9K,3.0,24.0,70.0,7.0,1.0,9.0,.148,.489,34.285714285714285
10,Payton Tolle,801139,BOS,L,AZ,AZ@BOS,3:10 PM CT,2026-08-19T20:10:00Z,ok,prior:2026-08-18,5.75,23,2.5555555555555554,season_avg,starter,19.05555184414234,19.555337569261027,4.990216743736551,4.048523919623644,1.7149996659728106,9,9,1.0,23,,23,2.4260869565217393,1.017391304347826,10.017391304347827,3.603569496844126,27.765727000000002,75.638298,36.7346938,47.9591836,14.893617,20.401338,whiff,"K% 27.8, FB% 48.0, IFFB% 14.9",clear,,1.0,,8.333333333333334,11.25,6.666666666666667,7.1875,0.3,18.87323943661972,0.2693430982865985,7.887323943661972,69.5774647887324,contact_heavy,recent,0.9416360564142658,neutral,1.0037140845070422,1.0,neutral,459,1254,"545121,682998,672515,672695,694374,691783,543510,699912,814439",Ildemaro Vargas; Corbin Carroll; Gabriel Moreno; Geraldo Perdomo; Tim Tawa; Jordan Lawlar; James McCann; Jose Fernandez; Ryan Waldschmidt,,27.548580060422964,96.09638403990026,FF,strong,True,"K9 10.0, L3 K9 11.2, stuff whiff 27.5% + FB 96.1",savant,False,,22,0.19230769230769232,soft,soft,-3.4444481558576605,0.18231240752261968,SPIKE,"arsenal K% 19.1 (soft solo, -3.4 vs lg, +0.2 vs opp K%, opp K% 18.9; slate #22/26 soft); stuff whiff 27.5% (strong), FF 96.1 mph; pitcher style WHIFF (K% 27.8, FB% 48.0, IFFB% 14.9); SPIKE (K9 10.0, L3 K9 11.2, stuff whiff 27.5% + FB 96.1) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",1,,0,0,,1,2,2.0,2025-09-05 A: 3.0IP 2K,1.0,2.0,17.0,4.0,2.0,5.0,.385,1.452,11.764705882352942
11,Aaron Nola,605400,PHI,R,MIA,MIA@PHI,5:05 PM CT,2026-08-19T22:05:00Z,ok,prior:2026-08-18,4.881831658160237,22,2.4444444444444446,season_avg,starter,19.264687122619563,21.708964714264155,4.86607088769418,4.074736183861546,1.7338218410357606,9,9,1.0,22,,22,3.1846153846153844,2.076923076923077,9.553846153846154,3.864649174305109,24.338624,74.346563,39.9470899,41.2698412,10.256410200000001,16.492147,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,7.333333333333333,12.375,5.333333333333333,6.712518529970326,0.3,22.8486646884273,0.26067737182351425,10.979228486646884,64.09495548961425,neutral,recent,1.0348870368660799,patient,0.95,0.9678492581602374,elevated,1441,825,"805300,669364,672640,665052,681715,682663,683357,691594,640459",Jakob Marsee; Xavier Edwards; Otto Lopez; Griffin Conine; Heriberto Hernández; Agustín Ramírez; Owen Caissie; Javier Sanoja; Brian Navarreto,,26.02256059068022,92.30000000000001,FF,strong,True,L3 K9 12.4,statcast+savant,False,,19,0.3076923076923077,soft,soft,-3.235312877380437,-3.5839775658077357,SPIKE,"arsenal K% 19.3 (soft solo, -3.2 vs lg, -3.6 vs opp K%, opp K% 22.8; slate #19/26 soft); stuff whiff 26.0% (strong), FF 92.3 mph; SPIKE (L3 K9 12.4) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+",0,,3,21,7.0,4,20,5.0,2026-07-28 A: 5.2IP 4K; 2026-05-04 A: 6.0IP 5K; 2024-09-07 A: 4.2IP 5K; 2024-06-29 H: 6.2IP 9K; 2023-09-09 H: 4.1IP 6K; 2023-07-09 A: 6.0IP 6K; 2023-04-11 H: 5.2IP 6K,27.0,181.0,673.0,29.0,20.0,154.0,.242,.667,26.894502228826152
12,Kumar Rocker,677958,TEX,R,WSH,WSH@TEX,7:05 PM CT,2026-08-20T00:05:00Z,ok,prior:2026-08-18,5.1571428571428575,23,2.5555555555555554,season_start_est,starter,20.001868936461406,23.647457845537723,4.849274402581436,4.772585881238786,1.8001682042815268,9,9,1.0,23,,23,3.646551904014977,1.2413793715795667,8.22413833671463,4.300295045229735,20.948617,75.652174,42.9394812,38.040345800000004,10.6060606,15.759312,balanced,,medium,"elev_bb,elev_hr,elev_xfip",0.95,,4.333333333333333,8.775,4.444444444444444,5.028214285714286,0.3,23.28358208955224,0.23793531789402386,6.865671641791045,68.05970149253731,neutral,recent,1.0094564690339567,aggressive,1.0114746268656716,1.0,low,1094,843,"682928,694673,691781,695734,686611,678391,695670,683083,696285",CJ Abrams; Abimelec Ortiz; Brady House; Daylen Lile; Dylan Crews; Jorbit Vivas; Harry Ford; Nasim Nuñez; Jacob Young,,25.96862425231104,94.32811950790861,SI,avg,False,,savant,False,,16,0.4230769230769231,avg,avg,-2.498131063538594,-3.281713153090834,,"arsenal K% 20.0 (avg solo, -2.5 vs lg, -3.3 vs opp K%, opp K% 23.3; slate #16/26 avg); stuff whiff 26.0% (avg), SI 94.3 mph",0,,0,0,,0,0,,,,,,,,,,,
13,Will Warren,701542,NYY,R,BAL,NYY@BAL,5:35 PM CT,2026-08-19T22:35:00Z,ok,prior:2026-08-18,5.013088635509335,22,2.4444444444444446,season_start_est,starter,23.14230883925965,23.982719396641883,4.821287400762257,4.873366031464652,2.0828077955333684,9,9,1.0,22,,22,3.127118797287357,1.3728814231993274,8.923729250795628,3.8123520508880864,22.630561,79.247434,43.5897435,35.3276353,4.8387096,11.864407,balanced,,low,elev_hr,1.0,,5.0,8.4375,5.333333333333333,4.699770595790001,0.3,21.037463976945244,0.2787705414506567,9.510086455331413,68.01152737752162,neutral,recent,0.9760969899975663,patient,0.9686638328530259,0.9854789625360231,elevated,1122,883,"702616,624413,641933,691723,683002,687952,665750,681047,665966",Jackson Holliday; Pete Alonso; Tyler O'Neill; Coby Mayo; Gunnar Henderson; Christian Encarnacion-Strand; Leody Taveras; Christian Franklin; Carlos Narváez,,22.111137273096332,93.6266846361186,FF,avg,False,,savant+statcast,False,,9,0.6923076923076923,strong,strong,0.6423088392596483,2.1048448623144047,,"arsenal K% 23.1 (strong solo, +0.6 vs lg, +2.1 vs opp K%, opp K% 21.0; slate #9/26 strong); stuff whiff 22.1% (avg), FF 93.6 mph",0,,3,22,7.333333333333333,3,15,5.0,2026-05-12 A: 5.2IP 6K; 2026-05-01 H: 6.1IP 9K; 2025-09-26 H: 5.0IP 7K; 2025-09-19 A: 5.1IP 4K; 2025-06-22 H: 6.1IP 6K; 2025-04-28 A: 3.1IP 5K,6.0,37.0,137.0,9.0,5.0,29.0,.230,.714,27.00729927007299
14,Michael King,650633,SD,R,NYM,SD@NYM,12:10 PM CT,2026-08-19T17:10:00Z,ok,prior:2026-08-18,5.193527373748819,21,2.3333333333333335,season_avg,starter,23.486051218982524,24.659341109972317,4.754986699542695,4.828899219357657,2.1137446097084274,9,9,1.0,21,,21,3.540983733093967,1.0749414904035257,7.8407496947080695,4.340958226123739,21.196581000000002,77.370892,44.8453608,39.4329896,11.7647058,15.189873,balanced,,medium,"elev_bb,elev_xfip",0.95,,5.0,7.9411764705882355,5.666666666666667,4.582524153307781,0.3,23.229461756373937,0.2535773589700086,11.614730878186968,63.73937677053824,whiff_prone,recent,1.04386061776458,patient,0.95,0.9602232294617564,elevated,1414,896,"596019,666182,673357,701807,682626,666624,543760,805999,620443",Francisco Lindor; Bo Bichette; Luis Robert Jr.; Carson Benge; Francisco Alvarez; Christopher Morel; Marcus Semien; A.J. Ewing; Luis Torrens,,24.66439909297052,93.00601851851852,SI,avg,False,,savant,False,,8,0.7307692307692307,strong,strong,0.9860512189825243,0.25658946260858784,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, +0.3 vs opp K%, opp K% 23.2; slate #8/26 strong); stuff whiff 24.7% (avg), SI 93.0 mph",0,,3,11,3.6666666666666665,2,3,1.5,2026-06-05 H: 6.0IP 4K; 2025-09-16 A: 3.0IP 2K; 2024-08-24 H: 5.0IP 7K; 2023-07-26 H: 0.1IP 0K; 2023-06-13 A: 1.0IP 1K,8.0,28.0,116.0,5.0,7.0,30.0,.278,.856,24.137931034482758
