rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Andrew Alvarez,674841,WSH,L,TEX,WSH@TEX,7:05 PM CT,2026-08-21T00:05:00Z,ok,official,6.365,27,3.0,season_start_est,starter,28.45913600419762,27.95178995006242,6.798497706259443,7.9809994704805245,2.5613222403777858,9,9,1.0,27,,27,3.96,0.36,8.28,,21.766561514195583,,57.241379310344826,42.758620689655174,,,contact_gb,GB% 57.2,low,elev_bb,0.95,,3.6666666666666665,5.711538461538462,5.777777777777778,4.039326923076923,0.3,24.21383647798742,0.21498407702625238,8.176100628930818,66.66666666666667,neutral,recent,1.0374992637623048,neutral,1.0011150943396225,1.0,neutral,356,880,"694671,608369,669394,607043,677649,679822,643376,683227,694497",Wyatt Langford; Corey Seager; Jake Burger; Brandon Nimmo; Ezequiel Duran; Justin Foscue; Danny Jansen; Cody Freeman; Evan Carter,25.10686678996538,92.33457142857142,FF,avg,False,,savant+statcast,False,,1,1.0,elite,elite,5.959136004197621,4.2452995262102,THIN_TOTAL,"arsenal K% 28.5 (elite solo, +6.0 vs lg, +4.2 vs opp K%, opp K% 24.2; slate #1/18 elite); stuff whiff 25.1% (avg), FF 92.3 mph; pitcher style GB/contact (GB% 57.2); THIN total — Exp K 6.8 with STYLE GB (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",1,thin,0,0,,0,0,,,,,,,,,,,
2,Ian Seymour,693855,TB,L,TOR,TOR@TB,12:10 PM CT,2026-08-20T17:10:00Z,ok,official,6.378484848484848,26,2.888888888888889,season_start_est,swingman,20.04400429915023,23.5938458503359,6.0912404906574995,4.842520792612318,1.8039603869235208,9,9,1.0,26,,26,2.84,1.6,10.92,,29.216152019002376,,37.640449438202246,62.359550561797754,,,whiff,K% 29.2,medium,"high_hr,exit_hr",0.97,exit_hr,8.0,12.705882352941176,5.666666666666667,9.004919786096256,0.3,17.37704918032787,0.28373063303249846,8.19672131147541,71.80327868852459,contact_heavy,recent,0.9299999999999999,neutral,1.0009295081967213,1.0,neutral,523,1033,"807727,663662,672386,543807,672960,665926,676391,664702,664770",Charles McAdoo; Daz Cameron; Alejandro Kirk; George Springer; Kazuma Okamoto; Andrés Giménez; Ernie Clement; Myles Straw; Nathan Lukes,29.319343814080653,91.42369668246447,FF,strong,True,"K9 10.9, L3 K9 12.7, stuff whiff 29.3%",savant+statcast,False,,13,0.3333333333333333,soft,avg,-2.455995700849769,2.6669551188223615,,"arsenal K% 20.0 (avg solo, -2.5 vs lg, +2.7 vs opp K%, opp K% 17.4; slate #13/18 soft); stuff whiff 29.3% (strong), FF 91.4 mph; pitcher style WHIFF (K% 29.2); stuff ceiling (K9 10.9, L3 K9 12.7, stuff whiff 29.3%); also swingman — fade full-outing chalk",1,,4,14,3.5,4,17,4.25,2026-08-20 H: 5.0IP 8K; 2026-07-23 A: 6.0IP 7K; 2026-05-12 A: 1.1IP 2K; 2026-05-11 A: 0.1IP 1K; 2026-05-06 H: 1.0IP 1K; 2026-05-04 H: 1.1IP 2K; 2025-09-28 A: 3.1IP 7K; 2025-09-17 H: 7.0IP 3K,7.0,23.0,86.0,6.0,2.0,20.0,.256,.703,26.74418604651163
3,Gerrit Cole,543037,NYY,R,BAL,NYY@BAL,5:35 PM CT,2026-08-20T22:35:00Z,ok,official,5.777777777777778,24,2.6666666666666665,season_avg,starter,25.37306225188052,28.37728975920753,6.026269622993888,6.088548441011677,2.283575602669247,9,9,1.0,24,,24,1.97,1.14,9.55,,26.062322946175637,,37.80487804878049,62.19512195121951,,,whiff,K% 26.1,clear,,1.0,,6.333333333333333,9.160714285714285,6.222222222222222,5.8809523809523805,0.3,23.668639053254438,0.26201133232427365,7.100591715976331,67.45562130177515,neutral,recent,1.0129172852621269,neutral,1.010794674556213,1.0,neutral,857,448,"702616,624413,683002,694212,687952,687637,665750,681297,665966",Jackson Holliday; Pete Alonso; Gunnar Henderson; Samuel Basallo; Christian Encarnacion-Strand; Dylan Beavers; Leody Taveras; Colton Cowser; Carlos Narváez,22.646153846153847,96.82915360501568,FF,avg,False,,savant+statcast,False,,4,0.8333333333333334,elite,elite,2.873062251880519,1.7044231986260812,,"arsenal K% 25.4 (elite solo, +2.9 vs lg, +1.7 vs opp K%, opp K% 23.7; slate #4/18 elite); stuff whiff 22.6% (avg), FF 96.8 mph; pitcher style WHIFF (K% 26.1); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.0 (≥5.5)",0,trust,3,12,4.0,2,12,6.0,2024-09-26 H: 6.2IP 5K; 2024-07-12 A: 6.0IP 7K; 2024-06-19 H: 4.0IP 5K; 2023-07-28 A: 7.0IP 5K; 2023-05-23 H: 5.0IP 2K,15.0,110.0,369.0,17.0,6.0,69.0,.197,.549,29.81029810298103
4,Gavin Williams,668909,CLE,R,SF,SF@CLE,12:10 PM CT,2026-08-20T17:10:00Z,ok,official,5.948717948717948,24,2.6666666666666665,season_avg,starter,19.533043752164332,24.038459539345013,6.015393642078824,4.8506091075757825,1.7579739376947898,9,9,1.0,24,,24,2.79,1.45,11.7,,32.367149758454104,,51.00401606425703,48.99598393574297,,,whiff,K% 32.4,low,elev_hr,1.0,,7.666666666666667,13.212765957446807,5.222222222222222,8.733224222585923,0.3,23.91304347826087,0.2365677914412204,8.385093167701863,66.77018633540372,neutral,recent,1.0280133316428006,neutral,0.9992341614906832,1.0,neutral,1393,937,"687551,646240,642715,805811,808982,678545,806367,701852,683766",Drew Gilbert; Rafael Devers; Willy Adames; Bryce Eldridge; Jung Hoo Lee; Osleivis Basabe; Turner Hill; Drew Cavanaugh; Christian Koss,30.67432824468952,97.4201680672269,FF,elite,True,"K9 11.7, L3 K9 13.2, stuff whiff 30.7%",savant+statcast,False,,14,0.2777777777777778,soft,soft,-2.966956247835668,-4.379999726096539,SPIKE,"arsenal K% 19.5 (soft solo, -3.0 vs lg, -4.4 vs opp K%, opp K% 23.9; slate #14/18 soft); stuff whiff 30.7% (elite), FF 97.4 mph; pitcher style WHIFF (K% 32.4); SPIKE (K9 11.7, L3 K9 13.2, stuff whiff 30.7%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,1,11,11.0,2,8,4.0,2026-08-20 H: 5.2IP 11K; 2025-06-19 A: 6.0IP 6K; 2023-09-11 A: 6.0IP 2K,2.0,8.0,49.0,7.0,1.0,7.0,.171,.574,16.3265306122449
5,Peter Lambert,663567,HOU,R,LAA,LAA@HOU,7:10 PM CT,2026-08-21T00:10:00Z,ok,official,5.650793650793651,24,2.6666666666666665,season_avg,starter,22.907975320129268,24.586070157332458,5.730213737961097,5.558142943070782,2.061717778811634,9,9,1.0,24,,24,3.49,0.91,8.87,,23.68421052631579,,36.7965367965368,63.2034632034632,,,balanced,,clear,,1.0,,5.666666666666667,9.76595744680851,5.222222222222222,6.131712259371834,0.3,22.289156626506024,0.2121044888064398,8.132530120481928,66.86746987951807,neutral,recent,1.0162027934610407,neutral,1.0015072289156626,1.0,neutral,1089,895,"685133,545361,694384,687263,694208,687093,666139,623168,624428",Wade Meckler; Mike Trout; Nolan Schanuel; Zach Neto; Moisés Ballesteros; Vaughn Grissom; Josh Lowe; Tyler Heineman; Adam Frazier,25.51114506498069,93.93360258481422,FF,avg,False,,savant+statcast,False,,8,0.6111111111111112,avg,strong,0.4079753201292675,0.6188186936232434,,"arsenal K% 22.9 (strong solo, +0.4 vs lg, +0.6 vs opp K%, opp K% 22.3; slate #8/18 avg); stuff whiff 25.5% (avg), FF 93.9 mph; total caution — Exp K 5.7 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,1,1,1.0,3,15,5.0,2026-07-28 A: 5.0IP 6K; 2026-06-10 A: 6.1IP 6K; 2024-07-30 A: 2.1IP 3K; 2023-06-23 H: 1.0IP 1K,4.0,16.0,60.0,2.0,2.0,14.0,.246,.651,26.666666666666668
6,Michael McGreevy,700241,STL,R,CIN,STL@CIN,11:40 AM CT,2026-08-20T16:40:00Z,ok,official,5.444307116883118,22,2.4444444444444446,season_avg,starter,27.043792106062398,25.75405607732741,5.599210325892987,6.077351735232915,2.433941289545616,9,9,1.0,22,,22,2.36,1.18,6.23,,17.025089605734767,,52.18855218855219,47.81144781144781,,,contact_gb,GB% 52.2,clear,,1.0,,4.666666666666667,7.411764705882353,5.666666666666667,4.483547037433156,0.3,26.2987012987013,0.19494678590486123,9.415584415584416,63.63636363636363,whiff_prone,recent,1.07,neutral,0.9899597402597403,0.9910753246753247,mild,1379,756,"682829,701398,668709,663886,680574,669911,667472,699302,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Matt McLain; Michael Toglia; Dane Myers; Héctor Rodríguez; Ke'Bryan Hayes,19.262751393204564,91.77158878504673,FF,soft,False,,savant+statcast,True,"K9 6.2, low-K volume",2,0.9444444444444444,elite,elite,4.543792106062398,0.7450908073610982,MATCHUP_OK,"soft-contact profile (K9 6.2, low-K volume) but arsenal K% 27.0 (elite solo, +4.5 vs lg, +0.7 vs opp K%, opp K% 26.3; slate #2/18 elite); stuff whiff 19.3% (soft), FF 91.8 mph; pitcher style GB/contact (GB% 52.2) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length; THIN total — Exp K 5.6 with STYLE GB (BIP outs); O3.5 / thin O4.5 only, do not nuke the number",1,thin,2,11,5.5,2,4,2.0,2026-08-20 A: 5.1IP 4K; 2026-06-07 H: 6.0IP 5K; 2025-09-16 H: 7.0IP 6K; 2025-08-30 A: 6.0IP 0K,4.0,15.0,93.0,7.0,2.0,16.0,.186,.538,16.129032258064516
7,Jacob deGrom,594798,TEX,R,WSH,WSH@TEX,7:05 PM CT,2026-08-21T00:05:00Z,ok,official,4.879130434782609,20,2.2222222222222223,season_avg,starter,24.586298948872606,33.68686231058883,5.439934699765229,4.735931558670824,2.2127669053985346,9,9,1.0,20,,20,2.31,1.27,10.96,,29.518072289156628,,41.904761904761905,58.095238095238095,,,whiff,K% 29.5,medium,"elev_hr,short_recent_ip",0.93,short_recent_ip,5.0,13.064516129032258,3.4444444444444446,7.0826086956521745,0.3,21.180555555555557,0.2731332197554624,6.944444444444445,69.79166666666667,neutral,recent,0.9629875283944677,aggressive,1.0108444444444444,1.0,low,1188,836,"695734,694673,665953,677588,691781,660688,686611,683083,687605",Daylen Lile; Abimelec Ortiz; Andrés Chaparro; José Tena; Brady House; Keibert Ruiz; Dylan Crews; Nasim Nuñez; Andrew Pinckney,34.31800257476728,97.32044392523365,FF,elite,True,"K9 11.0, L3 K9 13.1, stuff whiff 34.3%",savant+statcast,False,,5,0.7777777777777778,strong,elite,2.0862989488726065,3.4057433933170493,,"arsenal K% 24.6 (elite solo, +2.1 vs lg, +3.4 vs opp K%, opp K% 21.2; slate #5/18 strong); stuff whiff 34.3% (elite), FF 97.3 mph; pitcher style WHIFF (K% 29.5); stuff ceiling (K9 11.0, L3 K9 13.1, stuff whiff 34.3%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,0,0,,1,8,8.0,2025-06-07 A: 7.0IP 8K,23.0,189.0,564.0,35.0,12.0,103.0,.198,.558,33.51063829787234
8,George Kirby,669923,SEA,R,MIL,SEA@MIL,1:10 PM CT,2026-08-20T18:10:00Z,ok,official,5.500319999999999,23,2.5555555555555554,season_avg,starter,23.529786985182355,22.704008765688677,4.85684262070059,5.669041985616228,2.117680828666412,9,9,1.0,23,,23,2.12,1.09,7.52,,19.931856899488928,,47.292418772563174,52.707581227436826,,,balanced,,clear,short_recent_ip,0.96,short_recent_ip,2.3333333333333335,4.846153846153846,4.333333333333333,2.961710769230769,0.3,25.27777777777778,0.2791368845001922,10.277777777777779,62.77777777777778,whiff_prone,recent,1.0676324455416186,three_true,0.9891222222222222,0.9822,elevated,1112,994,"668930,694192,641343,596142,592885,687401,669003,666152,800325",Brice Turang; Jackson Chourio; Jake Bauers; Gary Sánchez; Christian Yelich; Joey Ortiz; Garrett Mitchell; David Hamilton; Luis Lara,21.58342601347802,96.59139072847681,FF,soft,False,,savant+statcast,False,,7,0.6666666666666666,strong,strong,1.029786985182355,-1.7479907925954237,,"arsenal K% 23.5 (strong solo, +1.0 vs lg, -1.7 vs opp K%, opp K% 25.3; slate #7/18 strong); stuff whiff 21.6% (soft), FF 96.6 mph",0,,1,3,3.0,1,3,3.0,2026-08-20 A: 3.1IP 3K; 2025-07-21 H: 6.0IP 3K,1.0,3.0,24.0,1.0,0.0,5.0,.227,.568,12.5
9,Grayson Rodriguez,680570,LAA,R,HOU,LAA@HOU,7:10 PM CT,2026-08-21T00:10:00Z,ok,official,3.962076923076923,18,2.0,season_avg,starter,26.726515609171294,27.680961624957952,4.810254800335299,4.720950813665812,2.4053864048254163,9,9,1.0,18,,18,4.27,1.53,8.39,,20.29520295202952,,41.88034188034188,58.11965811965812,,,balanced,,high,"high_bb,high_hr,exit_hr",0.873,exit_hr,6.333333333333333,11.4,5.0,5.018630769230769,0.3,20.792079207920793,0.23828190868622465,8.250825082508252,68.31683168316832,neutral,recent,0.9808948693630973,neutral,1.0004425742574257,1.0,neutral,630,478,"664774,670541,670623,514888,662139,666211,701358,669397,543877",LaMonte Wade Jr.; Yordan Alvarez; Isaac Paredes; Jose Altuve; Daulton Varsho; Taylor Trammell; Cam Smith; Nick Allen; Christian Vázquez,24.185124712832295,96.07125850340135,FF,avg,True,L3 K9 11.4,savant+statcast,False,,3,0.8888888888888888,elite,elite,4.226515609171294,5.934436401250501,,"arsenal K% 26.7 (elite solo, +4.2 vs lg, +5.9 vs opp K%, opp K% 20.8; slate #3/18 elite); stuff whiff 24.2% (avg), FF 96.1 mph; stuff ceiling (L3 K9 11.4)",0,,3,16,5.333333333333333,1,8,8.0,2026-07-29 H: 5.0IP 6K; 2026-06-08 H: 5.1IP 6K; 2024-06-21 A: 5.0IP 8K; 2023-08-08 H: 6.0IP 4K,4.0,24.0,100.0,8.0,3.0,26.0,.289,.828,24.0
10,Anthony Kay,641743,CWS,L,ATL,ATL@CWS,1:10 PM CT,2026-08-20T18:10:00Z,ok,official,5.222222222222222,23,2.5555555555555554,season_start_est,starter,20.762159446848592,24.94345601245756,4.743256199833901,4.968387977784694,1.8685943502163733,9,9,1.0,23,,23,3.18,1.13,7.35,,18.4070796460177,,50.55350553505535,49.44649446494465,,,contact_gb,GB% 50.6,clear,,1.0,,4.666666666666667,7.26923076923077,5.777777777777778,4.217948717948719,0.3,25.222551928783382,0.21487070690622828,5.637982195845697,68.24925816023739,neutral,recent,1.033875795083532,free_swing,1.0212961424332345,1.0,low,583,1569,"660670,686948,621566,645277,657041,671739,643289,663586,669221",Ronald Acuña Jr.; Drake Baldwin; Matt Olson; Ozzie Albies; Lane Thomas; Michael Harris II; Mauricio Dubón; Austin Riley; Sean Murphy,24.20120817843866,95.81746361746362,FF,avg,False,,savant,False,,12,0.3888888888888889,soft,avg,-1.7378405531514076,-4.4603924819347895,,"arsenal K% 20.8 (avg solo, -1.7 vs lg, -4.5 vs opp K%, opp K% 25.2; slate #12/18 soft); stuff whiff 24.2% (avg), FF 95.8 mph; pitcher style GB/contact (GB% 50.6)",1,,1,6,6.0,0,0,,2026-08-20 H: 6.0IP 6K,2.0,9.0,30.0,2.0,0.0,5.0,.179,.483,30.0
