rank,pitcher,pitcher_team,opponent,damage_thesis,hits_over_score,er_over_score,combined_score,hits_line,er_line,opp_wrc_plus,opp_iso,opp_bip_pct,contact_grade,stuff_plus,location_plus,arsenal_vs_opp,arsenal_abs_grade,matchup_grade,hr9,xfip,bb9,outing_risk,soft_contact_profile,risk_flags
1,Adrian Houser,SF,HOU,True,95,95,95.0,4.5,2.5,118.1,0.18,66.7,neutral,89.8,108.8,-3.43,soft,soft,1.39,4.73,2.88,medium,True,"elev_hr,elev_xfip,short_recent_ip"
2,Jack Perkins,ATH,TB,True,95,95,95.0,,,115.2,0.169,73.2,contact_heavy,98.5,101.2,-0.04,soft,soft,1.76,4.23,3.64,high,False,"elev_bb,high_hr,elev_xfip,short_recent_ip,exit_hr"
3,Merrill Kelly,AZ,COL,True,95,95,95.0,4.5,,108.6,0.206,70.1,neutral,88.9,101.7,-1.21,avg,avg,1.73,4.92,3.75,high,True,"elev_bb,high_hr,high_xfip,short_recent_ip,exit_hr,exit_xfip_bb"
4,Ryan Feltner,COL,AZ,True,86.8,90.8,88.8,7.5,3.5,106.5,0.168,70.1,contact_heavy,92.2,96.7,1.66,avg,avg,1.98,4.89,3.62,high,True,"elev_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb"
5,José Soriano,TOR,BOS,True,75.9,75.5,75.7,,,109.9,0.179,67.3,neutral,97.5,104.6,-3.5,soft,soft,0.85,3.71,4.23,medium,False,high_bb
6,Robbie Ray,SD,MIL,True,66.4,67.9,67.2,,,114.7,0.164,61.7,whiff_prone,94.6,91.0,0.9,avg,strong,1.13,4.8,4.37,high,False,"high_bb,high_xfip,exit_xfip_bb"
7,Shane Baz,BAL,MIN,True,61.1,59.0,60.0,,,102.8,0.16,70.1,contact_heavy,98.6,102.8,-1.67,soft,soft,0.66,4.13,3.04,clear,False,
8,Janson Junk,MIA,PIT,True,54.8,57.0,55.9,,,111.8,0.163,61.2,whiff_prone,100.8,109.1,-0.66,avg,avg,1.32,4.34,2.53,medium,True,"elev_hr,elev_xfip"
9,Framber Valdez,DET,CLE,False,54.2,53.3,53.8,,,102.8,0.143,66.5,neutral,102.5,97.4,-1.96,soft,soft,0.85,4.14,3.18,clear,False,
10,Dustin May,MIL,SD,True,54.4,51.1,52.8,,,94.9,0.152,73.7,contact_heavy,101.6,101.9,-1.86,soft,soft,0.63,3.91,2.97,clear,False,
11,Kyle Leahy,STL,PHI,True,52.5,51.7,52.1,,,105.7,0.167,69.1,contact_heavy,91.9,105.6,0.57,soft,avg,0.96,3.83,2.8,clear,False,
12,Luis Castillo,CWS,CIN,True,48.9,52.0,50.5,,,96.1,0.193,61.7,whiff_prone,97.1,109.3,-3.01,avg,strong,1.48,4.43,2.86,medium,False,"elev_hr,elev_xfip"
13,David Peterson,CHC,WSH,True,49.1,49.6,49.4,,,101.7,0.171,63.8,whiff_prone,89.0,101.0,-2.16,avg,avg,0.93,4.17,3.65,low,False,elev_bb
14,Drew Rasmussen,TB,ATH,False,41.6,40.9,41.2,,,102.3,0.16,66.9,neutral,108.9,107.4,-5.19,soft,soft,0.87,3.09,1.59,clear,False,
15,Rhett Lowder,CIN,CWS,True,39.9,41.7,40.8,,,107.0,0.175,61.1,whiff_prone,86.1,103.7,0.37,elite,elite,1.11,4.73,3.94,medium,False,"elev_bb,elev_xfip"
16,Ranger Suarez,BOS,TOR,True,41.1,37.8,39.5,,,94.0,0.136,71.3,contact_heavy,94.4,106.4,0.29,soft,soft,0.52,3.26,2.62,low,False,short_recent_ip
17,Zac Thornton,NYM,ATL,True,38.7,37.5,38.1,,,109.3,0.185,69.0,neutral,97.1,92.9,3.69,strong,strong,0.69,4.24,2.75,low,True,elev_xfip
18,Zebby Matthews,MIN,BAL,False,33.9,37.6,35.8,,,99.2,0.162,60.8,whiff_prone,94.9,97.9,0.48,elite,elite,1.78,4.23,2.93,medium,False,"high_hr,elev_xfip,exit_hr"
19,Zack Wheeler,PHI,STL,False,32.7,31.9,32.3,,,104.0,0.146,69.6,neutral,104.5,106.5,-0.47,soft,soft,1.14,2.84,2.28,clear,False,short_recent_ip
20,Will Warren,NYY,SEA,False,32.5,31.9,32.2,,,110.1,0.148,69.3,neutral,104.0,105.5,1.04,avg,avg,1.18,3.71,2.92,clear,False,
21,Tyler Mahle,ATL,NYM,False,27.8,27.8,27.8,,,99.7,0.141,67.3,neutral,88.2,108.8,1.58,strong,strong,1.25,4.02,3.49,low,False,elev_hr
22,Carmen Mlodzinski,PIT,MIA,False,24.4,23.4,23.9,,,101.1,0.152,66.4,neutral,92.1,104.5,2.6,elite,elite,0.74,4.34,2.96,low,True,"elev_xfip,short_recent_ip"
23,Bryce Miller,SEA,NYY,False,5,5,5.0,,,106.5,0.201,61.4,whiff_prone,107.9,111.1,3.18,elite,elite,1.48,3.59,1.71,low,False,elev_hr
