rank,pitcher,pitcher_team,opponent,passes_all_gates,gate_whiff_prone,gate_stuff_ge_100,gate_arsenal_vs_opp_pos,k_good_score,expected_ks,k_line,stuff_plus,arsenal_vs_opp,arsenal_abs_grade,matchup_grade,stuff_whiff_pct,pitcher_k_pct,opp_k_pct_vs_hand,opp_bip_pct,contact_grade,pitcher_style,spike_risk,soft_contact_profile,projected_ip
1,Bryce Miller,SEA,NYY,True,True,True,True,95,5.78,,107.9,3.18,elite,elite,27.3,25.8,24.0,61.4,whiff_prone,whiff,True,False,5.89
2,Zebby Matthews,MIN,BAL,False,True,False,True,77.0,6.24,,94.9,0.48,elite,elite,22.3,20.0,24.8,60.8,whiff_prone,balanced,True,False,5.4
3,Rhett Lowder,CIN,CWS,False,True,False,True,55.0,4.96,,86.1,0.37,elite,elite,20.6,18.2,24.3,61.1,whiff_prone,balanced,False,False,4.77
4,Robbie Ray,SD,MIL,False,True,False,True,47.1,4.18,,94.6,0.9,avg,strong,24.8,20.3,21.2,61.7,whiff_prone,balanced,False,False,4.75
5,Luis Castillo,CWS,CIN,False,True,False,False,43.4,4.91,,97.1,-3.01,avg,strong,23.4,19.7,25.4,61.7,whiff_prone,balanced,False,False,5.45
6,Janson Junk,MIA,PIT,False,True,True,False,33.6,4.75,,100.8,-0.66,avg,avg,16.7,17.7,21.7,61.2,whiff_prone,balanced,False,True,4.99
7,David Peterson,CHC,WSH,False,True,False,False,23.4,5.86,,89.0,-2.16,avg,avg,20.8,18.5,22.5,63.8,whiff_prone,contact_gb,False,False,6.21
8,Will Warren,NYY,SEA,False,False,True,True,23.3,4.98,,104.0,1.04,avg,avg,21.7,23.0,20.4,69.3,neutral,balanced,True,False,5.11
9,Tyler Mahle,ATL,NYM,False,False,False,True,23.2,5.38,,88.2,1.58,strong,strong,21.5,23.0,22.0,67.3,neutral,balanced,True,False,5.26
10,Carmen Mlodzinski,PIT,MIA,False,False,False,True,16.8,5.13,,92.1,2.6,elite,elite,20.4,18.4,21.6,66.4,neutral,balanced,False,True,6.6
11,Zac Thornton,NYM,ATL,False,False,False,True,13.7,4.42,,97.1,3.69,strong,strong,19.5,17.6,19.5,69.0,neutral,balanced,False,True,5.62
12,Bryan King,HOU,SF,False,False,False,False,11.7,1.81,,98.9,-2.05,elite,elite,18.0,18.5,26.7,70.6,neutral,balanced,True,False,1.4
13,Zack Wheeler,PHI,STL,False,False,True,False,9.3,4.79,,104.5,-0.47,soft,soft,31.1,30.6,19.8,69.6,neutral,whiff,True,False,5.49
14,Adrian Houser,SF,HOU,False,False,False,False,5,5.04,3.5,89.8,-3.43,soft,soft,17.3,15.3,20.0,66.7,neutral,balanced,True,True,5.41
15,Drew Rasmussen,TB,ATH,False,False,True,False,5,4.5,,108.9,-5.19,soft,soft,25.6,26.8,21.2,66.9,neutral,whiff,True,False,5.51
16,Shane Baz,BAL,MIN,False,False,False,False,5,4.31,,98.6,-1.67,soft,soft,21.9,20.7,19.1,70.1,contact_heavy,balanced,False,False,5.81
17,Jack Perkins,ATH,TB,False,False,False,False,5,4.21,,98.5,-0.04,soft,soft,28.3,26.4,18.7,73.2,contact_heavy,whiff,True,False,4.8
18,Kyle Leahy,STL,PHI,False,False,False,True,5,4.2,,91.9,0.57,soft,avg,21.9,20.7,19.3,69.1,contact_heavy,balanced,False,False,4.73
19,Dustin May,MIL,SD,False,False,True,False,5,4.1,,101.6,-1.86,soft,soft,22.9,23.0,20.8,73.7,contact_heavy,balanced,False,False,5.23
20,Merrill Kelly,AZ,COL,False,False,False,False,5,4.01,4.5,88.9,-1.21,avg,avg,20.9,15.4,22.7,70.1,neutral,balanced,False,True,4.57
21,Ranger Suarez,BOS,TOR,False,False,False,True,5,3.87,,94.4,0.29,soft,soft,22.1,25.5,17.9,71.3,contact_heavy,whiff,False,False,4.79
22,Framber Valdez,DET,CLE,False,False,True,False,5,3.51,,102.5,-1.96,soft,soft,19.7,18.5,17.5,66.5,neutral,contact_gb,False,False,5.33
23,José Soriano,TOR,BOS,False,False,False,False,5,3.48,,97.5,-3.5,soft,soft,31.7,24.5,20.5,67.3,neutral,balanced,True,False,4.76
24,Ryan Feltner,COL,AZ,False,False,False,True,5,2.96,2.5,92.2,1.66,avg,avg,23.5,16.5,19.3,70.1,contact_heavy,fly_popup,False,True,4.06
